시군명,위치명,소재주소,전화번호,데이터기준일자,정제WGS84위도,정제WGS84경도
이천시,송파결정유연구소,경기도 이천시 신둔면 둔터로58,031-633-6587,2021-03-05,37.2879320699,127.4006311868
고양시,풍동 애니골,"경기도 고양시 일산동구 애니골길 15-46 (풍동,오푸스하임)",031-907-6080,2021-03-05,37.6719264532,126.7895146070
여주시,여주프리미엄아울렛,경기도 여주시 명품로 360,,2021-03-05,37.2452107947,127.6136549141
수원시,롯데몰(수원),경기도 수원시 권선구 세화로 134 (서둔동),031-8067-4000,2021-03-05,37.2641013965,126.9973705173
파주시,롯데프리미엄아울렛(파주점),경기도 파주시 회동길 390,031-960-2500,2021-03-05,37.7177916524,126.6937794660
파주시,파주프리미엄아울렛,경기도 파주시 탄현면 필승로 200,031-1644-4001,2021-03-05,37.7693560552,126.6965126169
광주시,곤지암 도자공원,경기도 광주시 곤지암읍 경충대로 727,031-799-1500,2021-03-05,37.3502799730,127.3347904394
고양시,라페스타,경기도 고양시 일산동구 무궁화로 32-34,031-920-9600,2021-03-05,37.6613265499,126.7688109747
이천시,토월도요,경기도 이천시 경충대로2993번길 28,031-638-3390,2021-03-05,37.2947467051,127.4121079852
이천시,장호원재래시장,경기도 이천시 장호원읍 서동대로8965번길 36,,2021-03-05,37.1148665750,127.6307601590
여주시,도자세상,경기도 여주시 신륵사길 7,031-884-8644,2021-03-05,37.3001409008,127.6545498438
부천시,원미동사람들거리,경기도 부천시 부천로 136번길 27,032-625-5662,2021-03-05,37.4967307599,126.7875124505
과천시,정금주한복연구소,경기도 과천시 별양상가2로 20 새서울프라자 2층,02-503-0845,2021-03-05,37.4268251693,126.9925549060
양평군,양수리전통시장,경기도 양평군 양서면 양수리 1060,031-775-3110,2021-03-05,37.5444904103,127.3199083666
화성시,사강시장,경기도 화성시 송산면 사강로 189,031-357-6037,2021-03-05,37.2133762273,126.7368998100
수원시,규수당,경기도 수원시 팔달구 수원천로 254 팔달주차타워,031-256-4911,2021-03-05,37.2761388914,127.0200305443
화성시,독산성 음식문화거리,경기도 오산시 독산성로 419(세마동주민센터),031-8036-7642,2021-03-05,37.1883168620,127.0408219585
군포시,산본시장,경기도 군포시 산본천로183번길 6(산본동) 일원,031-399-4248,2021-03-05,37.3701550674,126.9385231898
안성시,죽산시장,경기도 안성시 죽산면 중서길 8-9,,2021-03-05,37.0759902563,127.4233862910
안성시,안성시장,경기도 안성시 시장길 37일원(서인동),,2021-03-05,37.0066256944,127.2704016872
평택시,명동거리,경기도 평택시 평택로 51 평택역 일대,,2021-03-05,36.9919006082,127.0832927297
평택시,안중 5일장,경기도 평택시 안중읍 안중리 안중제일신용협동조합 주변,,2021-03-05,,
안산시,안산패션타운,경기도 안산시 상록구 사동,,2021-03-05,,
광명시,가구문화의거리,경기도 광명시 광명사거리,,2021-03-05,,
광명시,자동차문화의거리,경기도 광명시 하안1동,,2021-03-05,,
부천시,신흥시장,경기도 부천시 평천로721번길 14-2 삼정빌딩,032-672-7576,2021-03-05,37.5155494513,126.7710277905
부천시,작동 문화의 거리,경기도 부천시 오정구 까치로 123 (작동 63번지) 문화타운 1동,032-673-7754,2021-03-05,37.5173212737,126.8047771224
구리시,구리전통시장,경기도 구리시 검배로6번길 31,031-568-8700,2021-03-05,37.5995526804,127.1399115226
시흥시,시흥프리미엄아울렛,경기도 시흥시 서해안로 699,,2021-03-05,37.3796992102,126.7370588161
용인시,동춘175,경기도 용인시 기흥구 동백죽전대로175번길 6,080-500-0175,2021-03-05,37.2576414893,127.1604458626
평택시,통복청년숲,경기도 평택시 장안웃길 149,,2021-03-05,37.0660526248,127.0707164271
하남시,스타필드하남,경기도 하남시 미사대로 750,,2021-03-05,37.5454181290,127.2237611843
파주시,문산자유시장,경기도 파주시 문산읍 문향로 57,031-952-3233,2021-03-05,37.8567241041,126.7839477675
용인시,용인중앙시장,경기도 용인시 처인구 김량장동 133번지,,2021-03-05,,
부천시,부천상동시장,경기도 부천시 장말로200번길 48,032-611-3691,2021-03-05,37.4908957491,126.7634622698
오산시,오색시장,경기도 오산시 오산로272번길 2(오산동 862),031-376-4141,2021-03-05,37.1510943316,127.0687271686
부천시,부천자유시장,경기도 부천시 소사구 자유로 33,032-656-1892,2021-03-05,37.4841110249,126.7799409281
포천시,포천신읍시장,경기도 포천시 군내면 구읍리 715-1,,2021-03-05,37.8926085954,127.2016615535
안산시,대부도 방아머리 먹거리타운,경기도 안산시 단원구 대부북동 일원,,2021-03-05,,
수원시,앙코르면세점,경기도 수원시 팔달구 권광로 132,031-298-8888,2021-03-05,37.2592288794,127.0313136410
안양시,안양예술공원 음식문화의거리,경기도 안양시 만안구 예술공원로,031-8045-5591,2021-03-05,,
용인시,기흥맛깔촌,경기도 용인시 기흥구 신갈로 16-1,031-321-9393,2021-03-05,37.2680630139,127.1056300345
평택시,송탄관광특구,"경기도 평택시 서정동과 신장1·2동, 지산동, 송북동 일원",031-8024-3231,2021-03-05,,
동두천시,보산동관광특구,"경기도 동두천시 보산동 427번지 일원, 상봉암동 131-13번지 일원",031-860-2093,2021-03-05,,
남양주시,미음나루터(미음나루 풍속마을),경기도 남양주시 강변북로632번길 일대 (수석동),,2021-03-05,,
용인시,수원프리미엄아울렛,경기도 용인시 기흥구 중부대로 64 용인프리미엄,031-204-2006,2021-03-05,37.2666002164,127.0762010419
파주시,맛고을 음식문화거리,경기도 파주시 탄현면 성동리,031-940-4114,2021-03-05,,
성남시,아브뉴프랑 판교점,경기도 성남시 분당구 동판교로177번길 25,031-8016-0101,2021-03-05,37.3973209570,127.1135515109
의왕시,지천년예가,경기도 의왕시 초평동 윗새우대북길 13,031-461-8021,2021-03-05,37.3161778165,126.9398616500
수원시,롯데프리미엄아울렛(광교점),경기도 수원시 영통구 도청로 10,031-8064-2500,2021-03-05,37.2865820892,127.0559743208
수원시,나혜석거리,경기도 수원시 팔달구 인계동,031-228-2765,2021-03-05,,
이천시,중앙통문화의거리,경기도 이천시 창전동 177 일원,,2021-03-05,37.2803819496,127.4454921657
이천시,관고전통시장,경기도 이천시 중리천로31번길 22,,2021-03-05,37.2808196704,127.4403595125
양주시,양주골 한우마을,경기도 양주시 백석읍 권율로 9431,031-820-2321,2021-03-05,,
과천시,나무모아,경기도 과천시 과천동 363-1 마므레빌리지 C동 102호,02-503-2132,2021-03-05,37.4533593074,127.0026644711
안양시,안양1번가,경기도 안양시 만안구 안양동,031-8045-5591,2021-03-05,,
안양시,평촌 먹거리촌,경기도 안양시 동안구 귀인로190번길 (평촌동),031-8045-2114,2021-03-05,,
가평군,가평5일장,경기도 가평군 가평읍 장터2길 10,031-582-8181,2021-03-05,37.8297608931,127.5148864119
수원시,자연을담은떡,경기도 수원시 장안구 수성로261번길 62,031-251-9990,2021-03-05,37.2923502729,126.9993262623
화성시,마도농산물재래시장,경기도 화성시 마도면 두곡리 313-14,,2021-03-05,37.2062122346,126.7790840043
성남시,모란민속5일장,,,2021-03-05,,
성남시,강원반찬,경기도 성남시 수정구 수정북로 26  10호,031-753-0860,2021-03-05,37.4418010319,127.1324842649
가평군,청평5일장,경기도 가평군 청평면 시장중앙로 19,031-580-2631,2021-03-05,37.7346061435,127.4158805810
가평군,설악5일장,경기도 가평군 설악면 신천중앙로 104,031-580-2114,2021-03-05,37.6774461802,127.4921184686
수원시,못골종합시장,경기도 수원시 팔달구 수원천로258번길 10-12,031-246-5638,2021-03-05,37.2760247294,127.0207757343
수원시,지동시장,경기도 수원시 팔달구 팔달문로 19,031-256-0202,2021-03-05,37.2779218633,127.0195905812
고양시,마크트할레,경기도 고양시 일산동구 중앙로 1036,031-8075-3372,2021-03-05,37.6431934574,126.7897203592
용인시,용인백암장,경기도 용인시 처인구 백암면 백암리,,2021-03-05,,
군포시,군포역전시장,경기도 군포시 군포로 548-1,031-451-3542,2021-03-05,37.3548986645,126.9470038748
안성시,중앙시장,경기도 안성시 장기로 45번길 30일원(서인동),,2021-03-05,37.0065594739,127.2687945781
평택시,신장동 쇼핑몰,경기도 평택시 신장동 301-45 일대,,2021-03-05,37.0805105741,127.0507233004
평택시,안정리 로데오거리,경기도 평택시 팽성읍 안정쇼핑로,,2021-03-05,,
평택시,평택국제중앙시장,경기도 평택시 중앙시장로25번길 11-4,,2021-03-05,37.0807604823,127.0527222434
안산시,상록수가구거리,경기도 안산시 상록구 용신로 434,,2021-03-05,37.3012987670,126.8704769885
광명시,패션문화의거리,경기도 광명시 광명사거리,,2021-03-05,,
부천시,역곡상상시장,경기도 부천시 부일로749번길 31,032-343-8562,2021-03-05,37.4875733705,126.8118963048
하남시,하남덕풍전통재래시장,경기도 하남시 신장로154번길 57,031-794-3753,2021-03-05,37.5418177050,127.2035234062
하남시,신장전통재래시장,경기도 하남시 신장1로3번길 42,031-794-4626,2021-03-05,37.5378604443,127.2070140586
수원시,광교카페거리,경기도 수원시 영통구 센트럴파크로127번길 51,,2021-03-05,37.2943976768,127.0537170119
이천시,이진상회,경기도 이천시 마장면 서이천로 656,070-8888-8882,2021-03-05,37.2793232406,127.4000784865
수원시,28청춘청년몰,경기도 수원시 팔달구 수원천로255번길 6,031-242-6090,2021-03-05,37.2768907290,127.0187173017
의정부시,의정부 제일전통시장,경기도 의정부시 태평로73번길 20,031-846-2617,2021-03-05,37.7394019398,127.0501169382
안산시,댕이골 전통음식거리,경기도 안산시 상록구 석호공원로2길 16-1 (사동),***-****-****,2021-03-05,37.3000937866,126.8493421524
안산시,다문화거리,경기도 안산시 단원구 다문화길 16 일원,031-1666-1234,2021-03-05,37.3294296184,126.7906079412
이천시,롯데프리미엄아울렛(이천점),경기도 이천시 호법면 프리미엄아울렛로 177-74,031-777-2500,2021-03-05,37.2423205807,127.3999920575
이천시,수안도예명품관,경기도 이천시 경충대로 3052,031-633-2724,2021-03-05,37.3000170424,127.4083670273

