시군명,명소명,주소,유형,용도,데이터기준일자,정제지번주소,정제WGS84위도,정제WGS84경도
수원시,경기도청 구관,경기도 수원시 팔달구 고등동 42-85,건축물,업무시설,2021-02-19,경기도 수원시 팔달구 고등동 42-85,37.2751542986,127.0085646143
수원시,수원시가족여성회관 구)권선구청,경기도 수원시 팔달구 교동 74-1,건축물,업무시설,2021-02-19,경기도 수원시 팔달구 교동 74-1,37.2717674495,127.0134825580
안산시,구)안산 대부면사무소,경기도 안산시 단원구 대부북동 467,건축물,업무시설,2021-02-19,경기도 안산시 단원구 대부북동 467,37.2437694700,126.5852863736
안성시,미리내성지 본당,경기도 안성시 양성면 미산리 141,공간환경,종교시설,2021-02-19,경기도 안성시 양성면 미산리 141,37.1448570423,127.2598614779
안양시,농림축산검역본부,경기도 안양시 만안구 안양6동 480,건축물,교육연구 시설,2021-02-19,경기도 안양시 만안구 안양6동 480,37.3889976474,126.9280462689
안양시,안양신필름예술센터(구안양경찰서),경기도 안양시 만안구 안양6동 576-2,건축물,문화 및 집회시설,2021-02-19,경기도 안양시 만안구 안양6동 576-2,,
연천군,연천역 급수탑,경기도 연천군 연천읍 차탄리 34-373,공간환경,급수탑,2021-02-19,경기도 연천군 연천읍 차탄리 34-373,38.1018034738,127.0741718458
의정부시,전국주한미군한국인노동조합 KSC지부,경기도 의정부시 의정부1동 201-12,건축물,업무시설,2021-02-19,경기도 의정부시 의정부1동 201-12,37.7423374605,127.0470346224
파주시,임진각_자유의 다리,경기도 파주시 문산읍 마정리 509-1,공간환경,교량,2021-02-19,경기도 파주시 문산읍 마정리 509-1,,
파주시,장단역지_장단역지,경기도 파주시 장단면 동장리 198,공간환경,교량,2021-02-19,경기도 파주시 장단면 동장리 198,37.8641300323,126.7021511302
파주시,틸교(강승쟁이 다리),경기도 파주시 적성면 연천군 백학면,공간환경,교량,2021-02-19,경기도 파주시 적성면 연천군 백학면,,
파주시,판문점 공동경비구역_돌아오지 않는 다리,경기도 파주시 진서면,공간환경,교정 및 군사시설,2021-02-19,경기도 파주시 진서면,,
평택시,안재홍 생가,경기도 평택시 고덕면 두릉2리 646,건축물,전통가옥(1936년),2021-02-19,경기도 평택시 고덕면 두릉2리 646,37.0572093680,127.0189611359
포천시,산정호수,경기도 포천시 영북면 산정리,공간환경,전통가옥 (관광지),2021-02-19,경기도 포천시 영북면 산정리,,
하남시,구산성지,경기도 하남시 망월동 387-10,공간환경,순교지,2021-02-19,경기도 하남시 망월동 387-10,37.5722455587,127.1887830711
화성시,정용래 가옥,경기도 화성시 서신면 궁평2리 108,건축물,전통가옥,2021-02-19,경기도 화성시 서신면 궁평2리 108,37.1324681824,126.7014952729
가평군,청평댐,경기도 가평군 청평면 청평리 산112-0,공간환경,댐,2021-02-19,경기도 가평군 청평면 청평리 산112-0,37.7250200185,127.4152303414
고양시,강매동 석교,경기도 고양시 덕양구 강매동,공간환경,교량,2021-02-19,경기도 고양시 덕양구 강매동,,
광주시,신익희선생생가,경기도 광주시 초월면 서하리 160-1,건축물,단독주택,2021-02-19,경기도 광주시 초월면 서하리 160-1,37.4323621347,127.3065893645
김포시,갑곶나루터,경기도 김포시 월곶면 성동리 271-22,공간환경,나루터,2021-02-19,경기도 김포시 월곶면 성동리 271-22,37.7336183187,126.5268451510
남양주시,구)팔당역,경기도 남양주시 와부읍 팔당리 89-1,건축물,운수시설,2021-02-19,경기도 남양주시 와부읍 팔당리 89-1,37.5416830068,127.2548009604
남양주시,구)능내역,경기도 남양주시 조안면 능내리 132-6,건축물,운수시설,2021-02-19,경기도 남양주시 조안면 능내리 132-6,37.5236851751,127.2960757306
남양주시,팔당댐,경기도 남양주시 조안면 능내리 822,공간환경,댐,2021-02-19,경기도 남양주시 조안면 능내리 822,37.5281542175,127.2811147914
남양주시,북한강 철교,경기도 남양주시 조안면 송촌리,공간환경,교량,2021-02-19,경기도 남양주시 조안면 송촌리,,
성남시,수내동 가옥(이택구가옥),경기도 성남시 분당구 수내동 84,건축물,전통가옥(19세기말),2021-02-19,경기도 성남시 분당구 수내동 84,,
수원시,구)서울대농업생명과학부_강의동,경기도 수원시 권선구 서둔동 103-2,공간환경,교육연구 시설,2021-02-19,경기도 수원시 권선구 서둔동 103-2,37.2681405706,126.9870801562
수원시,구)서울대농업생명과학부_실험실동,경기도 수원시 권선구 서둔동 103-2,공간환경,교육연구 시설,2021-02-19,경기도 수원시 권선구 서둔동 103-2,37.2681405706,126.9870801562
수원시,구)서울대농업생명과학부_박물관,경기도 수원시 권선구 서둔동 103-2,공간환경,교육연구 시설,2021-02-19,경기도 수원시 권선구 서둔동 103-2,37.2681405706,126.9870801562
수원시,농촌진흥청 본관,경기도 수원시 권선구 서둔동 250,건축물,업무시설,2021-02-19,경기도 수원시 권선구 서둔동 250,37.2748106786,126.9849095752
수원시,농촌진흥청 도서관,경기도 수원시 권선구 서둔동 250,건축물,교육연구 시설,2021-02-19,경기도 수원시 권선구 서둔동 250,37.2748106786,126.9849095752
수원시,선경직물_공장(1),경기도 수원시 권선구 평동 4-11,공간환경,공장,2021-02-19,경기도 수원시 권선구 평동 4-11,37.2589635492,126.9931644245
수원시,선경직물_기숙사,경기도 수원시 권선구 평동 4-11,공간환경,공동주택,2021-02-19,경기도 수원시 권선구 평동 4-11,37.2589635492,126.9931644245
