시군명,시설명,소재주소,전화번호,데이터기준일자,정제WGS84위도,정제WGS84경도
가평군,가평 행복마을 캠핑장,경기도 가평군 상면 청군로 776-22,***-****-****,2021-03-05,37.7807231615,127.3715962087
가평군,가평 오렌지캠프,경기도 가평군 북면 멱골로272번길 7,***-****-****,2021-03-05,37.9133604479,127.5765638505
가평군,사계절글램핑,경기도 가평군 가평읍 북한강변로 154,,2021-03-05,37.7468013965,127.5252899531
양주시,선녀와나무꾼,경기도 양주시 덕계동 평화로1501번길 90,***-****-****,2021-03-05,37.8267800778,127.0465984885
연천군,석장리미술관 카라반,경기도 연천군 백왕로225번길 240-1,,2021-03-05,38.0542860631,126.9180748892
연천군,MG펜션(연천수영장캠핑장),경기도 연천군 신서면 대광리 165-3,,2021-03-05,38.2145976156,127.1392319400
양평군,서후리캠핑장,경기도 양평군 서차남1길 4-0,,2021-03-05,37.5727725926,127.4195622072
연천군,서정온천오토캠핑장,경기도 연천군 장남면 장백로330번길 137-28,031-835-0312,2021-03-05,37.9959184634,126.8859635803
과천시,서울대공원 캠핑장,경기도 과천시 대공원광장로 102,02-500-7335,2021-03-05,37.4364431708,127.0141028429
가평군,레저스테이션리조트,경기도 가평군 설악면 자잠로282번길 72-95,031-585-9131,2021-03-05,37.7000069281,127.4999433121
성남시,성남시 가족캠핑숲,경기도 성남시 수정구 가마절로 47,031-729-4299,2021-03-05,,
화성시,궁평캠프 승마장,경기도 화성시 서신면 궁평항로,031-357-7181,2021-03-05,,
양평군,글램퍼스 양평점,경기도 양평군 단월면 대부록길 38-3,***-****-****,2021-03-05,37.5793388058,127.6819551349
가평군,청평다감 캠핑장,경기도 가평군 청평면 호반로 886,***-****-****,2021-03-05,37.7106142691,127.4819948332
가평군,아침고요카라반글램핑,경기도 가평군 상면 임초밤안골로 306,***-****-****,2021-03-05,37.7476753950,127.3591784952
가평군,푸른숲캠핑장,경기도 가평군 설악면 유명산길 61-108,***-****-****,2021-03-05,37.5970282622,127.4946531385
양주시,양주송천캠핑장,경기도 양주시 백석읍 기산리 382-3번지,***-****-****,2021-03-05,37.7730074674,126.9377842926
김포시,문수골산장 캠핑장,경기도 김포시 월곶면 문수산로 104-107,031-997-8959,2021-03-05,37.7405399899,126.5353186441
