시군명,명소명,소재주소,전화번호,부가정보,데이터기준일자,정제WGS84위도,정제WGS84경도
포천시,산정호수,경기도 포천시 영북면 산정호수로411번길 89,031-532-6135,"경차 2,000원, 소형 5,000원, 중형 10,000원",2021-03-05,38.0688767268,127.3221174859
포천시,포천아트밸리,경기도 포천시 신북면 아트밸리로 234,031-538-3485,무료,2021-03-05,37.9234463151,127.2364959881
하남시,미사리경정공원,경기도 하남시 미사대로 505,031-790-8883,"유료주차, 소형 4,000원, 대형 10,000원",2021-03-05,37.5536314599,127.2132471118
화성시,용주사,경기도 화성시 용주로 136,031-234-0040,무료,2021-03-05,37.2117829498,127.0056181833
화성시,제부도,경기도 화성시 서신면 제부리 산12,031-369-1673,,2021-03-05,,
용인시,에버랜드,경기도 용인시 처인구 포곡읍 에버랜드로 199,031-320-5000,무료,2021-03-05,37.2899600847,127.2165861660
가평군,캠프통아일랜드,경기도 가평군 청평면 호반로 976,031-585-6000,이용요금 별도문의,2021-03-05,37.7105605363,127.4844341120
양평군,용문사,경기도 양평군 용문면 용문산로 782,031-773-3797,"소형차 1,000원 중,대형차 3,000원 버스 5,000원",2021-03-05,37.5502360275,127.5704624053
양평군,중미산자연휴양림,경기도 양평군 옥천면 중미산로 1152,031-771-7166,"경차 1,500원, 중·소형 3,000원, 대형 5,000원",2021-03-05,37.5832303936,127.4585126344
여주시,신륵사,경기도 여주시 여주읍 신륵사길 73 (천송동 282),031-885-2505,무료,2021-03-05,37.2974205240,127.6599488660
연천군,전곡선사박물관,경기도 연천군 전곡읍 평화로 443번길 2,031-830-5600,무료,2021-03-05,38.0115925690,127.0637687656
연천군,한탄강 오토캠핑장,경기도 연천군 전곡읍 선사로 76,031-833-0030,무료,2021-03-05,38.0088794383,127.0588638619
용인시,경기도박물관,경기도 용인시 기흥구 상갈로 6,031-288-5400,,2021-03-05,37.2682000947,127.1089114049
용인시,농촌테마파크,경기도 용인시 처인구 원삼면 농촌파크로 80-1,031-324-4081,무료,2021-03-05,37.1710136889,127.2971196591
용인시,양지파인리조트,경기도 용인시 처인구 양지면 남평로 112,031-338-2001,무료,2021-03-05,37.2119611078,127.2949476083
의왕시,코레일 철도박물관,경기도 의왕시 철도박물관로 142,031-461-3610,무료(입장권에포함),2021-03-05,37.3136408815,126.9505338525
용인시,대장금파크,경기도 용인시 처인구 백암면 용천드라마길 25,031-337-3241,무료,2021-03-05,37.1194420569,127.3370944418
이천시,돼지테마파크,경기도 이천시 임오산로372번길 129-7,031-641-7540,무료,2021-03-05,37.0857838483,127.5839371818
파주시,오두산 통일전망대,경기도 파주시 탄현면 필승로 369,031-956-9600,"소형차 2,000원/중형차 3,000원/대형차 4,000원",2021-03-05,37.7730255944,126.6771018353
파주시,프로방스마을,경기도 파주시 탄현면 새오리로 69,031-946-6353,"평일 2,000원/ 주말 최초 1시간 2,000원, 초과 1시간 당 1,000원(1일 주차 최고한도 10,000원)",2021-03-05,37.7904129369,126.6850635963
파주시,파주 프리미엄 아울렛,경기도 파주시 탄현면 필승로 200,031-1644-4001,,2021-03-05,37.7693560552,126.6965126169
파주시,임진각 평화누리,경기도 파주시 문산읍 마정리 618-13,031-956-8300,,2021-03-05,37.8932684331,126.7490079227
평택시,평택호관광단지,경기도 평택시 현덕면 평택호길 48 (평택호관광안내소),031-8024-8687,무료,2021-03-05,36.9148285364,126.9129147748
포천시,허브아일랜드,경기도 포천시 신북면 청신로947번길 35,031-535-6494,무료,2021-03-05,37.9659224212,127.1317087763
화성시,궁평항,경기도 화성시 서신면 궁평항로 1049-24,031-356-7339,무료,2021-03-05,37.1160239256,126.6812725007
포천시,국립수목원 (광릉수목원),경기도 포천시 소흘읍 광릉수목원로 415 국립수목원,031-540-2000,"대형 5,000원 소형 3,000원 경차 1500원 이륜차 1000원 장애인,유공자 무료",2021-03-05,37.7562444914,127.1656611245
고양시,렛츠런팜 원당,경기도 고양시 덕양구 서삼릉길 233-112,02-509-2672,무료,2021-03-05,37.6614774472,126.8682528344
