시군명,컨텐츠제목,컨텐츠타입,대분류,중분류,소분류,도로명주소,지번주소,우편번호,전화번호,원본대표이미지,썸네일대표이미지,컨텐츠등록시간,컨텐츠수정시간,WGS84위도,WGS84경도
가평군,K-26,관광지,인문(문화/예술/역사),체험관광지,산,경기도 가평군 청평면 고재길 262-57,경기도 가평군 청평면 고성리 59-1번지,12456,,http://tong.visitkorea.or.kr/cms/resource/18/2712818_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/18/2712818_image3_1.jpg,2021-04-08 16:49:20,2021-04-26 15:31:21,37.7030162614,127.5163130947
가평군,W지우리조트,숙박,숙박,숙박시설,산,경기도 가평군 가평읍 북한강변로 970-9,경기도 가평군 가평읍 달전리 159-15번지,12422,031-581-7770,http://tong.visitkorea.or.kr/cms/resource/77/2500177_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/77/2500177_image2_1.jpg,2017-07-18 10:02:49,2021-06-09 17:41:46,37.7998087205,127.5232861023
가평군,가일미술관,문화시설,인문(문화/예술/역사),문화시설,산,경기도 가평군 청평면 북한강로 1549,경기도 가평군 청평면 삼회리 609-6번지,12458,,http://tong.visitkorea.or.kr/cms/resource/89/1358589_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/89/1358589_image3_1.jpg,2005-06-28 00:00:00,2020-11-26 11:02:04,37.6604125811,127.3794340349
가평군,가평 잣고을 전통시장,쇼핑,쇼핑,쇼핑,산,경기도 가평군 가평읍 장터2길 10,경기도 가평군 가평읍 읍내리 404번지,12419,가평군청 031-580-2114,http://tong.visitkorea.or.kr/cms/resource/58/1787158_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/58/1787158_image3_1.jpg,2007-05-08 00:00:00,2021-06-28 10:25:50,37.8297608931,127.5148864119
가평군,가평 하이랜드,숙박,숙박,숙박시설,산,경기도 가평군 북면 가화로 2369-19,경기도 가평군 북면 도대리 319-17번지,12401,031-581-2256~7,http://tong.visitkorea.or.kr/cms/resource/37/1979637_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/37/1979637_image2_1.JPG,2014-12-26 09:49:46,2020-12-16 14:10:42,37.9525444767,127.4763698847
가평군,"가평5일장 / 잣고을전통시장 (5, 10일)",쇼핑,쇼핑,쇼핑,산,경기도 가평군 가평읍 장터2길 10,경기도 가평군 가평읍 읍내리 404번지,12419,,http://tong.visitkorea.or.kr/cms/resource/13/2364413_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/13/2364413_image3_1.jpg,2002-04-17 00:00:00,2021-01-15 11:38:58,37.8297608931,127.5148864119
가평군,가평문화예술회관,문화시설,인문(문화/예술/역사),문화시설,산,경기도 가평군 가평읍 문화로 131,경기도 가평군 가평읍 대곡리 316번지,12416,,http://tong.visitkorea.or.kr/cms/resource/34/1589034_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/34/1589034_image3_1.jpg,2006-06-08 00:00:00,2020-12-01 13:50:35,37.8236957630,127.5070335546
가평군,가평문화원,문화시설,인문(문화/예술/역사),문화시설,산,경기도 가평군 가평읍 문화로 131,경기도 가평군 가평읍 대곡리 316번지,12416,,http://tong.visitkorea.or.kr/cms/resource/64/1785864_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/64/1785864_image3_1.jpg,2007-11-06 01:33:59,2020-12-01 13:52:19,37.8236957630,127.5070335546
가평군,가평현암농경유물박물관,문화시설,인문(문화/예술/역사),문화시설,산,경기도 가평군 북면 석장모루길 13,경기도 가평군 북면 이곡리 13-45번지,12407,,http://tong.visitkorea.or.kr/cms/resource/50/1090950_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/50/1090950_image3_1.jpg,2007-07-10 00:00:00,2020-11-13 13:47:53,37.8793061516,127.5481231897
가평군,국립 유명산자연휴양림,관광지,자연,자연관광지,산,경기도 가평군 설악면 유명산길 79-53,경기도 가평군 설악면 가일리 산35번지,12473,,http://tong.visitkorea.or.kr/cms/resource/77/219377_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/77/219377_image3_1.jpg,2007-10-14 00:00:00,2021-04-28 16:55:38,37.5932243492,127.4911984972
가평군,나무아래오후,음식점,음식,음식점,산,경기도 가평군 상면 임초밤안골로 254,경기도 가평군 상면 행현리 592-12번지,12448,031-585-3203,http://tong.visitkorea.or.kr/cms/resource/74/2024674_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/74/2024674_image3_1.jpg,2015-08-21 15:08:19,2020-07-30 14:45:45,37.7504116055,127.3635890417
가평군,나인포레스트 이화원,관광지,인문(문화/예술/역사),휴양관광지,산,경기도 가평군 가평읍 자라섬로 64,경기도 가평군 가평읍 대곡리 57-3번지,12421,,http://tong.visitkorea.or.kr/cms/resource/07/2431707_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/07/2431707_image3_1.jpg,2010-07-15 11:17:51,2021-05-24 15:19:55,37.8183315091,127.5195652178
가평군,남송미술관,문화시설,인문(문화/예술/역사),문화시설,산,경기도 가평군 북면 백둔로 322,경기도 가평군 북면 백둔리 198-9번지,12406,,http://tong.visitkorea.or.kr/cms/resource/83/1591283_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/83/1591283_image3_1.jpg,2010-07-15 13:49:14,2021-01-26 14:15:13,37.9045132527,127.4722674534
가평군,더 스테이호텔[한국관광 품질인증/Korea Quality],숙박,숙박,숙박시설,산,경기도 가평군 가평읍 보납로 73,경기도 가평군 가평읍 읍내리 291-13번지,12411,031-581-5711,http://tong.visitkorea.or.kr/cms/resource/32/2572332_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/32/2572332_image3_1.jpg,2013-12-16 13:20:13,2020-11-27 09:34:23,37.8319144902,127.5187278696
가평군,동기간,음식점,음식,음식점,산,경기도 가평군 가평읍 보납로 459-158,경기도 가평군 가평읍 개곡리 487번지,12410,031-581-5570,http://tong.visitkorea.or.kr/cms/resource/85/2010785_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/85/2010785_image3_1.jpg,2015-06-24 10:38:36,2021-03-08 14:25:43,37.8552678227,127.5490510666
가평군,명지산생태전시관,문화시설,인문(문화/예술/역사),문화시설,산,경기도 가평군 북면 가화로 2089-42,경기도 가평군 북면 도대리 240-6번지,12401,,,,2011-02-09 17:11:58,2020-12-31 13:42:42,37.9359262380,127.4874820603
가평군,쁘띠프랑스,관광지,인문(문화/예술/역사),체험관광지,산,경기도 가평군 청평면 호반로 1063,경기도 가평군 청평면 고성리 616-2번지,12456,,http://tong.visitkorea.or.kr/cms/resource/73/2529573_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/73/2529573_image2_1.jpg,2008-08-05 13:13:49,2021-02-01 17:04:55,37.7144819426,127.4899928415
