시군명,시설명,소재주소,전화번호,데이터기준일자,정제WGS84위도,정제WGS84경도
부천시,부천교육박물관,경기도 부천시 원미구 소사로 482,032-661-1282,2021-03-05,37.5025683041,126.7990308442
부천시,부천물박물관,경기도 부천시 오정구 길주로 691 까치울정수장 관리본관 1층,032-625-3399,2021-03-05,37.5072920688,126.8192657978
파주시,헤이리예술마을,경기도 파주시 탄현면 헤이리마을 59-78,031-946-8551,2021-03-05,,
파주시,인스퀘어(라임트리),경기도 파주시 탄현면 헤이리마을길 21-6,031-957-0896,2021-03-05,37.7880945144,126.6965709666
포천시,한과문화박물관 한가원,경기도 포천시 영북면 산정호수로322번길 26-9,031-533-8121,2021-03-05,38.0683427258,127.3037184661
구리시,고구려대장간마을,경기도 구리시 우미내길 41,031-557-1010,2021-03-05,37.5608108938,127.1109423293
용인시,용인 대장금 파크,경기도 용인시 처인구 드라마길 25,031-337-3241,2021-03-05,,
수원시,kbs수원센터,경기도 수원시 팔달구 인계로 123,031-219-8081,2021-03-05,37.2700626052,127.0333330914
파주시,프로방스,경기도 파주시 탄현면 새오리로 79-24,031-946-6353,2021-03-05,37.7912878099,126.6838500957
남양주시,몽골문화촌,경기도 남양주시 수동면 비룡로 1635,031-559-8018,2021-03-05,37.7577206981,127.2749798841
평택시,지영희국악관,경기도 평택시 현덕면 평택호길 147 한국소리터어울림동 1층,031-8024-8689,2021-03-05,36.9211325623,126.9208602354
화성시,경기도농업기술원,경기도 화성시 병점중앙로 283-33,031-229-5900,2021-03-05,37.2230139162,127.0436776490
파주시,활판공방,경기도 파주시 문발로 203,031-955-0084,2021-03-05,37.7126225579,126.6865517007
파주시,엘비스프레스리기념관,경기도 파주시 광탄면 보광로920번길 30,031-948-3385,2021-03-05,37.7772342014,126.8836321963
양주시,가나아트파크,경기도 양주시 장흥면 권율로 117,031-877-0500,2021-03-05,37.7256376098,126.9499667560
안성시,조병화문학관,경기도 안성시 양성면 난실길 14-1,031-674-0307,2021-03-05,37.1120788965,127.2216288288
안산시,성호기념관,경기도 안산시 상록구 성호로 131,031-481-2574,2021-03-05,37.3150945491,126.8595842753
안산시,누에섬등대전망대,경기도 안산시 단원구 대부황금로 17-156,***-****-****,2021-03-05,37.1866361754,126.6314801376
부천시,펄벅기념관,경기도 부천시 소사구 성주로214번길 61,032-668-7565,2021-03-05,37.4755589460,126.7817081154
남양주시,김교각기념관,경기도 남양주시 와부읍 석실로율석안길 167 백천사,031-577-6433,2021-03-05,37.6251331075,127.2313538018
광주시,물환경전시관,경기도 광주시 남종면 산수로 1692,031-8008-6937,2021-03-05,37.4995894490,127.3030107656
광명시,오리이원익기념관,경기도 광명시 오리로 287,02-2680-6307,2021-03-05,37.4285174082,126.8805010378
수원시,수원화성홍보관,경기도 수원시 팔달구 행궁로 11,031-290-3600,2021-03-05,37.2807973662,127.0151841956
수원시,아담스기념관,경기도 수원시 팔달구 매향동 110번지,031-228-2476,2021-03-05,,
광주시,일본군 위안부 역사관,경기도 광주시 퇴촌면 가새골길 85,031-768-0064,2021-03-05,37.4428513339,127.3220161151
파주시,20세기소년소녀관,경기도 파주시 탄현면 헤이리마을길 59-118,031-957-0636,2021-03-05,37.7922982375,126.6957872005
파주시,파주장단콩전시관,경기도 파주시 문산읍 임진각로 148-73,031-940-4516,2021-03-05,37.8914474615,126.7402694900
평택시,평택항홍보관,경기도 평택시 포승읍 평택항로 98,031-682-5663,2021-03-05,36.9700340047,126.8475563080
파주시,월당전시관,경기도 파주시 문산읍 반구정로 36-13,031-945-9199,2021-03-05,37.8671850711,126.7586979516
고양시,행주대첩기념관,경기도 고양시 덕양구 행주내동 산12,031-974-7237,2021-03-05,,
안산시,최용신기념관,경기도 안산시 상록구 샘골서길 64번지,031-481-3040,2021-03-05,37.2996169619,126.8627620008
의왕시,경기의왕 레일바이크,경기도 의왕시 왕송못동로 209(월암동),070-7178-4393,2021-03-05,37.3108723627,126.9502605930
수원시,경기상상캠퍼스,경기도 수원시 권선구 서둔로 166,031-296-1980,2021-03-05,37.2667795130,126.9850141660
성남시,성남고령친화종합체험관,경기도 성남시 분당구 야탑로205번길 26,031-1644-0891,2021-03-05,37.4106906719,127.1429531885
가평군,인터랙티브아트뮤지엄,경기도 가평군 가평읍 호반로 1655,070-8899-4251,2021-03-05,37.7434777253,127.5106353981
수원시,경기도문화의전당,경기도 수원시 팔달구 효원로 307번길 20,031-230-3200,2021-03-05,37.2614188559,127.0380891883
파주시,UV하우스(오래된정원),경기도 파주시 탄현면 헤이리마을길 29,031-944-1194,2021-03-05,37.7874767658,126.6971795703
의정부시,의정부예술의전당,경기도 의정부시 의정로 1,031-828-5841,2021-03-05,37.7334540146,127.0340829964
연천군,연천수레울아트홀,경기도 연천군 연천읍 문화로 150,031-834-3770,2021-03-05,38.1071229181,127.0797747877
안성시,무비마운틴,경기도 안성시 원곡면 천덕산로 828-6,031-655-4895,2021-03-05,37.0669248242,127.1684071225
성남시,성남시 야외공연장,경기도 성남시 분당구 성남대로 550 (수내동),031-711-7762,2021-03-05,37.3803005535,127.1211729072
부천시,부천시민회관,경기도 부천시 부일로 365,032-320-6481,2021-03-05,37.4886329267,126.7706559990
