시군명,명소명,주소,유형,용도,데이터기준일자,정제WGS84위도,정제WGS84경도
하남시,하남춘궁동 동사지,경기도 하남시 춘궁동 457-3,공간환경,사찰,2021-02-19,37.5181750464,127.1860768782
화성시,남양향교,경기도 화성시 남양동 335,건축물,향교,2021-02-19,37.2044025785,126.8003555625
고양시,고양 벽제관지,경기도 고양시 덕양구 고양동 55-1,공간환경,주거건물지,2021-02-19,37.7045601446,126.9009447432
고양시,북한산성_중흥사지,경기도 고양시 덕양구 북한동 259,공간환경,사찰,2021-02-19,37.6458562032,126.9766271425
고양시,월산대군사당(月山大君祠堂),경기도 고양시 덕양구 신원동 427,건축물,사당,2021-02-19,37.6760173625,126.8728415537
고양시,공양왕릉(恭讓王陵),경기도 고양시 덕양구 원당동 산65-1,공간환경,릉,2021-02-19,37.6803540198,126.8390977184
고양시,행주산성_행주서원지,경기도 고양시 덕양구 행주외동 162-1,공간환경,서원,2021-02-19,37.5996042950,126.8186257304
과천시,연주대_연주암(3층석탑),경기도 과천시 중앙동 85-1,공간환경,사찰,2021-02-19,37.4418460902,126.9648815589
과천시,연주대_관악사지,경기도 과천시 중앙동 산12-9,공간환경,사찰,2021-02-19,37.4435795199,126.9655022859
광주시,남한산성_망월사지,경기도 광주시 중부면 산성리 14,공간환경,사찰,2021-02-19,37.4783161693,127.1961966446
광주시,남한산성_장경사(長慶寺),경기도 광주시 중부면 산성리 22-1,공간환경,사찰,2021-02-19,37.4752740460,127.1979506557
광주시,남한산성_연무관,경기도 광주시 중부면 산성리 400-1,공간환경,관아,2021-02-19,37.4781901288,127.1864268763
광주시,남한산성_숭렬전(崇烈殿),경기도 광주시 중부면 산성리 717,공간환경,사당,2021-02-19,37.4812850459,127.1803949973
광주시,남한산성_남한산성,경기도 광주시 중부면 산성리 산1,공간환경,성곽,2021-02-19,37.4792158514,127.1985377376
김포시,우저서원(牛渚書院),경기도 김포시 감정동 492,건축물,서원,2021-02-19,37.6265732585,126.6943578432
김포시,대포서원,경기도 김포시 양촌읍 대포리 산32-3,건축물,서원,2021-02-19,37.6170342649,126.6292288831
김포시,장릉(章陵),경기도 김포시 풍무동 141-1,공간환경,릉,2021-02-19,,
남양주시,홍유릉,경기도 남양주시 금곡동 438,공간환경,릉,2021-02-19,37.6319084295,127.2110992593
남양주시,불암사,경기도 남양주시 별내면 화접리 797,건축물,사찰,2021-02-19,37.6588698484,127.1006582777
수원시,수원화성_수원화성,경기도 수원시 장안구 연무동 190,공간환경,성곽,2021-02-19,37.2878218633,127.0183314223
수원시,수원화성_행궁,경기도 수원시 팔달구 남창동 6-2,공간환경,행궁,2021-02-19,37.2818848306,127.0143988553
수원시,수원향교,경기도 수원시 팔달구 교동 43,건축물,향교,2021-02-19,37.2728525821,127.0121333387
안성시,석남사,경기도 안성시 금광면 상중리 508,건축물,사찰,2021-02-19,36.9397947684,127.3071226595
안성시,안성향교,경기도 안성시 명륜동 118,건축물,향교,2021-02-19,37.0138868798,127.2763974186
안성시,운수암,경기도 안성시 양성면 방신리 85,건축물,사찰,2021-02-19,37.0361987088,127.1697214213
안성시,칠장사,경기도 안성시 죽산면 칠장리 764,건축물,사찰,2021-02-19,37.0263280823,127.3967906373
양주시,양주 관아지,경기도 양주시 유양동 141-1,공간환경,관아지,2021-02-19,37.7856760794,127.0294511072
양주시,온릉(溫陵),경기도 양주시 장흥면 일영리 산19,공간환경,릉,2021-02-19,37.7199258062,126.9505195942
양주시,양주 회암사지,경기도 양주시 회암동 산14,공간환경,사찰,2021-02-19,,
