시군명,관광정보명,소재주소,전화번호,데이터기준일자,정제WGS84위도,정제WGS84경도
의왕시,하우현 성당,경기도 의왕시 청계동 201,031-426-8921,2021-03-05,37.3959747759,127.0237413257
의왕시,모락산성,경기도 의왕시 내손동 산 122번지,,2021-03-05,37.3692000118,126.9765105337
의왕시,한익모 선생묘,경기도 의왕시 월암동 산 27-1,031-345-2533,2021-03-05,37.3070965187,126.9586424039
의왕시,채세영선생묘 및 신도비,경기도 의왕시 포일동 산12,031-345-2533,2021-03-05,37.3973053878,126.9979693511
의왕시,안자묘,경기도 의왕시 왕곡동 산 4-1번지,031-345-2533,2021-03-05,37.3499125722,127.0078865806
의왕시,정인섭동요비,경기도 의왕시 청계동 산11 천주교 공원묘지 내,031-458-3452,2021-03-05,,
의왕시,사근행궁터,경기도 의왕시 사그내길 11,031-345-2533,2021-03-05,37.3478643691,126.9759252471
의왕시,갈미한글공원,경기도 의왕시 문화예술로 일원(내손동 207번지),031-345-2533,2021-03-05,,
과천시,보광사 목조여래좌상,경기도 과천시 교육원로 41 보광사 내,,2021-03-05,37.4227894787,126.9847839400
과천시,과천관악사지,경기도 과천시 중앙동 산12-1 중앙동 산12-9,,2021-03-05,,
과천시,시흥 문원리 삼층석탑,경기도 과천시 교육원로 41,,2021-03-05,37.4227894787,126.9847839400
과천시,역대 현감비석군,경기도 과천시 관악산길 58,,2021-03-05,37.4360828220,126.9926958750
성남시,망경암 마애여래좌상,경기도 성남시 수정구 태평로 55번길 72,,2021-03-05,37.4535514314,127.1371980910
고양시,행주산성,경기도 고양시 덕양구 행주내동 산 26,031-8075-4642,2021-03-05,,
포천시,지장산,경기도 포천시 관인면 중리 산251-1,031-538-4652,2021-03-05,,
포천시,포천고모리산성,경기도 포천시 소흘읍 고모리 산 64,031-538-2106,2021-03-05,37.7885622948,127.1574706231
평택시,평택원정리봉수대,경기도 평택시 포승읍 원정리 109-54,031-655-2002,2021-03-05,,
이천시,설봉산성,경기도 이천시 사음동 산24,031-644-2114,2021-03-05,37.2869394294,127.4186918929
오산시,독산성 세마대지,경기도 오산시 지곶동 155,031-8036-7604,2021-03-05,37.1826080697,127.0188955683
연천군,연천호로고루,경기도 연천군 장남면 원당리 1258,031-839-2144,2021-03-05,37.9857546887,126.8595592894
김포시,문수산성,경기도 김포시 월곶면 문수산로 102-38,031-920-2965,2021-03-05,37.7378268361,126.5308936298
여주시,파사성,경기도 여주시 대신면 천서리 산9,031-887-3562,2021-03-05,37.4105063754,127.5488058789
양주시,양주대모산성,경기도 양주시 백석읍 방성리 789 일원,,2021-03-05,37.7868976007,127.0102382551
안성시,무양산성(무한성),경기도 안성시 일죽면 금산리 산48,031-678-2504,2021-03-05,37.0561341262,127.4886841739
안성시,금광산성,경기도 안성시 금광면 금광리 산64,031-677-1330,2021-03-05,36.9953349823,127.3228380647
연천군,당포성,경기도 연천군 미산면 동이리 778,031-839-2289,2021-03-05,38.0234539456,126.9854798447
안산시,청문당,경기도 안산시 상록구 청곡길 77,031-481-3437,2021-03-05,37.3394040084,126.8729136307
안산시,고송정지,경기도 안산시 화정동 산58,031-481-3437,2021-03-05,37.3590827845,126.8351592250
동두천시,요석공주별궁지,경기도 동두천시 상봉암동 산1-1번지,031-860-2064,2021-03-05,37.9459362613,127.0693244005
김포시,갑곶나루선착장,경기도 김포시 월곶면 성동리 271-22,031-980-2741,2021-03-05,37.7336183187,126.5268451510
시흥시,시흥 방산동 청자와 백자 요지,경기도 시흥시 방산동 370-1외,031-310-2936,2021-03-05,37.4143559091,126.7738236055
김포시,월곶면민만세운동유적비,경기도 김포시 월곶면 김포대로 2857-39,031-980-5345,2021-03-05,37.7174538457,126.5359471340
광주시,개원사지,경기도 광주시 남한산성로 731-73,031-741-8829,2021-03-05,37.4744850512,127.1857394656
고양시,벽제관지,경기도 고양시 덕양구 벽제관로 34-16,031-8075-3396,2021-03-05,37.7045601446,126.9009447432
하남시,현충탑,경기도 하남시 창우동 461-9,031-790-6114,2021-03-05,37.5299908396,127.2359702441
이천시,이천 신대리 백송,경기도 이천시 백사면 신대리 산32번지 외 7필,031-644-2114,2021-03-05,37.3200145048,127.4605373095
이천시,반룡송,경기도 이천시 백사면 도립리 201-1,031-644-2114,2021-03-05,37.3405440612,127.4754335832
연천군,연천심원사지,경기도 연천군 신서면 동내로970번길 32-268,031-839-2061,2021-03-05,38.1284059020,127.1527663533
여주시,고달사지,경기도 여주시 북내면 상교리 411-1,031-887-3587,2021-03-05,37.3937374221,127.6524637426
양평군,세심정,경기도 양평군 용문면 덕촌리 산 137,031-770-2474,2021-03-05,,
양주시,회암사지,경기도 양주시 회암사길 11,031-8082-4187,2021-03-05,37.8412152854,127.1029730840
안성시,최규서어서각,경기도 안성시 원곡면 만리길 35,031-677-1330,2021-03-05,37.0589833024,127.1465763208
안성시,입사장,경기도 안성시 보개면 기좌리 257,031-676-2592,2021-03-05,37.0377109423,127.2879025188
파주시,반구정,경기도 파주시 문산읍 반구정로 85번길 3,031-940-5831,2021-03-05,37.8678502309,126.7527110581
파주시,화석정,경기도 파주시 파평면 화석정로 152-72,031-940-5831,2021-03-05,37.8876773885,126.8054943500
안성시,안성객사,경기도 안성시 보개면 종합운동장로 205,031-678-2502,2021-03-05,37.0150533641,127.3225016593
양주시,금화정,경기도 양주시 부흥로 1399번길 15,,2021-03-05,37.7856760794,127.0294511072
남양주시,다산유적지,경기도 남양주시 조안면 다산로747번길 11,031-590-2837,2021-03-05,37.5162760421,127.2990516016
연천군,은대리 물거미서식지,경기도 연천군 전곡읍 은대리 693-18 일원,031-839-2061,2021-03-05,38.0437838398,127.0601946387
포천시,금수정,경기도 포천시 창수면 오가리 546,031-532-5015,2021-03-05,38.0158147023,127.1875202073
하남시,하남시상사창동연자마,경기도 하남시 상사창동 346-2,031-790-5116,2021-03-05,37.4931042304,127.1904776122
화성시,제암리 3·1운동순국기념관,경기도 화성시 향남읍 제암길 50,031-369-1663,2021-03-05,37.1263039160,126.8915960619
안산시,오정각,경기도 안산시 화정동 29,031-481-3437,2021-03-05,37.3599966061,126.8315225367
고양시,원흥동 신라말 고려초기 청자요,경기도 고양시 덕양구 원흥동 산88,031-961-2201,2021-03-05,,
동두천시,어유소장군생가,경기도 동두천시 지행동 255-4,031-860-2064,2021-03-05,,
고양시,북한산 중흥사지,경기도 고양시 덕양구 대서문길 393,,2021-03-05,37.6461731184,126.9769536483
양주시,임꺽정생가터,경기도 양주시 유양동 576-1　,,2021-03-05,37.7875086211,127.0237931625
안성시,안성정무공오정방고택,경기도 안성시 양성면 덕봉길 68-14,031-678-2502,2021-03-05,37.0465546260,127.1857467895
양평군,화서이항로생가,경기도 양평군 서종면 화서1로 239,031-774-5326,2021-03-05,37.6394233226,127.4270959155
양평군,김병호 고가,경기도 양평군 용문면 오촌리 181번지,031-770-2473,2021-03-05,37.5351999485,127.5861587505
여주시,명성황후생가,경기도 여주시 여주읍 명성로 71,031-881-9730,2021-03-05,37.2599030089,127.6541067136
의정부시,서계 박세당 사랑채,경기도 의정부시 동일로128번길 36,031-828-2156,2021-03-05,37.7002855467,127.0575680745
평택시,민세안재홍생가,경기도 평택시 고덕면 계루지1길 7,031-665-3365,2021-03-05,37.0572093680,127.0189611359
시흥시,생금집,경기도 시흥시 죽율로 45-32,031-310-6702,2021-03-05,37.3505938330,126.7582752593
남양주시,궁집,경기도 남양주시 평내로 9,031-1600-0064,2021-03-05,37.6443217007,127.2309106456
성남시,봉국사 목조아미타여래좌상,경기도 성남시 수정구 태평로 79,,2021-03-05,37.4504899195,127.1352908632
용인시,약천남구만 묘소,경기도 용인시 처인구 모현읍 초부리 90-7,,2021-03-05,37.3153457626,127.2445112553
용인시,용인 서리 고려백자요지,"경기도 용인시 처인구 이동면 중덕로 7, 외 (서리)",,2021-03-05,37.2042049677,127.1760677698
용인시,서봉사 현오국사탑비,경기도 용인시 수지구 신봉동 서봉사지,,2021-03-05,,
용인시,용인 미평리 약사여래입상,경기도 용인시 처인구 원삼면 미평리,,2021-03-05,,
용인시,용덕사 석조여래입상,경기도 용인시 처인구 이동읍 묵리,,2021-03-05,,
의왕시,청계사 조정숙공사당기비,경기도 의왕시 청계동11,031-426-2670,2021-03-05,37.4120725443,127.0348717747
의왕시,청계사 동종 및 목판,경기도 의왕시 청계동 11,031-429-2670,2021-03-05,37.4120725443,127.0348717747
수원시,수원광주이씨고택수원광주이씨고택,경기도 수원시 장안구 파장천로 56-9 (파장동),,2021-03-05,37.3097569433,126.9974052910
수원시,서북공심돈,경기도 수원시 장안구 영화동 372-1,,2021-03-05,37.2858764792,127.0093322335
광주시,현절사,경기도 광주시 남한산성로 732-42,031-760-4821,2021-03-05,37.4779319373,127.1905431414
김포시,통진향교,경기도 김포시 월곶면 군하로 288-21,031-989-4207,2021-03-05,37.7169565963,126.5501928022
광주시,청량당,경기도 광주시 중부면 산성리 815-2,031-760-4822,2021-03-05,37.4797463077,127.1761763820
용인시,충렬서원,경기도 용인시 처인구 모현읍 충렬로 9-19,031-324-2147,2021-03-05,37.3410837713,127.1701182488
고양시,고양향교,경기도 고양시 덕양구 대양로285번길 33-13 (고양동),031-8075-3396,2021-03-05,37.7037363723,126.8949502796
안산시,이익선생묘소,경기도 안산시 상록구 일동 555,031-481-3437,2021-03-05,37.3161187059,126.8598815589
남양주시,순강원,경기도 남양주시 진접읍 내각2로 84-31,031-563-2909,2021-03-05,37.7121727515,127.1573386845
동두천시,삼충단,경기도 동두천시 상패동 894,031-860-2064,2021-03-05,37.9131000021,127.0210994291
광주시,곤지암,경기도 광주시 곤지암읍 곤지암로 72,031-760-4822,2021-03-05,37.3495462894,127.3387438481
광명시,이순신묘,경기도 광명시 일직동 산 26-7,02-2680-6142,2021-03-05,37.4231073296,126.8779007615
고양시,고려공양왕릉,경기도 고양시 덕양구 원당동 산65-6,031-909-9000,2021-03-05,37.6798761477,126.8388380402
평택시,원균장군묘,경기도 평택시 도일동 산 82,031-659-6018,2021-03-05,37.0550465155,127.1071443226
