시군명,업체명,소재주소,전화번호,데이터기준일자,정제WGS84위도,정제WGS84경도
파주시,소풍호텔,경기도 파주시 탄현면 요풍길 119-1,031-944-7942,2021-03-05,37.7849662009,126.6820458015
용인시,호텔리버,경기도 용인시 기흥구 갈천로7번길 73,031-283-3601,2021-03-05,37.2709709334,127.1072616102
안산시,굿스테이안산호텔,경기도 안산시 상록구 구룡로2길 20,031-408-8700,2021-03-05,37.3100757848,126.8683274139
여주시,남강모텔,경기도 여주시 강변북로 7,031-886-0303,2021-03-05,37.3006708852,127.6489542868
고양시,호텔쉘,경기도 고양시 덕양구 화중로 32-9,031-972-0229,2021-03-05,37.6303633221,126.8306186527
파주시,유일레저,경기도 파주시 광탄면 보광로 877,031-948-6161,2021-03-05,37.7728497989,126.8828624076
수원시,뉴필모텔,경기도 수원시 팔달구 인계로166번길 24,031-223-3765,2021-03-05,37.2654091667,127.0350535379
고양시,리젠트인호텔,경기도 고양시 일산서구 중앙로 1560-14,031-913-2853,2021-03-05,37.6764598468,126.7487494672
수원시,호텔퍼시픽,경기도 수원시 팔달구 효원로235번길 38,031-895-4045,2021-03-05,37.2645266795,127.0284387388
양주시,솔내음한옥펜션,경기도 양주시 장흥면 유원지로89번길 28-12,031-855-2634,2021-03-05,37.7003964378,126.9376298259
연천군,조선왕가,경기도 연천군 연천읍 현문로 339-10,031-834-3173,2021-03-05,38.0635499501,127.1014782525
양평군,한옥마을펜션,경기도 양평군 강하면 전의1길 43-6,031-773-6300,2021-03-05,37.5012311263,127.4332946169
양주시,매화당 한옥 펜션,경기도 양주시 남면 휴암로443번길 47,***-****-****,2021-03-05,37.8940273925,126.9573599808
안성시,거먹골한옥펜션,경기도 안성시 금광면 현곡길 294,***-****-****,2021-03-05,36.9625457911,127.3570204669
용인시,효종당,경기도 용인시 기흥구 동백8로113번길 64,***-****-****,2021-03-05,37.2869407656,127.1681661494
양평군,책읽는장수한옥,경기도 양평군 강하면 성덕큰골길 33-39,031-771-5678,2021-03-05,37.4577502979,127.4207145132
양평군,정배리한옥펜션,경기도 양평군 서종면 중미산로 912,***-****-****,2021-03-05,37.5956125057,127.4334143606
