시군명,관광정보명,소재주소,전화번호,데이터기준일자,정제WGS84위도,정제WGS84경도
평택시,서해대교,경기도 평택시 포승읍 만호리 327-4,,2021-03-05,,
김포시,재두루미도래지,경기도 김포시 하성면 가금리 538,,2021-03-05,37.7395319232,126.6029212511
이천시,노성산말머리바위,경기도 이천시 설성면 진상미로 238-7 노성산,,2021-03-05,,
안산시,구봉도낙조전망대,경기도 안산시 단원구 구봉타운길 43,031-1899-1720,2021-03-05,37.2810670817,126.5519194344
고양시,노래하는분수대,경기도 고양시 일산동구 호수로 595,031-924-5822,2021-03-05,37.6537546960,126.7686925095
양평군,두물머리,경기도 양평군 양서면 양수리 697,031-770-1001,2021-03-05,37.5336211096,127.3174769426
가평군,잣향기푸른숲,경기도 가평군 상면 축령로 289-146,031-8008-6769,2021-03-05,37.7691476559,127.3335677739
군포시,초막골생태공원,경기도 군포시 초막골길 216,031-390-4051,2021-03-05,37.3540980034,126.9191199737
포천시,산정호수,경기도 포천시 영북면 산정호수로411번길 89,031-532-6135,2021-03-05,38.0688767268,127.3221174859
안성시,칠곡호수,경기도 안성시 원곡면 칠곡리,031-673-9771,2021-03-05,,
안성시,청룡호수,경기도 안성시 서운면 청용리 산1-17,031-673-9771,2021-03-05,36.9057561350,127.2811275095
평택시,평택호관광단지,경기도 평택시 현덕면 평택호길 159,031-8024-8687,2021-03-05,36.9214457112,126.9222275949
시흥시,청룡저수지,경기도 시흥시 방산동 634-4,031-313-8050,2021-03-05,37.4118506147,126.7600281196
시흥시,과림저수지,경기도 시흥시 과림저수지길 79,02-2612-3858,2021-03-05,37.4531039786,126.8272720860
용인시,이동저수지,경기도 용인시 처인구 이동면 어비리 산46,,2021-03-05,37.1286763966,127.2073771309
양주시,신암저수지,경기도 양주시 남면 신암리,031-863-5882,2021-03-05,,
여주시,신륵사관광지,경기도 여주시 신륵사길 73,031-885-2505,2021-03-05,37.2974205240,127.6599488660
양주시,덕계저수지,경기도 양주시 덕계동 산7,031-864-6536,2021-03-05,37.8306421880,127.0390946366
부천시,시민의강,경기도 부천시 부흥로 399,032-625-3563,2021-03-05,37.4903812461,126.7853556534
포천시,포천 화적연,경기도 포천시 영북면 자일리 산115-2,031-538-2106,2021-03-05,38.1173931324,127.2669831447
광주시,팔당호,경기도 광주시 남종면 우천리 55,031-760-2000,2021-03-05,,
화성시,남양호(남양황라),경기도 화성시 우정읍 이화리 1604,031-369-2114,2021-03-05,37.0159583555,126.8062290694
포천시,고모리저수지,경기도 포천시 소흘읍 죽엽산로 452,031-538-4102,2021-03-05,37.7945844373,127.1648750759
여주시,여강길,경기도 여주시 강변유원지길 105,031-884-9089,2021-03-05,37.2930661916,127.6669008963
의왕시,덕성산,경기도 의왕시 월암동,031-345-3521,2021-03-05,,
화성시,공룡알화석산지,경기도 화성시 공룡로 659,031-357-3951,2021-03-05,37.2622243437,126.7470757939
연천군,임진강,경기도 연천군 미산면 동이리,031-839-2061,2021-03-05,,
과천시,막계청담(과천저수지),경기도 과천시 막계동 408,,2021-03-05,37.4330479526,127.0132541814
연천군,한탄강관광지,경기도 연천군 전곡읍 선사로76,031-833-0030,2021-03-05,38.0088794383,127.0588638619
파주시,애룡저수지,경기도 파주시 법원읍 애룡길 194,031-950-3260,2021-03-05,37.8273370114,126.8581600262
가평군,운악산,경기도 가평군 조종면,,2021-03-05,,
가평군,명지산,경기도 가평군 북면 도대리,031-582-0103,2021-03-05,,
포천시,명성산,경기도 포천시 영북면 명성산,031-538-3342,2021-03-05,,
양평군,용문산,경기도 양평군 용문면 용문산로 655,031-773-0088,2021-03-05,37.5461633356,127.5821639251
시흥시,소래산,경기도 시흥시 대야동 332-80,031-317-2000,2021-03-05,37.4496292723,126.7828587627
가평군,유명산,경기도 가평군 설악면 유명산길 79-53,031-589-5487,2021-03-05,37.5932243492,127.4911984972
화성시,입파도,경기도 화성시 우정읍 입파길 24-15,,2021-03-05,37.1054296113,126.5413847669
화성시,제부도,경기도 화성시 서신면 제부리 224,031-369-1673,2021-03-05,37.1717936166,126.6208746916
