시군명,관광정보명,소재주소,전화번호,데이터기준일자,정제WGS84위도,정제WGS84경도
광명시,광명동굴,경기도 광명시 가학로85번길 142,070-4277-8902,2021-03-05,37.4246681011,126.8634441855
광명시,광명동굴,경기도 광명시 가학로85번길 142,070-4277-8902,2021-03-05,37.4246681011,126.8634441855
파주시,파주 산머루농원,경기도 파주시 적성면 윗배우니길 441-25,,2021-03-05,37.9602478421,126.9579203685
파주시,파주 산머루농원,경기도 파주시 적성면 윗배우니길 441-25,,2021-03-05,37.9602478421,126.9579203685
파주시,파주 산머루농원,경기도 파주시 적성면 윗배우니길 441-25,,2021-03-05,37.9602478421,126.9579203685
파주시,파주 산머루농원,경기도 파주시 적성면 윗배우니길 441-25,,2021-03-05,37.9602478421,126.9579203685
양주시,가나아트파크,경기도 양주시 장흥면 권율로 117,031-877-0500,2021-03-05,37.7256376098,126.9499667560
안산시,탄도어촌체험마을,경기도 안산시 단원구 대부황금로 5-14,032-885-3745,2021-03-05,37.1915652276,126.6461495992
성남시,국가기록원 서울기록관,경기도 성남시 수정구 대왕판교로851번길 30,031-750-2033,2021-03-05,37.4175509488,127.0954332891
용인시,한택식물원,경기도 용인시 처인구 백암면 한택로 2,031-333-3558,2021-03-05,37.0945747201,127.4066007246
가평군,포도향이 흐르는 마을,경기도 가평군 상면 음지말로 6,031-585-6262,2021-03-05,37.8316229804,127.2913355761
이천시,이천청학서당,경기도 이천시 마장면 이섭대천로 155번길 100,031-637-1000,2021-03-05,37.2200031912,127.3914100797
파주시,영집궁시박물관,경기도 파주시 탄현면 국원말길 168,031-944-6800,2021-03-05,37.7848409001,126.7112560664
안성시,남사당풍물놀이,경기도 안성시 서운면 청룡리 사당공연장,031-675-3925,2021-03-05,,
남양주시,실학박물관,경기도 남양주시 조안면 다산로 747길,031-579-6000,2021-03-05,,
용인시,한국민속촌,경기도 용인시 기흥구 민속촌로 90,031-288-4000,2021-03-05,37.2609194665,127.1208130464
구리시,고구려대장간마을,경기도 구리시 우미내길 41,031-557-1010,2021-03-05,37.5608108938,127.1109423293
파주시,캠프그리브스 DMZ 체험관,경기도 파주시 문산읍 임진각로 177,031-953-6978,2021-03-05,37.8895361989,126.7401867774
의왕시,경기의왕 레일바이크,경기도 의왕시 왕송못동로 209,070-7178-4393,2021-03-05,37.3108723627,126.9502605930
용인시,용인 대장금파크,경기도 용인시 처인구 드라마길 25,031-337-3241,2021-03-05,,
평택시,무봉산청소년수련원,경기도 평택시 진위면 진위로 181-94,031-610-4416,2021-03-05,37.1058487387,127.1012055138
이천시,테르메덴,경기도 이천시 모가면 사실로 984,031-645-2000,2021-03-05,37.1947290075,127.4459485076
이천시,미니캠프목공교실,경기도 이천시 설성면 설가로 219번길 176,031-642-2372,2021-03-05,37.1581888301,127.5044937082
안성시,안성천문대,경기도 안성시 미양면 강덕리 천문대길 60,031-677-2245,2021-03-05,36.9555638558,127.2339036916
안성시,안성맞춤랜드,경기도 안성시 보개면 남사당로 198,031-678-2518,2021-03-05,37.0328699195,127.3077982852
양주시,조명박물관,경기도 양주시 광적면 광적로 235-48,070-7780-8911,2021-03-05,37.8361021260,126.9675239549
양주시,가나아트파크,경기도 양주시 장흥면 권율로 117,031-877-0500,2021-03-05,37.7256376098,126.9499667560
양주시,송암스페이스센터,경기도 양주시 장흥면 권율로 185번길 103,031-894-6000,2021-03-05,37.7358517438,126.9427525848
안산시,종현어촌체험마을,경기도 안산시 단원구 구봉길 240,032-886-6044,2021-03-05,37.2804828957,126.5476403130
부천시,만화박물관,경기도 부천시 길주로 1,032-310-3090,2021-03-05,37.5086718515,126.7437361036
남양주시,오남공룡체험전시관,경기도 남양주시 오남읍 팔현로 175번길,031-527-1239,2021-03-05,,
김포시,태산패밀리파크,경기도 김포시 하성면 하성로 585,031-997-6868,2021-03-05,37.7243692943,126.6301183489
과천시,국립과천과학관,경기도 과천시 상하벌로 110,02-3677-1500,2021-03-05,37.4385349016,127.0055434050
고양시,한국항공대학교 항공우주박물관,경기도 고양시 덕양구 항공대학로 76,02-3000-4667,2021-03-05,37.5990111999,126.8641707819
양주시,양주초록지기마을,경기도 양주시 남면 양연로 173번길 26,031-866-5366,2021-03-05,37.9227854520,126.9974490060
여주시,세종천문대,경기도 여주시 강천면 부평리 472-2,031-886-2200,2021-03-05,37.2573091258,127.7542055928
파주시,경기미래교육 파주캠퍼스,경기도 파주시 탄현면 얼음실로 40,031-1588-0554,2021-03-05,37.7852855891,126.7010077217
파주시,오두산통일전망대,경기도 파주시 탄현면 필승로 369,031-956-9600,2021-03-05,37.7730255944,126.6771018353
과천시,한국카메라박물관,경기도 과천시 대공원광장로 8,02-502-4123,2021-03-05,37.4350560971,127.0056567204
성남시,다시 쓰는 세상 순환자원홍보관,경기도 성남시 분당구 석운로164번길 19,031-1688-9609,2021-03-05,37.3784643026,127.0475266209
파주시,우농타조마을,경기도 파주시 교하로 595-36,031-942-6272,2021-03-05,37.7054691341,126.7135614141
양주시,교육농장트로이목마,경기도 양주시 양주산성로 248-5,031-856-2225,2021-03-05,37.7738873356,127.0206235172
고양시,일산동물의왕국,경기도 고양시 일산서구 장수길 29,031-918-5656,2021-03-05,37.6598057765,126.7434753543
용인시,목재문화체험,경기도 용인시 처인구 모현면 초부로 220,031-324-3787,2021-03-05,37.3157725302,127.2688891995
가평군,초롱이둥지마을,경기도 가평군 설악면 묵안로 906,031-584-9959,2021-03-05,37.6031189035,127.5248447151
화성시,은수포관광농원,경기도 화성시 서신면 은수포길 194,031-357-3423,2021-03-05,37.1999154732,126.6916017161
광주시,오색향농원,경기도 광주시 곤지암읍 광여로 336-27,031-761-0306,2021-03-05,37.3623113647,127.3775072209
오산시,생태학습체험관 오산 에코리움,경기도 오산시 오산천로 52,031-8036-6477,2021-03-05,37.1382527309,127.0644453814
수원시,수원시기후변화체험교육관 두드림,경기도 수원시 권선구 호매실로 46-38 기후변화체험관,031-273-8320,2021-03-05,37.2578464843,126.9686443333
수원시,수원화성홍보관,경기도 수원시 팔달구 행궁로 11,031-290-3600,2021-03-05,37.2807973662,127.0151841956
수원시,삼성이노베이션뮤지엄,경기도 수원시 영통구 삼성로 129 삼성전자 삼성이노베이션뮤지엄,031-200-3113,2021-03-05,37.2576366466,127.0531333070
수원시,니나노 공정여행,경기도 수원시 영통구,031-306-4431,2021-03-05,,
용인시,화운사,경기도 용인시 처인구 동백죽전대로 111-14,031-337-2576,2021-03-05,37.2534434104,127.1612991624
용인시,용인문수산법륜사,경기도 용인시 처인구 원삼면 농촌파크로 126,031-332-5703,2021-03-05,37.1698092325,127.2991391452
용인시,유아숲체험원,경기도 용인시 수지구,031-324-3748,2021-03-05,,
화성시,민들레연극마을,경기도 화성시 우정읍 이화뱅곳길 22,031-358-7587,2021-03-05,37.0396471263,126.7979009247
안성시,꽃뫼마을,경기도 안성시 고삼면 이전봉산길 256-7,***-****-****,2021-03-05,,
안성시,신기마을,경기도 안성시 금광면 신양복길 18-43,***-****-****,2021-03-05,37.0080126878,127.3222145474
안성시,안성맞춤공예문화센터,경기도 안성시 보개면 남사당로 198-10,031-676-6543,2021-03-05,37.0346243298,127.3113020107
화성시,신하늘목장,경기도 화성시 남양읍 장덕동길 32-9,031-356-2065,2021-03-05,37.1620106723,126.8097115833
화성시,화성 궁평리마을,경기도 화성시 서신면 궁평항로 1069-11,031-356-7339,2021-03-05,37.1161556148,126.6833759188
화성시,백미리마을,경기도 화성시 서신면 백미길210-35,031-356-3379,2021-03-05,37.1434727044,126.6801435038
화성시,송라마을,경기도 화성시 매송면 매송북길 241,031-296-3542,2021-03-05,37.2845254701,126.9074265726
화성시,청미르 휴양마을,경기도 화성시 송산면 공룡로 484,,2021-03-05,37.2480953288,126.7463932931
화성시,샌드리버,경기도 화성시 송산면 송산로152번길 28,031-366-8338,2021-03-05,37.2225621536,126.7217821743
포천시,포천 어메이징파크,경기도 포천시 신북면 탑신로 860,031-532-1881,2021-03-05,37.9265592479,127.1422027226
수원시,칠보생태환경체험교육관,경기도 수원시 권선구 서수원로 577번길 225,031-295-4545,2021-03-05,37.2764689958,126.9450176148
양평군,양평 양떼목장,경기도 양평군 은고갯길 112,***-****-****,2021-03-05,37.5154212868,127.6288192417
평택시,밝은세상영농조합,경기도 평택시 포승읍 충열길 37,031-683-0981,2021-03-05,36.9710484189,126.8735555720
여주시,여주해바라기체험마을,경기도 여주시 강천면 부평로 368,031-886-8668,2021-03-05,37.2844393048,127.7405249855
이천시,이천자채방아마을,경기도 이천시 대월면 대월로358번길 168-24,031-634-4283,2021-03-05,37.1911444895,127.5070195231
의왕시,승림식물원,경기도 의왕시 청계동 546-1,031-426-2557,2021-03-05,37.3941067228,127.0094995839
여주시,도리늘향골마을,경기도 여주시 점동면 도리 133-1,***-****-****,2021-03-05,37.2262590124,127.7074976766
양평군,옹달샘꽃누름마을,경기도 양평군 용문면 궁촌길29번길 12-1,031-773-3098,2021-03-05,37.4620450668,127.6080570305
여주시,루돌프(사슴마을),경기도 여주시 금사면 금품2로 483,***-****-****,2021-03-05,37.3762169722,127.4728471656
여주시,여성생활사박물관,경기도 여주시 강천면 강천로 324-20,031-882-8100,2021-03-05,37.2425224156,127.7081456066
여주시,신륵사,경기도 여주시 여주읍 신륵사길 73,031-885-2505,2021-03-05,37.2974205240,127.6599488660
안성시,선비마을,경기도 안성시 양성면 덕봉길 45,031-672-6875,2021-03-05,37.0447387710,127.1876547682
안성시,너리굴문화마을,경기도 안성시 보개면 너리굴길100,031-675-2171,2021-03-05,37.0407249537,127.2787777421
안성시,아트센터마노,경기도 안성시 보개면 나마당로 196-33,031-676-7815,2021-03-05,,
김포시,다도박물관,경기도 김포시 월곶면 애기봉로 275번길 187-49,031-998-1000,2021-03-05,37.7375369409,126.5744440771
여주시,여주한지문화체험학교,경기도 여주시 점동면 안평로 296,031-886-0135,2021-03-05,37.2021420814,127.7116970511
이천시,이천청학서당,경기도 이천시 마장면 이섭대천로 155번길 100,031-637-1000,2021-03-05,37.2200031912,127.3914100797
파주시,벽초지문화수목원체험장'도야',경기도 파주시 광탄면 창만리 166-1,031-948-5787,2021-03-05,37.8008364063,126.8733951377
파주시,자운서원,경기도 파주시 자운서원로 204,031-958-1749,2021-03-05,37.8661350846,126.8709890093
이천시,꾸메숲버섯나라,경기도 이천시 모가면 서경리 150-1,507-1452-3427,2021-03-05,37.1573950701,127.4861003998
화성시,에이원승마클럽,경기도 화성시 봉담읍 생수길96,031-291-5426,2021-03-05,37.1930368127,126.9471612382
화성시,또나따목장,경기도 화성시 마도면 마도로 223-19,031-356-1602,2021-03-05,37.1872325710,126.7294229451
화성시,돌샘터목장,경기도 화성시 우정읍 석천안길 102-27,031-358-5382,2021-03-05,,
연천군,애심목장,경기도 연천군 연천읍 와초길 10-36,031-834-3601,2021-03-05,38.1398873332,127.0935546295
평택시,평택시농업기술센터,경기도 평택시 오성면 숙성리 96,031-8024-4631,2021-03-05,37.0142720566,126.9808810794
남양주시,남양주시화도푸른물센터,경기도 남양주시 화도읍 폭포로 562,031-590-4660,2021-03-05,37.6315570469,127.3469568146
남양주시,주필거미박물관,경기도 남양주시 조안면 진중리 528,031-576-7908,2021-03-05,37.5671283461,127.2824618647
의왕시,의왕자연학습공원,경기도 의왕시 왕송못동로 307,031-345-3533,2021-03-05,37.3071089670,126.9531542268
양평군,민물고기생태학습관,경기도 양평군 용문면 상광길 23-2,031-8008-6523,2021-03-05,37.5119576576,127.6388838916
안성시,안성허브마을,경기도 안성시 삼죽면 국사봉로 641-12,031-671-6969,2021-03-05,37.0653747712,127.3584474992
광주시,유정뜰농원,경기도 광주시 도척면 유정리 347-1,031-762-5210,2021-03-05,37.2904586923,127.3210836534
양평군,양평곤충박물관,경기도 양평군 옥천면 경강로 1496,031-775-8022,2021-03-05,37.5091980903,127.4491849261
양평군,마들가리마을,경기도 양평군 양동면 양동로 572,031-771-6432,2021-03-05,37.4992195890,127.7024979266
양평군,세미원,경기도 양평군 양서면 양수로 93,031-775-1835,2021-03-05,37.5409409749,127.3239565831
남양주시,주필거미박물관,경기도 남양주시 조안면 진중리 528,031-576-7908,2021-03-05,37.5671283461,127.2824618647
파주시,헤이리예술마을,경기도 파주시 탄현면 헤이리마을길 82-105,031-946-8551,2021-03-05,37.7880710628,126.7037374771
이천시,세라피아,경기도 이천시 경충대로 2697번길 167-29,031-631-6501,2021-03-05,37.2740690436,127.4259269650
이천시,이천자채방아마을,경기도 이천시 대월면 대월로358번길 168-24,031-634-4283,2021-03-05,37.1911444895,127.5070195231
의왕시,의왕자연학습공원,경기도 의왕시 왕송못동로 307,031-345-3533,2021-03-05,37.3071089670,126.9531542268
여주시,신륵사,경기도 여주시 신륵사길 73,031-885-2505,2021-03-05,37.2974205240,127.6599488660
안성시,안성유별난마을,경기도 안성시 대덕면 소내리 장수정길 12-22,031-672-8600,2021-03-05,37.0406048908,127.2335172416
안산시,상록수된장마을,경기도 안산시 단원구 대부황금로 717,032-888-0706,2021-03-05,37.2381565821,126.6152975812
가평군,버섯구지마을,경기도 가평군 조종면 대보간선로 173,031-584-9614,2021-03-05,37.8093498679,127.3642304829
가평군,아침고요 푸른마을,경기도 가평군 상면 수목원로 262-22,031-585-3633,2021-03-05,37.7552740290,127.3595500700
광명시,기아자동차 공장견학,경기도 광명시 기아로 113,02-801-3408,2021-03-05,37.4362689180,126.8873776306
광명시,금강정사 템플스테이,경기도 광명시 설월로 58,02-898-8200,2021-03-05,37.4418802050,126.8728281384
광명시,광명시노온정수장맑은물홍보관,경기도 광명시 밤일로 75,02-2680-6270,2021-03-05,37.4491034575,126.8562949764
고양시,고양 낙농 치즈 테마체험장,경기도 고양시 덕양구 통일로 915-67,031-964-3057,2021-03-05,37.6977486407,126.8536299411
용인시,용인곤충테마파크,경기도 용인시 처인구 백암면 근삼리 274-7,031-321-8090,2021-03-05,37.1461783331,127.3659654954
고양시,현대모터스튜디오고양,경기도 고양시 일산서구 킨텍스로 217-6,031-1899-6611,2021-03-05,37.6661055457,126.7476292990
수원시,플라잉수원,경기도 수원시 팔달구 지동 255-4,031-247-1300,2021-03-05,37.2865681223,127.0263376827
용인시,술샘,경기도 용인시 처인구 양지면 죽양대로 2298-1,070-4218-5225,2021-03-05,37.2335020160,127.2986095485
용인시,바운스트램폴린파크,경기도 용인시 기흥구 동백죽전대로175번길 6,070-8858-6433,2021-03-05,37.2576414893,127.1604458626
시흥시,배곧한울공원해수체험장,경기도 시흥시 정왕동 2590,031-488-6961,2021-03-05,37.3546534692,126.7020268960
