시군명,관광정보명,소재주소,전화번호,데이터기준일자,정제WGS84위도,정제WGS84경도
파주시,오두산 통일전망대,경기도 파주시 탄현면 필승로 369,031-945-3171,2021-03-05,37.7730255944,126.6771018353
파주시,오두산 통일전망대,경기도 파주시 탄현면 필승로 369,031-945-3171,2021-03-05,37.7730255944,126.6771018353
파주시,오두산 통일전망대,경기도 파주시 탄현면 필승로 369,031-945-3171,2021-03-05,37.7730255944,126.6771018353
파주시,오두산 통일전망대,경기도 파주시 탄현면 필승로 369,031-945-3171,2021-03-05,37.7730255944,126.6771018353
파주시,파주 제3땅굴,경기도 파주시 군내면 제3땅굴로 210-358,031-940-8526,2021-03-05,37.9163762153,126.6991296126
파주시,파주 제3땅굴,경기도 파주시 군내면 제3땅굴로 210-358,031-940-8526,2021-03-05,37.9163762153,126.6991296126
용인시,한국민속촌,경기도 용인시 기흥구 민속촌로 90,031-288-0000,2021-03-05,37.2609194665,127.1208130464
용인시,한국민속촌,경기도 용인시 기흥구 민속촌로 90,031-288-0000,2021-03-05,37.2609194665,127.1208130464
용인시,한국민속촌,경기도 용인시 기흥구 민속촌로 90,031-288-0000,2021-03-05,37.2609194665,127.1208130464
용인시,용인 대장금파크,경기도 용인시 처인구 백암면 용천로 330,031-337-3241,2021-03-05,37.1194420569,127.3370944418
용인시,용인 대장금파크,경기도 용인시 처인구 백암면 용천로 330,031-337-3241,2021-03-05,37.1194420569,127.3370944418
파주시,하니랜드,경기도 파주시 조리읍 장곡로 218,031-945-2250,2021-03-05,37.7501689514,126.8357386608
양주시,송추유원지,경기도 양주시 장흥면 울대리,,2021-03-05,,
파주시,한립토이뮤지엄,경기도 파주시 탄현면 헤이리마을길 25,031-957-8470,2021-03-05,37.7879879149,126.6967992601
파주시,소울원(笑鬱園),경기도 파주시 탄현면 축현리 299-3,031-945-4261,2021-03-05,37.8057532290,126.7336035200
의정부시,원효사,경기도 의정부시 망월로28번길 356,031-873-6083,2021-03-05,37.7093305399,127.0285388108
수원시,봉녕사,경기도 수원시 팔달구 창룡대로 236-54,031-256-4127,2021-03-05,37.2905885591,127.0382493794
파주시,용암사,경기도 파주시 광탄면 혜음로 742-28,031-940-5831,2021-03-05,37.7537828496,126.8651076027
광주시,천진암성지,경기도 광주시 퇴촌면 천진암로 1203,031-764-5994,2021-03-05,37.4235710943,127.3884043166
여주시,흥왕사,경기도 여주시 북내면 당전로 345-4,031-882-0631,2021-03-05,37.3476109490,127.7060078813
여주시,대성사(여주),경기도 여주시 금사면 발림길 89-47,031-882-9846,2021-03-05,37.3908129315,127.5116360008
파주시,검단사,경기도 파주시 탄현면 필승로 292-33,031-940-5831,2021-03-05,37.7692492632,126.6862042519
오산시,보적사,경기도 오산시 독산성로269번길 144,031-372-3433,2021-03-05,37.1836182557,127.0197829412
수원시,팔달사,경기도 수원시 팔달구 행궁로 68,031-256-7990,2021-03-05,37.2763079059,127.0150550719
여주시,능원사,경기도 여주시 북내면 모양길 37,,2021-03-05,37.3443695821,127.6696562554
의정부시,석림사,경기도 의정부시 동일로122번길 177,031-872-5110,2021-03-05,37.7011921417,127.0662634651
파주시,보광사,경기도 파주시 광탄면 보광로474번길 87,031-948-7700,2021-03-05,37.7537165759,126.9204711292
화성시,용주사,경기도 화성시 용주로 136,031-234-0040,2021-03-05,37.2117829498,127.0056181833
양주시,육지장사,경기도 양주시 백석읍 기산로471번길 190,031-871-0101,2021-03-05,37.7836627236,126.9438474264
평택시,심복사,경기도 평택시 현덕면 심복사길 22,031-682-5588,2021-03-05,36.9504785158,126.9659686702
양주시,백화암,경기도 양주시 백화암길 191,031-840-1582,2021-03-05,37.7945614110,127.0267937387
광주시,명성암,경기도 광주시 남종면 산수로 1876-34,031-762-9026,2021-03-05,37.5053618717,127.3164935358
연천군,임진강 평화습지원,경기도 연천군 중면 횡산리 186,031-839-2114,2021-03-05,38.1207701389,126.9886726551
파주시,가야랜드,경기도 파주시 법원읍 사임당로 674,031-959-9100,2021-03-05,37.8512496984,126.8567251644
