시군명,명소명,주소,유형,용도,데이터기준일자,정제도로명주소,정제지번주소,정제우편번호,정제WGS84위도,정제WGS84경도
파주시,파주출판단지_살림 출판사,경기도 파주시 교하읍 문발리 522-2,공간환경,공장,2021-02-19,경기도 파주시 광인사길 22,경기도 파주시 교하읍 문발리 522-2,10881,37.7087190817,126.6851308860
파주시,파주출판단지_아시아출판문화정보센터,경기도 파주시 교하읍 문발리 524-3,공간환경,교육연구 시설,2021-02-19,,경기도 파주시 교하읍 문발리 524-3,10881,37.7076374295,126.6864246794
파주시,파주출판단지_범우사 사옥,경기도 파주시 교하읍 문발리 525-2,공간환경,공장,2021-02-19,경기도 파주시 광인사길 9-13,경기도 파주시 교하읍 문발리 525-2,10881,37.7076944011,126.6842345307
파주시,파주출판단지_근린상가블록 4-1,경기도 파주시 교하읍 문발리 531-1,공간환경,제2종 근린생활 시설,2021-02-19,경기도 파주시 문발로 142,경기도 파주시 교하읍 문발리 531-1,10881,37.7071868859,126.6864409494
파주시,파주출판단지_돌베개 사옥,경기도 파주시 교하읍 문발리 532-4,공간환경,업무시설,2021-02-19,경기도 파주시 회동길 77-20,경기도 파주시 교하읍 문발리 532-4,10881,37.7072560751,126.6873250740
파주시,파주 헤이리_카메라타 황인용스튜디오,경기도 파주시 탄현면 법흥리 1652-129,공간환경,제2종 근린생활 시설,2021-02-19,경기도 파주시 탄현면 헤이리마을길 83,경기도 파주시 탄현면 법흥리 1652-129,10859,37.7900350124,126.6996164213
파주시,파주 헤이리_헤이리 E-52 주택,경기도 파주시 탄현면 법흥리 1652-157,공간환경,단독주택,2021-02-19,경기도 파주시 탄현면 헤이리마을길 59-45,경기도 파주시 탄현면 법흥리 1652-157,10859,37.7893397894,126.6954671942
파주시,파주 헤이리_서울액션스쿨 마샬아트센터,경기도 파주시 탄현면 법흥리 1652-303,공간환경,교육연구 시설,2021-02-19,경기도 파주시 탄현면 헤이리마을길 18-61,경기도 파주시 탄현면 법흥리 1652-303,10859,37.7873794583,126.6948070362
파주시,파주 헤이리_자하재(紫霞齋),경기도 파주시 탄현면 법흥리 1652-308,공간환경,단독주택,2021-02-19,경기도 파주시 탄현면 헤이리마을길 18-49,경기도 파주시 탄현면 법흥리 1652-308,10859,37.7871040325,126.6953892232
파주시,파주 헤이리_헤이리 유리작업실,경기도 파주시 탄현면 법흥리 1652-356,공간환경,제1종 근린생활 시설,2021-02-19,경기도 파주시 탄현면 헤이리마을길 38-71,경기도 파주시 탄현면 법흥리 1652-356,10859,37.7864462630,126.6967364497
파주시,파주 헤이리_헤이리 주택,경기도 파주시 탄현면 법흥리 1652-394,공간환경,단독주택,2021-02-19,경기도 파주시 탄현면 헤이리마을길 38-43,경기도 파주시 탄현면 법흥리 1652-394,10859,37.7858239088,126.6979924164
파주시,파주 헤이리_헤이리 씨어터,경기도 파주시 탄현면 법흥리 1652-509,공간환경,문화 및 집회시설,2021-02-19,경기도 파주시 탄현면 헤이리마을길 82-138,경기도 파주시 탄현면 법흥리 1652-509,10859,37.7882725107,126.7028721822
파주시,파주 헤이리_정한숙기념관,경기도 파주시 탄현면 법흥리 1652-572,공간환경,제2종 근린생활 시설,2021-02-19,경기도 파주시 탄현면 헤이리마을길 96-20,경기도 파주시 탄현면 법흥리 1652-572,10859,37.7909130656,126.7001748203
포천시,포천 아트밸리,경기도 포천시 신북면 기지리 282,공간환경,공원,2021-02-19,경기도 포천시 신북면 아트밸리로 234,경기도 포천시 신북면 기지리 282,11139,37.9234463151,127.2364959881
화성시,미야찌 코리아(주) 사옥,경기도 화성시 능동 1060,건축물,공장,2021-02-19,경기도 화성시 동탄하나1길 28,경기도 화성시 능동 1060,18423,37.2171244275,127.0618932710
화성시,폴라리온스퀘어,경기도 화성시 반월동 717-4,건축물,업무시설,2021-02-19,,경기도 화성시 반월동 717-4,18385,37.2216372146,127.0513957740
고양시,일산호수공원,경기도 고양시 일산동구 장항동 906,공간환경,공원,2021-02-19,,경기도 고양시 일산동구 장항동 906,10400,37.6549538763,126.7687601052
고양시,올림픽플랜테이션 팜샵,경기도 고양시 덕양구 신원동 311,건축물,제2종 근린생활 시설,2021-02-19,경기도 고양시 덕양구 통일로493번안길 103-20,경기도 고양시 덕양구 신원동 311,10284,37.6824546097,126.8842131665
고양시,교보생명 일산사옥,경기도 고양시 일산구 장항동 893,건축물,업무시설,2021-02-19,경기도 고양시 일산동구 중앙로 1181,경기도 고양시 일산구 장항동 893,10414,37.6522471344,126.7770848282
고양시,민마루2 - 205스튜디오,경기도 고양시 일산동구 풍동 452-21,건축물,단독주택,2021-02-19,경기도 고양시 일산동구 고일로 207-14,경기도 고양시 일산동구 풍동 452-21,10300,37.6559539480,126.8014118545
광주시,리안주택,경기도 광주시 오포읍 신현리 634-15,건축물,단독주택,2021-02-19,경기도 광주시 오포읍 머루숯길81번길 31,경기도 광주시 오포읍 신현리 634-15,12820,37.3661987896,127.1551689114
남양주시,수백당,경기도 남양주시 화도읍 금남리 20-3,건축물,제2종 근린생활 시설,2021-02-19,경기도 남양주시 화도읍 경춘로2414번길 96,경기도 남양주시 화도읍 금남리 20-3,12193,37.6601209986,127.3602397221
부천시,한국만화영상산업진흥원,경기도 부천시 원미구 상동 529-2,건축물,문화 및 집회시설,2021-02-19,,경기도 부천시 원미구 상동 529-2,14505,37.5131520747,126.7452297663
부천시,부천시 궁도장,경기도 부천시 원미구 춘의동 48-3,건축물,운동시설,2021-02-19,,경기도 부천시 원미구 춘의동 48-3,,37.5004545562,126.7979653559
성남시,이우학교,경기도 성남시 분당구 동원동 산13-1,건축물,교육연구 시설,2021-02-19,,경기도 성남시 분당구 동원동 산13-1,,,
성남시,지노하우스,경기도 성남시 분당구 백현동 577-6,건축물,단독주택,2021-02-19,경기도 성남시 분당구 판교역로18번길 6,경기도 성남시 분당구 백현동 577-6,13536,37.3841613706,127.1109644990
성남시,a-house,경기도 성남시 분당구 분당동 51-7,건축물,단독주택,2021-02-19,경기도 성남시 분당구 예원로6번길 17,경기도 성남시 분당구 분당동 51-7,13582,37.3698489042,127.1340101062
성남시,한국파스퇴르 연구소,경기도 성남시 분당구 삼평동 696,건축물,교육연구 시설,2021-02-19,경기도 성남시 분당구 대왕판교로712번길 16,경기도 성남시 분당구 삼평동 696,13488,37.4068236771,127.1033332544
성남시,코리아디자인센터,경기도 성남시 분당구 야탑동 344-1,건축물,교육연구 시설,2021-02-19,경기도 성남시 분당구 양현로 322,경기도 성남시 분당구 야탑동 344-1,13496,37.4131083295,127.1232565127
