상권명,다중지역정보,업종정보,점포수,위도,경도
인현중앙길,"{""type"":""Polygon"",""coordinates"":[[[126.822289986556,37.323042884643],[126.822396529614,37.32328779467],[126.822327749545,37.3236965324693],[126.822215843446,37.3243610818398],[126.822456289966,37.3249959074209],[126.822000050047,37.3250172767895],[126.822069327349,37.326091922584],[126.822127269785,37.3269890583193],[126.821736739106,37.3271372290225],[126.820971071807,37.3270344354545],[126.821205581429,37.326151473252],[126.820767547113,37.3260677070275],[126.820502730893,37.3269492402344],[126.820408855393,37.3269319736379],[126.819987625599,37.3268556930017],[126.820243386771,37.325967312806],[126.81945625404,37.3258168718144],[126.819823049776,37.3245186976912],[126.819823629176,37.3245166604871],[126.819823687431,37.3245164551023],[126.819829957266,37.3244942900972],[126.819838280914,37.3244648254167],[126.819937834547,37.3241315605284],[126.819937890834,37.3241313716516],[126.819953337516,37.3240794142347],[126.819954422345,37.3240755795895],[126.819976313916,37.3239940710659],[126.819977747504,37.3239882709719],[126.8200757977,37.3235542089271],[126.820075970676,37.3235534334714],[126.820086294307,37.3235065592704],[126.820087529814,37.3235003079229],[126.820097881899,37.3234412074505],[126.820098982393,37.3234338145378],[126.820105484197,37.3233808182743],[126.820106290348,37.3233720456141],[126.820110262108,37.3233071612512],[126.820114208964,37.323247377519],[126.820114439378,37.3232427638349],[126.820117365522,37.3231563961455],[126.820117002929,37.3231402087769],[126.820113127308,37.323091007155],[126.820113028098,37.3230898111682],[126.820108116826,37.3230334475738],[126.820103227317,37.3229699491152],[126.820103122953,37.3229686682441],[126.820081422771,37.3227162196834],[126.820082670301,37.3226493823768],[126.820088436976,37.3225734740612],[126.820111081151,37.322439433432],[126.820929190452,37.3223980388942],[126.820888606064,37.3218458679996],[126.821933569731,37.321792190516],[126.8218202432,37.3222351389611],[126.822289986556,37.323042884643]]]}","종합소매점,이/미용/건강,한식,가정/주방/인테리어,학원-보습교습입시,학원기타,닭/오리요리,세탁/가사서비스",42,37.32449837,126.8210852
송원로,"{""type"":""Polygon"",""coordinates"":[[[127.001814645321,37.296348165399],[127.002046917628,37.2963267172104],[127.002239227756,37.2963089625308],[127.002320210304,37.2963022600967],[127.002902902917,37.2962539851146],[127.002933796264,37.2962514252887],[127.003625867157,37.2961937371864],[127.003626556304,37.2961936788849],[127.003682574731,37.296188870205],[127.003974884206,37.2965190554987],[127.004448237991,37.2962408887542],[127.004458991922,37.2962529104283],[127.00496306106,37.2968163598334],[127.005165949989,37.2970431368977],[127.005166742422,37.29704401702],[127.005193406064,37.2970734440584],[127.005923654407,37.2978791891274],[127.005967393138,37.2979274430651],[127.006143772899,37.2981247024125],[127.006531327047,37.2985581303488],[127.006586419896,37.2986333198512],[127.006523664525,37.2986966201218],[127.00638052201,37.2988309400155],[127.006185893807,37.2989640536928],[127.006180147337,37.2989679836874],[127.005868172548,37.2986243397364],[127.004936331901,37.2991515380411],[127.005343036732,37.2995806535866],[127.005322693383,37.2996056161112],[127.005277831404,37.2996606698128],[127.005244113411,37.299697686325],[127.005152830722,37.299797889707],[127.005152485013,37.2997985354461],[127.004185897403,37.2992319642512],[127.003822865204,37.2990160323725],[127.002837675363,37.2984282379803],[127.002595295533,37.2982583716052],[127.00360135627,37.2976628260315],[127.003409835812,37.2974584718893],[127.003038270712,37.297061685932],[127.002723154786,37.2967146522841],[127.002457709632,37.2968509600031],[127.002030907978,37.2963937271256],[127.001816656899,37.2963632008076],[127.001814645321,37.296348165399]]]}","이/미용/건강,한식,음/식료품소매,학원-보습교습입시,닭/오리요리",52,37.29782429,127.0043391
현암로89번길,"{""type"":""Polygon"",""coordinates"":[[[127.119788652126,37.3327107868738],[127.119810661835,37.3331220710528],[127.119820198327,37.3333023591694],[127.119825272826,37.3335327370675],[127.119838751322,37.334131496405],[127.119519990929,37.3340378933924],[127.118974797855,37.3339471116878],[127.118285307464,37.3338890430793],[127.1182849981,37.3338837838097],[127.11828017135,37.3338651550358],[127.118277910434,37.3338468014895],[127.118216142452,37.3336576925086],[127.118131752098,37.3328090658754],[127.118131562139,37.3328072695505],[127.118046731617,37.3320502493453],[127.118049293115,37.3318886417569],[127.118544593086,37.3318894354781],[127.11856796688,37.3323041091272],[127.11879405686,37.332269747139],[127.119005503907,37.3322814565396],[127.119768109888,37.3323248566234],[127.119784581499,37.3326364170022],[127.119788652126,37.3327107868738]]]}","종합소매점,커피점/카페,분식,의복의류,이/미용/건강,세탁/가사서비스",14,37.3330557,127.1189539
불암로109번길,"{""type"":""Polygon"",""coordinates"":[[[127.111537424948,37.6506656375984],[127.111937933025,37.6511500795612],[127.112701356142,37.6520904018354],[127.113124642625,37.6526663546042],[127.113131165166,37.6526746987179],[127.113627221494,37.6532723077631],[127.113078676563,37.6535401953443],[127.112843080015,37.6534877431257],[127.112373866841,37.6528884075948],[127.112136654324,37.6525847774972],[127.111270468575,37.6514784355443],[127.111160939393,37.6513379506976],[127.110956520272,37.6510768010624],[127.110958986811,37.6508695808457],[127.111333890431,37.6507913078479],[127.111537424948,37.6506656375984]]]}","한식,양식,닭/오리요리,종합소매점,커피점/카페,학원기타,화장품소매,일식/수산물,자동차/자동차용품",14,37.65213017,127.112249
다문화길,"{""type"":""Polygon"",""coordinates"":[[[126.79091777252,37.3294594469154],[126.791392263234,37.330150785877],[126.790976484933,37.330351534107],[126.790547640989,37.3305532737657],[126.790047383251,37.32986392094],[126.789551628111,37.3291802436378],[126.789990870888,37.3289893138463],[126.79043566186,37.3287821073137],[126.79091777252,37.3294594469154]]]}","한식,음/식료품소매,의복의류,부동산중개,이/미용/건강",25,37.32966446,126.7904812
백석로86번길,"{""type"":""Polygon"",""coordinates"":[[[126.788845063999,37.6474664988974],[126.788506274321,37.6477211563584],[126.787884817933,37.6481841140942],[126.787358929083,37.647743894551],[126.787355605371,37.6477411130209],[126.786222071797,37.6467922222166],[126.786375135679,37.6466752395118],[126.786902319248,37.6471165218021],[126.787169455783,37.6469120321465],[126.787430489107,37.646712547412],[126.788038378878,37.6472216662708],[126.788312284895,37.6470144278098],[126.788647618403,37.6472988718879],[126.788845063999,37.6474664988974]]]}","한식,유흥주점,커피점/카페,PC/오락/당구/볼링등,닭/오리요리,음/식료품소매,이/미용/건강,자동차/이륜차,자동차/자동차용품,종합소매점",28,37.6473944,126.7876849
장호원재래시장,"{""type"":""Polygon"",""coordinates"":[[[127.62501327994,37.1147031642742],[127.626746354696,37.1142215591311],[127.62681938747,37.1142012595268],[127.626870320077,37.1141889747222],[127.627984331759,37.1139201831851],[127.627994065269,37.1139176398006],[127.629438744512,37.1135107852823],[127.629687504803,37.113455022016],[127.630076778143,37.1133918747653],[127.630335950255,37.113371389595],[127.630575853409,37.113352431425],[127.630985983405,37.1133706781506],[127.632099466684,37.1134202070171],[127.632110927188,37.1134207147778],[127.632117273991,37.1134209970082],[127.632957298717,37.1134908337507],[127.632964051619,37.1134913129211],[127.634839306108,37.113601590916],[127.63506166383,37.1157197592811],[127.634204362933,37.115717127579],[127.63420183731,37.1157025666692],[127.63417107272,37.1156518463377],[127.634122242556,37.1156112217934],[127.634060126657,37.1155846696312],[127.633990805335,37.1155747889464],[127.633921064199,37.1155825469225],[127.633857729954,37.1156071841595],[127.633807002166,37.1156462890076],[127.633773846423,37.1156960336301],[127.633761508266,37.1157515486923],[127.633755404539,37.1160079646393],[127.633658499095,37.1165753969879],[127.633629834505,37.1167432439186],[127.633518626515,37.1170863386645],[127.633506282271,37.1171244182523],[127.633048787147,37.1170528943422],[127.632261898243,37.1169592249054],[127.632303475001,37.1158472869579],[127.631588404653,37.1158847818283],[127.631705071598,37.1153179859279],[127.630311363125,37.1151331552032],[127.629623847959,37.1158705182342],[127.62804093571,37.1153279930294],[127.626567515764,37.1150505019993],[127.625408533087,37.1148319929737],[127.62501327994,37.1147031642742]]]}","한식,음/식료품소매,의복의류,건강/미용식품,종합소매점,가방/신발/액세서리",63,37.11475193,127.6311778
이삭2길,"{""type"":""Polygon"",""coordinates"":[[[126.838458364167,37.3123235428301],[126.838488057302,37.312685387626],[126.837638150793,37.3127268919089],[126.83766576413,37.3130861826509],[126.8377310928,37.3139273507574],[126.837324976518,37.3139492715244],[126.836899455072,37.3139721267191],[126.836824296321,37.3131288901754],[126.836697481285,37.3131352947297],[126.836629821599,37.3123323456906],[126.837598405784,37.3122801210774],[126.838451159628,37.3122341323797],[126.838458364167,37.3123235428301]]]}","한식,세탁/가사서비스,학원-보습교습입시,일식/수산물,의약/의료품소매,음/식료품소매,학원기타",27,37.3129712,126.8373817
고산로185번길,"{""type"":""Polygon"",""coordinates"":[[[126.951921042543,37.3473201244839],[126.951557471862,37.347142513121],[126.951150136988,37.3469435212693],[126.951505617406,37.3465129449179],[126.951897176479,37.3467118303017],[126.952095713024,37.3462315130279],[126.952240510353,37.3455569894079],[126.952307515597,37.3452016583386],[126.952276161432,37.34502116646],[126.952681410396,37.3449701226401],[126.952352279997,37.3467288092433],[126.951972680877,37.3472435679563],[126.951921042543,37.3473201244839]]]}","한식,자동차/이륜차,종합소매점,이/미용/건강,학원-자격/국가고시",7,37.34633578,126.952068
오산대역로132번길,"{""type"":""Polygon"",""coordinates"":[[[127.059749619908,37.1702871247242],[127.059765718244,37.1709199976597],[127.059129570141,37.1709149558036],[127.058788373188,37.1708190424459],[127.058692274197,37.1711626714347],[127.05796144417,37.1710459235061],[127.056975035878,37.1704275895154],[127.056390148841,37.1704037917937],[127.056395120105,37.1700034021247],[127.055389131054,37.1699717448937],[127.057568352832,37.168267675978],[127.05760632838,37.1682415075314],[127.059262443391,37.1688510672177],[127.061328715256,37.169473704148],[127.061253134022,37.1696102439677],[127.060903872754,37.1704804279504],[127.060086026101,37.1703435739518],[127.059749619908,37.1702871247242]]]}","한식,커피점/카페,닭/오리요리,가정/주방/인테리어,의복의류,종합소매점,중식",44,37.16974417,127.0584519
