회사명,사업자등록번호,개업년월,기업소개,주요작품,우편번호,주소,상세주소,대표전화,홈페이지주소,메이커스주요분야,콘텐츠주요분야,SNS주소1,SNS주소2,SNS주소3,공개여부
그라티아공방,215-16-53283,2004-11-24,요즘에 핫한 아이템이 있다. 그 중에 몇가지 예를 들면 캣타워  캠핑카  우든카누  우드슬랩  나무도마이다.위에 제품들은 현재로써는 대단한 잠재력을 가진 아이템이라고 할 수 있다.다만 각 제품마다 장단점이 있는데  나무도마나 캣타워는 경제적으로 접근성이 유리한 반면에 우드슬랩이나 우든카누  캠핑카는 경제적으로 상당한 자본이 있어야 가능한 아이템이다. 하지만 저희 공방에서는 이 모두를 적절하게 교육하여 최선의 방향성을 설정하여진행 할 예정이다.,친환경원목가구  캣타워  우드슬랩  우든카누  캠핑카,10049,경기도 김포시 양촌읍 삼도로181번길 4,그라티아 공방,,,목공,,,,,Y
그리다북,641-13-00742,2018-01-30,(산본 공방)  디자인북   디자인 캘리 수업정보 블로그 입니다^^방과후 수업  체험학습  교과수업  동아리 수업  학부모 연수  교사연수  수업및 DIY수업 재료 문의 주세요.,디자인북 디자인 캘리,15865,경기도 군포시 산본천로 62 인베스텔,1633호,,https://blog.naver.com/kk2pro0523,,,,,,Y
그리밍아트,264-10-01086,2019-02-26,미술공방 그리밍아트 일러스트 & 캘리그라피 공방,★일러스트 : 수채화  보테니컬  커스텀  펜드로잉★캘리그라피 : 캘리그라피  붓펜캘리그라피   수채캘리그라피  수묵캘리그라피★학교   기업워크샵  문화센타 출강  강사양성지도,12227,경기도 남양주시 의안로 148 평내마을중흥에스클래스아파트,상가동 106호 그리밍아트,,http://www.그리밍아트.com/,생활,콘텐츠솔루션,https://www.instagram.com/griming_jini/?hl=ko,http://www.그리밍아트.com/,,Y
그리삼,538-13-01085,2018-10-17,그림으로 표현하고 공유하며 소통하고 발전하는 공간,판화(S's Duck  Aachen  Flower) 및 수채화  현대민화 작품 등,13644,경기도 성남시 수정구 위례동이로 24 이편한세상 테라스 위례,상가 103호,070-4116-9233,https://blog.naver.com/greesam,,,http://www.instagram.com/greesam_art_studio,,,Y
그린나래,136-90-16888,2016-05-12,자체개발한 디자인의 비누로 나만의 독특한 제품을 제작누구나 제작할수있는(판매되고있는 틀을이용) 비누가 아닌 자체제작으로 독특한 디자인의 비누를 만드며  기존 비누틀을 이용한 비누들은 사용함에따라 모습이 없어지며 단순한 네모  원형으로 변하지만 본 공방의 비누는 기둘 기법을 이용하여 처음부터 끝까지 그대로의 디자인을 유지하는 비누를 만든다.,천연비누  석고방향제  디퓨져 등 생활공예,14486,경기도 부천시 원미로 305,부천시공예체험교육관 천연비누교실  그린나래,,,생활,,,,,Y
그린어리,204-30-18185,2018-05-14,저희는 자연주의 친환경 홈데코 브랜드입니다.  친환경 제품을 만들고 사용해서 유해 환경으로부터 나와 가족을 보호하고 나아가 자연과 동물들의 쉼터도 만드는 착한 소비를 함께 하는 사람들 입니다.,이불커버 셋트  핸드페인팅 쿠션 등 홈데코 소품들 제작,13937,경기도 안양시 동안구 관평로 318,비엔비빌딩 306호 그린어리,070-8803-9223,https://www.greenery.co.kr/,패션,,http://blog.naver.com/egreenery2018,,,Y
그린자기 공방,792-11-01007,2019-01-04,그린자기 공방에서는 도자기와 회화가 만나 아름다운 공간을 만들어 나가는  핸드 페인팅 도자기를 제작 판매하는 공방 입니다 . 다양한 연령층에 맞는  교육 프로그램을 개발하여 운영하고 있으며 도자기와 미술수업을 수강 할 수 있습니다.,장식 도자기제작 /  기념일  선물용 도자기 주문 제작 /  생활 도자기(식기) /  교육 프로그램운영,10496,경기도 고양시 덕양구 은빛로 12 은빛마을6단지,제상가 1동 304호 그린자기 공방,031-978-3039,,도예,,,,,Y
김대성,127-46-05986,2013-12-26,준 아카데미목공 기술 & 디자인의 기본을배우는 목공 학교입니다.,목공품,10261,경기도 고양시 일산동구 공릉천로 100,준 아카데미,,http://jun-academy.com/,,,,,,Y
깐마네 공방,593-42-00031,2015-05-14,깐마네 공방을 운영하고 있는 도예인 김미진입니다.도예를 전공하여 2016년부터 개인 도자기 공방을 운영하며 깐마네 공방이라는 브랜드를 오픈하여 깐마네 만의 감성이 담긴 도자기를 디자인하여 제작하고 있습니다.sns에서 작업사진과 작업물을 올리며 도자기에 관심있는 사람들과 소통하며 온라인에서 주로 작품을 판매하고 있습니다.테이블웨어 작업에서 한단계 나아가 전반적인 인테리어 분위기에깐마네 감성을 담을 수 있도록 항상 탐구하며 작업하고 있습니다.,눈꽃 접시  구름 접시  팔각 꽃받침 와인잔,18114,경기도 오산시 수청동 10-48,공방,,http://gganmastudio.com,도예,기타,@gganma_gb,,,Y
꽃담터,401-41-00604,2019-02-20,일러스트레이터 프로그램을 이용한 텍스타일 디자인 및 의상 제작.,옷. 잡화 등,12285,경기도 남양주시 다산중앙로82번길 15 다산 자연 앤 e편한세상,5111동 1802호,,,패션,,blog.naver.com/bloom_town,,,Y
