시군명,관광지구분명,관광지명,지정일자,조성계획최초승인일자,지정면적(㎡),조성계획면적(㎡),운영주체명,관광지소재지우편번호,관광지소재지지번주소,관광지소재지도로명주소,WGS84위도,WGS84경도
가평군,관광지,대성,1969-01-21,1971-07-15,262722,262722,가평군수,12457,경기도 가평군 청평면 대성리 601-6 일원,,37.6800275281,127.3798509274
가평군,관광지,산장,1977-03-31,1978-02-10,122470,122470,가평군수,12446,경기도 가평군 상면 덕현리 20-13 일원,경기도 가평군 상면 덕현산장길 71,37.7537125513,127.4108392769
고양시,관광특구,고양,2015-08-06,,3940000,,고양시장,10392,경기도 고양시 일산서구 대화동 2606-1번지,경기도 고양시 일산서구 한류월드로 282,37.6634321349,126.7554028029
남양주시,관광지,수동,1983-10-11,1983-12-23,225000,225000,남양주시장,12024,경기도 남양주시 수동면 내방리 250 일원,,37.7580123920,127.2759362591
동두천시,관광특구,동두천,1997-01-18,,400000,,동두천시장,,경기도 동두천시 소요동 일원,,,
동두천시,관광지,소요산,1977-03-31,1978-04-08,2472000,241234,동두천시장,11307,경기도 동두천시 상봉암동 산1-1 일원,,37.9444090998,127.0819490040
수원시,관광특구,수원화성,2016-01-16,,1830000,,수원시장,,경기도 수원시 장안구 연무동 190 일원,,37.2878218633,127.0183314223
안성시,관광단지,죽산,2016-10-04,,1438008,,㈜송백개발,,,,,
양주시,관광지,장흥,1986-12-27,1987-05-26,390000,390000,양주시장,11519,경기도 양주시 장흥면 석현리 394-14 일원,경기도 양주시 장흥면 권율로 194,37.7309545804,126.9495545830
양평군,관광지,용문산,1971-05-20,1978-07-04,382233,382233,양평군수,12510,경기도 양평군 용문면 신점리 525-2 일원,경기도 양평군 용문면 용문산로 641,37.5454382756,127.5827730174
여주시,관광지,신륵사,1977-03-31,1978-02-11,947268,947268,여주시장,12636,경기도 여주시 천송동 289-4 일원,경기도 여주시 신륵사길 30,37.2981866184,127.6556675363
연천군,관광지,한탄강,1977-03-31,1983-12-17,312000,312000,연천군수,11027,경기도 연천군 전곡읍 전곡리 692-1 일원,경기도 연천군 전곡읍 선사로 76,38.0114790072,127.0562296089
파주시,관광지,임진각,1991-01-28,1991-03-14,477894,477894,파주시장,10808,경기도 파주시 문산읍 마정리 1198-1 일원,,37.8904903018,126.7433788186
파주시,관광특구,통일동산,2019-04-30,,3012774,,파주시장,,"경기도 파주시 탄현면 성동리 662 일원, 법흥리 1652-38 일원",,,
파주시,관광지,공릉,1977-03-31,1985-03-23,621155,222490,파주시장,10940,경기도 파주시 조리읍 장곡리 420-11 일원,경기도 파주시 조리읍 장곡로 218,37.7499570795,126.8355063766
평택시,관광특구,송탄,1997-05-30,,491000,,평택시장,,"경기도 평택시 서정동 신장1~2동, 지산동, 송북동",,,
평택시,관광지,내리,2000-03-09,2002-11-04,90121,90121,평택시장,17973,경기도 평택시 팽성읍 내리 15-5,경기도 평택시 팽성읍 내리길 64-23,36.9749389192,127.0314864491
평택시,관광단지,평택호,2009-10-07,2019-02-26,663115,663115,평택시장,17972,경기도 평택시 현덕면 권관리 551-3 일원,경기도 평택시 현덕면 평택호길 48,36.9147522406,126.9128269870
포천시,관광지,백운계곡,1987-09-04,1987-11-24,148000,148000,포천시장,11110,경기도 포천시 이동면 도평리 35 일원,,38.0724796021,127.4102214990
포천시,관광지,산정호수,1977-03-31,1978-02-11,644500,644500,포천시장,11103,경기도 포천시 영북면 산정리 191-1 일원,,38.0685330356,127.3230908722
화성시,관광지,궁평,2017-09-27,2017-09-27,149781,149781,화성시장,18556,경기도 화성시 서신면 궁평리 512-4 일원,경기도 화성시 서신면 수문개길 145,37.1291955766,126.6828134419

