시군명,명칭,분류명,소개
가평군,유명산 계곡,도시-자연-계곡,864m 기암괴석과 계곡물이 끊임없이 흐르는 명소
가평군,개성푸른누리수련원,교육연구시설,가평에 위치한 수련원
가평군,장애인심부름센터,공공생활시설,가평군 가평읍 읍내리에 위치한 다용도 회관
가평군,읍내리 슈퍼마켓,위락/판매시설,가평군 가평읍 읍내리에 위치한 슈퍼마켓
가평군,맹가노니 스튜디오,,"영화, cf,뮤직비도오 스튜디오"
가평군,휴먼종합타운,주거시설,북한강변에 위치한 조성중단중인 종합레저단지
가평군,이화리폐콘도,공장관련시설,북한강 강변도로에 위치한 공사중단된 콘도
가평군,동대문방송국,공장관련시설,북한강 강변도로에 공사중단된 방송국 건물
가평군,시외버스터미널,교통관련시설,가평읍내에 위치한 시외버스터미널
가평군,군립도서관,교육연구시설,가평군에서 운영하는 도서관
가평군,가평천,도시-자연-강,화악천에서부터 흘러 북한강으로 합류하는 하천
가평군,가평읍사무소,행정시설,가평읍내 위치한 새로지은 읍사무소
가평군,청평호반,도시-자연-호수,가평군 외서면 청평3리와 설악면 회곡1리사이에 위치하며 청평댐의 건설로 형성된 인공호수
가평군,청평자연휴양림,관광휴게시설,미스터피자에서 연수 목적으로 만든 메이슨아카데미와 함께 있는 자연휴양림
가평군,아침고요수목원,관광휴게시설,축령산에 위치한 수목원
가평군,가평공설운동장,운동시설,운동장과 체육시설을 갖춘 공설운동장
가평군,가평문화예술회관,공공생활시설,문화공연 및 예술활동을 감상할 수 있는 문예회관
가평군,가평연수원,복지시설,청정계곡의 산에서 자연과 함께 교육받을 수 있는 수련원
가평군,녹수계곡,도시-자연-계곡,울창한 숲과 어우러진 계곡
가평군,대성관광지,관광휴게시설,경춘가도의 대성리역을 중심으로 북한강변에 이루어진 국민관광
가평군,명지분교,교육연구시설,가평 목동초등학교 소속 분교
가평군,가평 청평댐,방송시설/발전/기타시설,북한강을 흘러드는 위쪽의 구비진 곳에 위치한 콘크리트 중력댐
가평군,가평 청평스포랜드,운동시설,"북한강 상류에 위치하여 수상레저 스포츠 및 서바이벌, 번지점프 등 지상레저도 즐길 수 있는 유원지"
가평군,가평 청심평화월드센터,문화시설,"2012년 3월 설립됐으며 지하 3층, 지상 4층 규모의 최대 25,000여명 수용이 가능한 국내 최대 실내 아레나 형태의 복합 문화센터. 다양한 용도로 사용할 수 있도록 설계되어 무빙스테이지, 슬라이딩체어 등의 첨단 설비."
