시군명,시설명,채수및검사일자,검사기관명,PH(5.8~8.6),탁도(4NTU이하),대장균(200개체수/100MmL미만),유리잔류염소(0.4~4.0mg/L),초과원인및조치사항,소재지지번주소,소재지도로명주소,소재지우편번호,위도,경도
고양시,고래놀이터 바닥분수,2020-07-01,경기도 고양시,-,-,-,-,,경기도 고양시 일산서구 탄현동 1640번지 일산위브더제니스,"경기도 고양시 일산서구 일현로 97-11(탄현동, 일산 위브더제니스)",10242,37.6941611780,126.7629420744
고양시,고양공원 바닥분수,2020-06-01,고양시 자체점검,-,-,-,-,,경기도 고양시 덕양구 고양동 30,경기도 고양시 덕양구 동헌로 440-4,10274,37.7060540304,126.9004902806
고양시,고양공원 바닥분수,2018-07-24,고양시상하수도사업소,7.8,0.21,2,0.48,,경기도 고양시 덕양구 행신동 1082-1,경기도 고양시 덕양구 중앙로 452,10486,37.6184657159,126.8451800917
고양시,고양공원 바닥분수,2018-07-02,고양시상하수도사업소,7.8,0.11,2,0.88,,경기도 고양시 덕양구 행신동 1082-1,경기도 고양시 덕양구 중앙로 452,10486,37.6184657159,126.8451800917
고양시,고양공원 바닥분수,2018-06-26,고양시상하수도사업소,7.7,0.2,2,0.41,,경기도 고양시 덕양구 행신동 1082-1,경기도 고양시 덕양구 중앙로 452,10486,37.6184657159,126.8451800917
고양시,꽃향기공원 바닥분수,2020-06-01,고양시 자체점검,-,-,-,-,,경기도 고양시 덕양구 향동동 424,경기도 고양시 덕양구 향동로 200,10545,37.6069341830,126.8933221037
고양시,노래하는 분수대A,2020-10-05,고양도시관리공사,-,-,-,-,,경기도 고양시 일산동구 장항동 906번지,경기도 고양시 일산동구 호수로 595,10400,37.6549538763,126.7687601052
고양시,노래하는 분수대B,2020-10-05,고양도시관리공사,-,-,-,-,,경기도 고양시 일산동구 장항동 906번지,경기도 고양시 일산동구 호수로 595,10400,37.6549538763,126.7687601052
고양시,노래하는분수대 계단/바닥분수(A),2018-07-20,중앙생명연구원㈜,8.1,0.25,불검출,0.76,,경기도 고양시 일산동구 호수로 595,경기도 고양시 일산동구 호수로 595,10400,37.6577996966,126.7634563581
고양시,노래하는분수대 계단/바닥분수(A),2018-07-05,중앙생명연구원㈜,8.5,0.11,불검출,0.47,,경기도 고양시 일산동구 호수로 595,경기도 고양시 일산동구 호수로 595,10400,37.6577996966,126.7634563581
고양시,노래하는분수대 계단/바닥분수(A),2018-06-21,중양생명연구원㈜,8.5,0.35,불검출,0.59,,경기도 고양시 일산동구 호수로 595,경기도 고양시 일산동구 호수로 595,10400,37.6577996966,126.7634563581
고양시,노래하는분수대 계단/바닥분수(A),2018-06-11,중양생명연구원㈜,8,0.1,불검출,0.51,,경기도 고양시 일산동구 호수로 595,경기도 고양시 일산동구 호수로 595,10400,37.6577996966,126.7634563581
고양시,노래하는분수대 계단/바닥분수(A),2018-05-25,중양생명연구원㈜,6.3,0.07,불검출,1.69,,경기도 고양시 일산동구 호수로 595,경기도 고양시 일산동구 호수로 595,10400,37.6577996966,126.7634563581
고양시,노래하는분수대 계단/바닥분수(A),2018-05-11,중양생명연구원㈜,7.3,0.12,<2,0.71,,경기도 고양시 일산동구 호수로 595,경기도 고양시 일산동구 호수로 595,10400,37.6577996966,126.7634563581
고양시,노래하는분수대 계단/바닥분수(B),2018-07-20,중앙생명연구원㈜,8.2,0.26,불검출,0.99,,경기도 고양시 일산동구 호수로 595,경기도 고양시 일산동구 호수로 595,10400,37.6577996966,126.7634563581
고양시,노래하는분수대 계단/바닥분수(B),2018-07-05,중앙생명연구원㈜,8.4,0.09,불검출,0.49,,경기도 고양시 일산동구 호수로 595,경기도 고양시 일산동구 호수로 595,10400,37.6577996966,126.7634563581
고양시,노래하는분수대 계단/바닥분수(B),2018-06-21,중양생명연구원㈜,8.4,0.38,불검출,1.11,,경기도 고양시 일산동구 호수로 595,경기도 고양시 일산동구 호수로 595,10400,37.6577996966,126.7634563581
고양시,노래하는분수대 계단/바닥분수(B),2018-06-11,중양생명연구원㈜,7.6,0.1,불검출,0.49,,경기도 고양시 일산동구 호수로 595,경기도 고양시 일산동구 호수로 595,10400,37.6577996966,126.7634563581
고양시,노래하는분수대 계단/바닥분수(B),2018-05-25,중양생명연구원㈜,6.2,0.11,불검출,0.9,,경기도 고양시 일산동구 호수로 595,경기도 고양시 일산동구 호수로 595,10400,37.6577996966,126.7634563581
고양시,노래하는분수대 계단/바닥분수(B),2018-05-11,중양생명연구원㈜,7.3,0.11,<2,0.68,,경기도 고양시 일산동구 호수로 595,경기도 고양시 일산동구 호수로 595,10400,37.6577996966,126.7634563581
고양시,달빛공원 바닥분수,2020-06-01,고양시 자체점검,-,-,-,-,,경기도 고양시 덕양구 화정동 859,경기도 고양시 덕양구 화수로 25 옆,10472,37.6453824143,126.8327282802
고양시,달빛공원 바닥분수,2018-07-24,고양시상하수도사업소,7.7,0.23,2,0.49,,경기도 고양시 덕양구 화정동 872,경기도 고양시 덕양구 은빛로77번길 14,10474,37.6395197929,126.8373972769
고양시,달빛공원 바닥분수,2018-07-02,고양시상하수도사업소,7.8,0.14,2,0.93,,경기도 고양시 덕양구 화정동 872,경기도 고양시 덕양구 은빛로77번길 14,10474,37.6395197929,126.8373972769
고양시,달빛공원 바닥분수,2018-06-26,고양시상하수도사업소,7.7,0.22,2,0.42,,경기도 고양시 덕양구 화정동 872,경기도 고양시 덕양구 은빛로77번길 14,10474,37.6395197929,126.8373972769
고양시,덕수공원 바닥분수,2020-06-01,고양시 자체점검,-,-,-,-,,경기도 고양시 덕양구 삼송동 341,경기도 고양시 덕양구 덕수천1로 14,10588,37.6461771352,126.8792418093
고양시,덕수공원 바닥분수,2018-07-25,고양시상하수도사업소,8,0.22,2,1.18,,경기도 고양시 덕양구 고양동 30,,10274,37.7052355414,126.9001650473
고양시,덕수공원 바닥분수,2018-07-03,고양시상하수도사업소,8,0.59,2,0.43,,경기도 고양시 덕양구 고양동 30,,10274,37.7052355414,126.9001650473
고양시,덕수공원 바닥분수,2018-06-25,고양시상하수도사업소,8,0.22,2,1.18,,경기도 고양시 덕양구 고양동 30,,10274,37.7052355414,126.9001650473
고양시,덕이공원 바닥분수,2020-06-01,고양시 자체점검,-,-,-,-,,경기도 고양시 일산서구 덕이동 산131-7,경기도 고양시 일산동구 중앙로 1256(마두동),10409,37.6588678240,126.7749572412
고양시,덕이공원 바닥분수,2018-07-24,고양시상하수도사업소,7.6,0.14,2,0.52,,경기도 고양시 일산서구 덕이동 산131-7,,,37.6960163104,126.7494325480
고양시,덕이공원 바닥분수,2018-06-25,고양시상하수도사업소,8,0.09,2,0.44,,경기도 고양시 일산서구 덕이동 산131-7,,,37.6960163104,126.7494325480
고양시,도래울바람물공원 바닥분수,2020-06-01,고양시 자체점검,-,-,-,-,,경기도 고양시 덕양구 도내동 980,경기도 고양시 덕양구 의장로 45-1,10551,37.6278409197,126.8735353575
고양시,도래울바람물공원 바닥분수,2018-07-25,고양시상하수도사업소,8,0.23,2,1.31,,경기도 고양시 덕양구 화정동 859,,10472,37.6452408748,126.8310393545
고양시,도래울바람물공원 바닥분수,2018-07-03,고양시상하수도사업소,8,0.52,2,0.64,,경기도 고양시 덕양구 화정동 859,,10472,37.6452408748,126.8310393545
고양시,도래울바람물공원 바닥분수,2018-06-25,고양시상하수도사업소,8,0.23,2,1.31,,경기도 고양시 덕양구 화정동 859,,10472,37.6452408748,126.8310393545
고양시,마두공원 바닥분수,2020-06-01,고양시 자체점검,-,-,-,-,,경기도 고양시 일산동구 마두동 780,경기도 고양시 일산동구 강송로 176-3(마두동),,37.6548517000,126.7857902961
고양시,마두공원 바닥분수,2018-07-17,고양시상하수도사업소,7.7,0.13,2,0.43,,경기도 고양시 일산동구 마두동 780,,,37.6548517000,126.7857902961
고양시,마두공원 바닥분수,2018-07-04,고양시상하수도사업소,7.7,0.11,2,0.64,,경기도 고양시 일산동구 마두동 780,,,37.6548517000,126.7857902961
