상권명,다중지역정보,업종정보,점포수,위도,경도
광덕대로_2,"{""type"":""Polygon"",""coordinates"":[[[126.832597151553,37.3114275860118],[126.83266157693,37.3121850233929],[126.83226589703,37.31220634103],[126.8312785237,37.3122595358751],[126.831275611205,37.3122596923421],[126.831249350389,37.3122611089638],[126.830631308659,37.3122944015415],[126.830292820602,37.3123126334869],[126.830229725825,37.3115601452578],[126.830094606169,37.3099486227607],[126.830431483374,37.3099304478717],[126.831077067914,37.3098956167961],[126.831082147779,37.3098953427091],[126.831084269163,37.3098952316459],[126.831084717411,37.3098952078202],[126.832049141765,37.3098431714334],[126.832065570509,37.309842284937],[126.832460498299,37.3098209742308],[126.83259697929,37.3114255607335],[126.832597151553,37.3114275860118]]]}","유흥주점,한식,이/미용/건강,학원-보습교습입시,의복의류",704,37.31106705,126.8313774
판교역로192번길,"{""type"":""Polygon"",""coordinates"":[[[127.111188323072,37.3964098265962],[127.112723840829,37.3964083923556],[127.112724183877,37.3966405867554],[127.112716854843,37.397075945579],[127.11271683463,37.397078578321],[127.112718139954,37.3979614626731],[127.112718402354,37.3981391719594],[127.112410259273,37.3981412722909],[127.11222314906,37.3981248614201],[127.1120606964,37.3980794131543],[127.111172397955,37.3977847553399],[127.110692380065,37.3976255247011],[127.110636377941,37.3976133886646],[127.110381252243,37.3975854493625],[127.110361280258,37.3975839792751],[127.110324387142,37.397582577509],[127.11031099812,37.3964106371041],[127.111188323072,37.3964098265962]]]}","한식,병원,유흥주점,부동산중개,이/미용/건강",208,37.39716162,127.111611
효원로,"{""type"":""Polygon"",""coordinates"":[[[127.04528197609,37.2592553452322],[127.045358055696,37.2594881549925],[127.045444213395,37.2597651028458],[127.045179884163,37.2598210012168],[127.044952494448,37.2598690892374],[127.044495882489,37.2599605684493],[127.043807183744,37.2600985409587],[127.043507793092,37.2601585159018],[127.043480177113,37.2599742699917],[127.043477246025,37.2599597560661],[127.04345962207,37.2598905622906],[127.043455421442,37.2598768442012],[127.043429115056,37.25980350924],[127.043427474514,37.2597991449119],[127.043391801838,37.259708423494],[127.043387536672,37.2596985805465],[127.043330756573,37.2595788529588],[127.043323647853,37.2595655097332],[127.043314679771,37.2595503945461],[127.043298960108,37.2595238999402],[127.043236769798,37.2594191057732],[127.043132166321,37.2592123625265],[127.043093957613,37.2591233689396],[127.043407042994,37.2590760577101],[127.044185633443,37.2589599665301],[127.044619787493,37.2588952299096],[127.045139223546,37.2588184736742],[127.045280911111,37.259252090539],[127.045280953389,37.2592522156753],[127.04528197609,37.2592553452322]]]}","한식,학원-보습교습입시,학원-어학,이/미용/건강,유흥주점",182,37.25946229,127.0442961
각골로,"{""type"":""Polygon"",""coordinates"":[[[126.874197144641,37.2947912570596],[126.874226759433,37.2947906932071],[126.874236509177,37.2952486440339],[126.873098495018,37.2952907651516],[126.87310191533,37.2956526355728],[126.872922721469,37.2956580407842],[126.872880796289,37.2948576965832],[126.872879179184,37.2948268357644],[126.872838065081,37.2940422080847],[126.872805309562,37.29341689971],[126.874138808358,37.2933731882069],[126.874143826149,37.2933730237045],[126.874153779405,37.2935845321489],[126.873002084975,37.2936239878285],[126.873028923038,37.2940226871934],[126.873049391748,37.2944230145666],[126.874192809207,37.2943958696484],[126.874197144641,37.2947912570596]]]}","한식,이/미용/건강,가정/주방/인테리어,부동산중개,분식",43,37.29456325,126.8734559
성남고속터미널,"{""type"":""Polygon"",""coordinates"":[[[127.128514682929,37.4125167678644],[127.128524549316,37.413234306694],[127.12852524693,37.4136476524332],[127.128495360626,37.4136474787602],[127.128494070073,37.4136474742008],[127.126291542134,37.4136446902273],[127.126292482078,37.4125415770608],[127.12659603243,37.4125400806397],[127.127389605641,37.4125361654127],[127.127393261675,37.4125361237607],[127.128487014746,37.4125165953989],[127.128514682929,37.4125167678644]]]}","가구소매,종합소매점,의복의류,커피점/카페,가방/신발/액세서리",68,37.41308975,127.1274115
고양시청로,"{""type"":""Polygon"",""coordinates"":[[[126.832504470839,37.6563970976064],[126.832542061021,37.6565298061194],[126.833615523955,37.6572094186253],[126.833629477118,37.6572230716947],[126.83442975577,37.6580024690412],[126.834456272622,37.6580280718654],[126.833778445377,37.6584330320505],[126.833364808976,37.6580004002343],[126.832977251955,37.6575989971561],[126.832710782739,37.6576757656524],[126.832190805872,37.6576571095115],[126.831911740791,37.6576560389236],[126.830977960869,37.6582116238171],[126.830634181987,37.6584075700979],[126.830341208511,37.658096070418],[126.830353962993,37.657892341706],[126.8301425835,37.6576627411613],[126.829596205827,37.6577693912523],[126.83058531205,37.6564974044804],[126.830686854481,37.6564698082296],[126.830856880348,37.6564236009634],[126.830895385589,37.6564131363186],[126.831231756794,37.6563217193896],[126.831234839756,37.6563208617408],[126.831652793175,37.6562018960011],[126.831802375796,37.6561593121614],[126.831823545817,37.6561523057443],[126.832490902427,37.6558992232646],[126.832497349043,37.6561278483145],[126.832504470839,37.6563970976064]]]}","한식,유흥주점,모텔/여관/여인숙,커피점/카페,부동산중개,종합소매점,가정/주방/인테리어,닭/오리요리",179,37.6572548,126.8318834
신장1동주민센터,"{""type"":""Polygon"",""coordinates"":[[[127.209632722752,37.5376850830194],[127.209982396025,37.5381593494885],[127.210481717858,37.5379216491969],[127.210565287541,37.5385152177376],[127.211077222892,37.5382550725904],[127.211307722002,37.538562970338],[127.210918177584,37.5387518480428],[127.21102643082,37.5389153242298],[127.211433803171,37.5387124859394],[127.211517257716,37.5386786892664],[127.211838610043,37.5385180765815],[127.212140486182,37.5389188547187],[127.211834899528,37.5390665075478],[127.211816649643,37.539075325374],[127.211033811557,37.5394535658445],[127.211019130874,37.5394606634865],[127.211012551363,37.5394638430854],[127.211008493073,37.5394658042845],[127.210885982808,37.5395249934429],[127.210752866361,37.5395893131486],[127.210750846194,37.5395903008228],[127.210679250917,37.5396257167152],[127.210648490473,37.5396409302349],[127.210625781801,37.5396521630451],[127.210184158538,37.5398706097697],[127.209692523388,37.5401137982556],[127.209688431823,37.5401158220555],[127.208786671212,37.5405618513262],[127.208785893701,37.5405622376334],[127.208461125039,37.5407243268151],[127.208449122069,37.5407301325522],[127.207281395909,37.541294941747],[127.207048069322,37.5408428988531],[127.206761765432,37.5409355743749],[127.206649220567,37.5406386878341],[127.206645927939,37.5406306832448],[127.206642268441,37.5406224430004],[127.206558597756,37.5404340377009],[127.206512766972,37.5403308379026],[127.206494222495,37.5402992164493],[127.206465981389,37.5402611740176],[127.206031009667,37.5396752358178],[127.205856963518,37.5394407801423],[127.205523525462,37.5389916045861],[127.204872020524,37.5381139419235],[127.206111954811,37.5376540051776],[127.20684082555,37.5373836317186],[127.206996549369,37.5373258653693],[127.207463729547,37.5371525613057],[127.208115239115,37.5369108743844],[127.208170723076,37.5368817133491],[127.208229044952,37.5368400842242],[127.208723709521,37.5364869983368],[127.208794366937,37.5364365634383],[127.209211434524,37.5365581937447],[127.209222099542,37.5367204560604],[127.209553152089,37.537081966721],[127.209781164156,37.5369871891248],[127.21010639605,37.5374652341443],[127.209632722752,37.5376850830194]],[[127.208287399778,37.538307392826],[127.208660909218,37.5388009702019],[127.208054778884,37.5391060904293],[127.208316416285,37.5392435639971],[127.208442401026,37.5395023357267],[127.208204241279,37.5396195692498],[127.208355985603,37.5398165655501],[127.20875961059,37.5396013219106],[127.209045087963,37.5398256804212],[127.209340861289,37.5396772931675],[127.20944892369,37.5396909681348],[127.210039824596,37.5393879917288],[127.210318097021,37.5392558168578],[127.209974101953,37.5388125633278],[127.20949728543,37.5390278852718],[127.208977052778,37.5386318830495],[127.208358138092,37.5382723869562],[127.208287399778,37.538307392826]],[[127.207109223133,37.5401759608077],[127.206919541071,37.5404236072466],[127.206969226233,37.5405405150499],[127.20774782669,37.540346372521],[127.207531057083,37.5399783015052],[127.207109223133,37.5401759608077]],[[127.207386944102,37.5381222771127],[127.207709364349,37.5385642673219],[127.207975065441,37.5384505981433],[127.207646374765,37.5379995560371],[127.207386944102,37.5381222771127]],[[127.210404966491,37.5393679030102],[127.210534753497,37.5395349023396],[127.210704652727,37.539452124775],[127.210648212595,37.5393717790242],[127.210525491892,37.5393061963277],[127.210404966491,37.5393679030102]]]}","한식,음/식료품소매,이/미용/건강,유흥주점,의복의류",313,37.5387707,127.208141
경기광주문예회관,"{""type"":""Polygon"",""coordinates"":[[[127.260666400415,37.4078053277812],[127.260629508544,37.4080875989044],[127.260575381146,37.4084536275226],[127.260574733727,37.4084585966952],[127.260552318438,37.4086574078797],[127.260551356806,37.4086659375263],[127.260544601758,37.4087258545775],[127.260524592353,37.4088538371274],[127.260523850898,37.408859242416],[127.260476928929,37.4092566738358],[127.260420547362,37.409697142754],[127.260419505525,37.4097094131008],[127.260404041787,37.4100775221147],[127.260397026002,37.4101463604199],[127.260378035663,37.4103326913855],[127.260342957755,37.4106556154582],[127.260342742322,37.410657745472],[127.260297092378,37.4111451229508],[127.260290818662,37.4112121113481],[127.260254243106,37.4115395349692],[127.260254108574,37.4115407887877],[127.260243474023,37.4116441477718],[127.260241677658,37.4116616073945],[127.260181521539,37.4122462847393],[127.260181325018,37.4122483387176],[127.260147216779,37.412633851247],[127.260112496516,37.4130022447851],[127.260094629262,37.4131436426179],[127.2600688766,37.4133474429594],[127.26006834934,37.4133522632878],[127.260056478466,37.4134806772741],[127.260021287504,37.4134423535267],[127.259963941934,37.4134093887125],[127.259896632207,37.4133921722237],[127.259825947029,37.4133923893189],[127.258726417372,37.413534756792],[127.258374179733,37.4135401783753],[127.257249191983,37.4135574869644],[127.257261165386,37.4133433276554],[127.257261265382,37.4133412767408],[127.257264882924,37.4132543339366],[127.257295578242,37.4125166031073],[127.257297440063,37.4124718555491],[127.257697357198,37.4116033287192],[127.257857621465,37.4112552659132],[127.258326601649,37.4102367119452],[127.258327558221,37.4102345935849],[127.258486703795,37.4098751312686],[127.25900005954,37.4087155884455],[127.259041811709,37.4086212789761],[127.259229492842,37.408297301792],[127.259352400197,37.4080851360883],[127.25973871326,37.4076472801605],[127.260067694679,37.4073356688106],[127.260537280083,37.4070956078111],[127.260773306865,37.4070237393204],[127.260731731947,37.4073338720257],[127.260679826131,37.4077026575048],[127.260679633389,37.4077040776436],[127.260666400415,37.4078053277812]],[[127.258610344397,37.4128926464251],[127.259141765647,37.4129517259582],[127.25912562286,37.41304961773],[127.259720877172,37.4131152888533],[127.259767057835,37.4131938590199],[127.259966490775,37.4130165781717],[127.25916770548,37.4121803361067],[127.258610344397,37.4128926464251]]]}","한식,의복의류,유흥주점,이/미용/건강,무도/유흥/가무",277,37.41082195,127.2591845
안성2동주민센터,"{""type"":""Polygon"",""coordinates"":[[[127.267635590771,37.0016003092463],[127.267458585574,37.0010917616816],[127.267465006839,37.000824555793],[127.267949833435,37.0000959237594],[127.270126481249,36.9971712849061],[127.270394755996,37.0007749798806],[127.269351551704,37.0008189826736],[127.267635590771,37.0016003092463]]]}","한식,자동차/자동차용품,자동차/이륜차,가정/주방/인테리어,수의업,가전제품소매,부동산중개,종합소매점,중식,경마/경륜/성인오락",23,36.99977835,127.2691687
영통로323번길,"{""type"":""Polygon"",""coordinates"":[[[127.059948751002,37.2562885898943],[127.060296795839,37.2559770921359],[127.060340811564,37.2558366450152],[127.060171793952,37.2553475883683],[127.060184122325,37.2545809108613],[127.060504820113,37.2544854582151],[127.060952094155,37.2545799558029],[127.061414488835,37.2543924153511],[127.061737406171,37.2544020111735],[127.062440287553,37.254593702591],[127.063382305982,37.2550633955195],[127.063549699385,37.2552459953538],[127.063553077535,37.2552495856373],[127.063569230789,37.2552663150186],[127.062711988588,37.2558103570917],[127.059948751002,37.2562885898943]]]}","자동차/이륜차,한식,종합소매점,기타판매업,자동차/자동차용품,커피점/카페",26,37.25526764,127.0615782
