구분,업체명,주요사업,주소,전화번호,데이터기준일자,정제WGS84위도,정제WGS84경도
도소매업,갑오의류,의류,경기도 의정부시 태평로73번길 20,031-848-0256,2021-02-23,37.7394019398,127.0501169382
음식점업,털보아구탕,"아구탕, 아구찜",경기도 안산시 단원구 원초로 34,031-484-9393,2021-02-23,37.3276939030,126.8018777724
도소매업,발안건재,"건축자재, 철물",경기도 화성시 향남읍 배터길 26-4,031-353-1222~3,2021-02-23,37.1335864059,126.9056334436
도소매업,팔부자슈퍼,잡화,경기도 안양시 만안구 와룡로 1,031-472-6658,2021-02-23,37.4045346147,126.8984491977
음식점업,이화회집,낙지전골,경기도 화성시 우정읍 매화길 2,031-358-0807,2021-02-23,37.0272644039,126.7953278935
음식점업,송할머니옻닭집,옻닭,경기도 수원시 권선구 정조로 423,031-224-9997,2021-02-23,37.2471945977,127.0132797666
음식점업,봉암식당,백숙,경기도 안양시 만안구 예술공원로245번길 15,031-471-7428,2021-02-23,37.4191968838,126.9324840558
음식점업,미락복집,복요리 전문점,경기도 성남시 분당구 구미로9번길 25 (분당대맥주차빌딩 108호),031-713-5394,2021-02-23,37.3403778552,127.1099373314
음식점업,덕화원,중식,경기도 양주시 덕정길 4,031-858-0103,2021-02-23,37.8440734765,127.0625638160
음식점업,이천용인닭발본점,"닭발, 닭모래집튀김",경기도 이천시 중리천로21번길 11,031-635-2287,2021-02-23,37.2809729084,127.4403593915
음식점업,민물추어탕,"추어탕, 미꾸라지튀김",경기도 수원시 영통구 중부대로 286,031-215-6655,2021-02-23,37.2736123817,127.0468126521
도소매업,매향철물,철물점,경기도 수원시 팔달구 수원천로 313,031-255-4313,2021-02-23,37.2813855284,127.0179441636
음식점업,고복례 냉면,냉면,경기도 평택시 조개터로1번길 71,031-655-4252,2021-02-23,36.9896855222,127.0997226257
음식점업,남한산성 은행나무집,"오리백숙, 닭도리탕, 토종순대국",경기도 광주시 남한산성면 남한산성로 772,031-743-6549,2021-02-23,37.4781781734,127.1848078785
음식점업,장안면옥,"냉면, 비빔냉면, 수육무침",경기도 안성시 중앙로371번길 54,031-675-4703,2021-02-23,37.0099231797,127.2694812958
음식점업,지동관,중화요리,경기도 의정부시 호국로1298번길 78,031-846-2047,2021-02-23,37.7400794626,127.0481606659
음식점업,유일관,"갈비탕, 육회, 소불고기 등",경기도 가평군 조종면 현창로38번길 11-1,031-585-2543,2021-02-23,37.8192727316,127.3488962904
음식점업,안일옥,"설렁탕, 곰탕",경기도 안성시 중앙로411번길 20,031-675-2486,2021-02-23,37.0076761594,127.2728938262
도소매업,금화한복,한복,경기도 수원시 팔달구 수원천로255번길 6 영동시장 가동 17호,031-255-7047,2021-02-23,37.2768907290,127.0187173017
음식점업,(신)대원옥,"평양냉면, 수육",경기도 수원시 팔달구 정조로800번길 6-3,031-255-7493,2021-02-23,37.2793458162,127.0173141967
