장소,타입,위치,해시태그,좋아요,찜하기,리뷰,일정 등록,방문했어요,조회,SNS 공유,관광지,음식점,숙박,쇼핑,소개,상세 정보,이용 시간,요금 정보,장소 특성,주요목적,주요목적 기타,평균 소요 시간,경사도(난이도),편의시설,기타 상세,장애인 시설정보,장애인 활동 보조 필요성,부대시설,숙박 업종,대표 메뉴 상세,금연여부,등급,룸개수,셔틀버스 운행 여부,애완동물동반허용여부,조식제공 여부,예약 가능 여부,노키즈존,대표 메뉴,방 보유,유아 서비스,유아 서비스 상세,부대시설 기타,Late체크인여부,공항교통편,장애인전용객실여부,유아 서비스 기타,취급품목,취급품목 기타,택배배송여부,main_category
봄날카페,음식점,제주특별자치도 제주시 애월읍 애월로1길 25,"['카페 ', '커피 ', '음료']",43,558,141,0,2,56839,52,"['애월한담해안산책로', '곽지해수욕장', '한담해변', '애월 한담 카약', '(주)제주해양레저 투명카약', '제주올레 16코스', '보통청춘기록실 청춘사진관', '해피맘하우스', '곽지해수욕장야영장', '문서프', '제주기독교순례길', '애월 하물', '핸즈웍스', '고내봉(고내오름,고니오름,망오름)', '곽지레저 & 서프나우', '애월환해장성', '고내리포구', '기독교순례길 1코스(순종의길)', '곽지패총', '갑자기 히어로즈 벽화길', '귀덕연대', '애월연대', '중엄리새물', '고내리 다락쉼터', '금성포구', '애월스쿠버다이빙스쿨']","['몽상드애월(몽상)', '리치망고', '애월더선셋', '붉은제주', '고불락', '카페콜라', '호박다방', 'ROAD129(로드129)', '지금이순간', '숙이네보리빵', 'jival 지발', '곽지박사장&김사장네', '은혜전복', '무인카페 산책', '카페태희', '곽지식당', '해품', '라스또르따스', '탐라면', '몬스터살롱', '파리바게트 애월', '카페하물', '카페 소바니', '백번가든', '달에', '미인계 카페', '마레벤또', '수타명가', '마틸다', '귤따고 레드향갈고', '하우스레서피', '곽지BAR다', '애월리안', '메리앤폴', '반딧불한담', '쿡이야', '산책하우스', '로맨틱하드보일드', '맛있는 여가생활', '안트레', '귀덕간식', '인디언키친', '애월 고깃간']","['위더스펜션', '해변산책펜션', '애월포구풍경', '씨스테이호텔', '조이랜드펜션', '하쿠나마타타게스트하우스', '아이랑키즈펜션', '고불락하우스', '탱자탱자게스트하우스', '오누게스트하우스', '토리코티지카레클린트', '마눌펜션', '발로바쉬', '모물펜션', '제주토비스콘도', '한담풍경하우스', '오후여섯시펜션', '바다와자전거']","['샘스제주캔들', '베리제주', '한마음한라봉']",드라마 '맨도롱 또똣'의 주인공이 일하던 카페,,"평일 : 09:00 ~ 21:30 , 주말 : 09:00 ~ 21:30",,,,,,,"현금결제,카드결제,화장실,무료 WIFI,음료대",,,아주 어려움,,,,,,,,,,,,,,,,,,,,,,,,카페
명진전복,음식점,제주특별자치도 제주시 구좌읍 해맞이해안로 1282,"['전복 ', '돌솥밥 ', '회']",27,537,66,0,0,43587,26,"['세화해변', '해녀박물관', '로봇스퀘어', '표선세화해안도로', '평대리해변', '제주올레 21코스', '감수굴 밭담길', '맬튼개 갯담', '평대리불턱', '평대해변', '한동환해장성']","['벵디', '카페공작소', '바보카페', '평대성게국수', '카페마니', '톰톰카레', '연미정', '지붕위제주바다', '평대스낵', '평대랑 그네랑', '바당봉봉', '대수길다방', '얌얌돈까스', '카페리(CAFERI)', '미엘드세화', '말이', '나나이로 아코제주', '부엌인세화', '맥반석 식당', '에릭스에스프레소 카페', 'Jeju in aA카페', '이런날N', '텍시아', '소라횟집', '벨롱', '레이식당', '다래향2호점', '세러데이아일랜드', '아일랜드조르바', '춘희', '아톰스낵', '종이비행기', '맛좋은디', '비자블라썸', '요요무문', '카페 캐로타', '쇼디치카페', '풍미독서', '알마니']","['제주도푸른바다', '게으른소나기', 'Oh! 세화! (오세화게스트하우스)', '이디하우스n카페', '하도리보통날', '다락마마', '이런날엔', '유월그리고열두마루', '아쿠아뷰티크', '하도하도 3200', '오름게스트하우스', '두베하우스', '무이비엔', '와락 게스트하우스', '세화맨션', '배목수집', '탐탐56', '미쓰홍당무하우스', '감비나무', '세화리움', '제주의시간은느리다', '비비엔다', '레프트핸더 게스트하우스', '여래게스트하우스', '몬딱게스트하우스', '하도하도1929', '언니게스트하우스', '자넷앤캐시', '피디스테이션', '벼리게스트하우스']","['벨롱장', '세화해녀민속오일시장', '여름문구사', '펠롱잡화점']",제주도 대표 전복요리 전문점 2016 KOREAT JEJU TOP10 선정,"화요일 휴무, 라스트오더 20:30","평일 : 09:30 ~ 21:30 , 주말 : 09:30 ~ 21:30",,,,,,,"공용주차장,현금결제,카드결제,화장실,편의점,음료대,유도 및 안내시설,경보 및 피난시설",,,아주 어려움,,,,,,,,,,,,,,,,,,,,,,,,한식
몽상드애월(몽상),음식점,제주특별자치도 제주시 애월읍 애월북서길 56-1,"['카페 ', '커피 ', '음료', '디저트']",18,421,66,0,1,39458,24,"['애월한담해안산책로', '곽지해수욕장', '한담해변', '애월 한담 카약', '(주)제주해양레저 투명카약', '제주올레 16코스', '보통청춘기록실 청춘사진관', '해피맘하우스', '곽지해수욕장야영장', '문서프', '제주기독교순례길', '애월 하물', '고내봉(고내오름,고니오름,망오름)', '곽지레저 & 서프나우', '애월환해장성', '고내리포구', '기독교순례길 1코스(순종의길)', '곽지패총', '갑자기 히어로즈 벽화길', '귀덕연대', '애월연대', '중엄리새물', '금성포구', '애월스쿠버다이빙스쿨']","['봄날카페', '리치망고', '애월더선셋', '붉은제주', '고불락', '카페콜라', '호박다방', 'ROAD129(로드129)', '지금이순간', '숙이네보리빵', 'jival 지발', '곽지박사장&김사장네', '은혜전복', '무인카페 산책', '카페태희', '곽지식당', '해품', '라스또르따스', '탐라면', '몬스터살롱', '파리바게트 애월', '카페하물', '카페 소바니', '백번가든', '달에', '미인계 카페', '마레벤또', '수타명가', '마틸다', '귤따고 레드향갈고', '하우스레서피', '곽지BAR다', '애월리안', '메리앤폴', '반딧불한담', '쿡이야', '산책하우스', '로맨틱하드보일드', '맛있는 여가생활', '안트레', '귀덕간식', '인디언키친', '애월 고깃간']","['위더스펜션', '해변산책펜션', '애월포구풍경', '씨스테이호텔', '조이랜드펜션', '하쿠나마타타게스트하우스', '아이랑키즈펜션', '고불락하우스', '탱자탱자게스트하우스', '오누게스트하우스', '토리코티지카레클린트', '마눌펜션', '발로바쉬', '모물펜션', '제주토비스콘도', '한담풍경하우스', '오후여섯시펜션', '바다와자전거']","['샘스제주캔들', '베리제주', '한마음한라봉']",제주 애월 한담에 위치하여 멋진 바다경관을 감상할 수 있는 해안로의 카페,,"평일 : 09:30 ~ 20:00 , 주말 : 09:30 ~ 20:00",,,,,,,"공용주차장,현금결제,카드결제,화장실,무료 WIFI,음료대,유도 및 안내시설,경보 및 피난시설",,,,,,,,,,,,,,,,,,,,,,,,,,,카페
서연의집(영화 건축학개론),음식점,제주특별자치도 서귀포시 남원읍 위미해안로 86,"['카페 ', '커피 ', '아메리카노']",14,218,66,0,1,34936,16,"['제주동백수목원(위미리 애기동백나무군락)', '위미리 동백나무군락', '서귀포 다이브센터', '위미항', '그랑블루호(선상낚시)', '공천포', '남원 위미2리 어촌계', '공천포구', '이음새']","['한라앤탐', '와랑와랑카페', '시즌박스', '공천포식당', '카페이피엘', '모노클제주', '카페숑', '키아스마', '위미항활어회센터', '네이쳐캔바스', '유나카페', '시스베이글']","['be Lazy B&B', '넙빌레하우스', '예촌민박', '방울풍뎅이 하우스', '미소가펜션', '리치웨이 펜션', '한라앤탐 펜션', '힐링캠프펜션']",['라바북스'],영화 '건축학개론' 속 서연의 집을 리모델링하여 오픈한 카페&갤러리,연중무휴,"평일 : 09:00 ~ 21:00 , 주말 : 09:00 ~ 21:00",,,,,,,"공용주차장,현금결제,카드결제,화장실,무료 WIFI,음료대,유도 및 안내시설,경보 및 피난시설",,,,,,,,,,,,,,,,,,,,,,,,,,,카페
제주김만복(만복이네김밥집),음식점,제주특별자치도 제주시 오라로 41,"['전복김밥 ', '통전복주먹밥 ', '미역국']",62,1007,60,0,1,67251,89,"['용두암', '제주하늘을날다(패러글라이딩)', '용연', '관덕정', '제주목관아', '누웨마루거리(구 바오젠)', '탑동', '민속자연사박물관', '삼성혈', '두맹이골목', '전농로 서사라문화거리', '용담/용두암 해안도로', '제주문예회관', '제주월드21', '보물섬하이킹', '용담레포츠공원', '제주 패러글라이딩 스쿨', '제주국제공항', '산지천', '용두암해안도로카페거리', '제주 카카오캠핑', '탑동해변공연장', '용연카누클럽', '김만덕기념관', '오현단', '민오름(오라동)', '제주성지', '아라리오뮤지엄탑동시네마', '아라리오뮤지엄동문모텔1', '제주향교', '제주교육박물관', '제주스쿠터여행', '비블리아성서식물원', '아홉굿마을 낙천리 농어촌체험마을', '돛오름', '도두해안도로']","['올래국수', '미친부엌', '고집돌우럭(제주공항점)', '우진해장국', '김희선몸국', '오라숲소리', '명당양과', '앞뱅디식당', '만선식당', '삼다도횟집', '바다풍경횟집', '쉬림프박스', '산지물식당(건입동본점)', '살롱드라방 SALON de LAVANT', '스시호시카이', '국수마당', '삼무국수', '연동마라도횟집', '라붕제주 cafe', '일통이반', '메밀꽃차롱', '덤장', '서문수산', '영주말가든', '넉둥베기 고사리육개장', '유리네', '골막식당', '황금어장(제주시)', '레드팬더', '탑동산호전복', '화로향', '장춘육당', '아라파파 a la papa', '현옥식당', '좀녀마을뚝배기', '바다위에코끼리', '동도원']","['메종글래드 제주', '라마다프라자제주호텔', '제주bp게스트하우스 JEJU BP GUESTHOUSE', '신라스테이 제주', '오션스위츠호텔 제주', '베스트웨스턴제주호텔', '롯데시티호텔제주', '호텔 리젠트마린', '하워드존슨 제주 연동 호텔', '베니키아 아이진호텔', '호텔레오', '밸류호텔 월드와이드 제주', '제주KAL호텔']","['제주동문시장(동문재래시장)', '제주동문수산시장', '제주중앙지하상가', '제주칠성로상가', '더아일랜더', '뷰티풀제주', '서문공설시장', '보성시장', '다나한한복 앤 러블리베베', '바당의물질', '선물고팡', '삼다닷컴', '용연낚시']","전복내장으로 만든 김밥, 심플한 메뉴로 많은 여행객들에게 사랑받는 곳","수요일 휴무, 브레이크타임:13:30 - 15:30(포장만 가능)","평일 : 08:00 ~ 20:30 , 주말 : 08:00 ~ 20:30",,,,,,,"공용주차장,현금결제,카드결제,화장실,편의점,음료대,유도 및 안내시설,경보 및 피난시설",,,,,,,,,,,,,,,,,,,,,,,,,,,한식
리치망고,음식점,제주특별자치도 제주시 애월읍 애월해안로 272,"['스페셜망고쉐이크 ', '망고라떼 ', '수제망고코코넛잽', '망고코코넛쿠키 ', '카페 ', '망고']",29,461,59,0,1,25197,18,"['애월한담해안산책로', '애월해안도로', '더럭초등학교(구, 더럭분교)', '한담해변', '연화못', '애월 한담 카약', '(주)제주해양레저 투명카약', '제주올레 16코스', 'SM 디지털아트 뮤지엄', '애월 하물', '고내봉(고내오름,고니오름,망오름)', '애월환해장성', '고내리포구', '애월연대', '남두연대', '중엄리새물', '고내리 다락쉼터', '신엄포구', '애월스쿠버다이빙스쿨', '육시우영']","['봄날카페', '몽상드애월(몽상)', '붉은제주', '고불락', 'ROAD129(로드129)', '연화키친', '지금이순간', '숙이네보리빵', 'jival 지발', '은혜전복', '무인카페 산책', '제주샘주 영농협동조합', '남또리', '고내촌한정식', '해품', '라스또르따스', '까미노', '꽁순이네', '탐라면', '파리바게트 애월', '오르다키친', '카페하물', '오데뜨', '구름물고기', '백번가든', '달에', '허브팜카페', '마레벤또', '홍요깃거리카페', '마틸다', '귤따고 레드향갈고', '애월리안', '반딧불한담', '쿡이야', '산책하우스', '노리터스낵', '안트레', '잇칸시타', '꽃향유', '인디언키친', '면사무소']","['마레보 리조트', '루스톤빌라앤호텔', '위더스펜션', '애월애휴양펜션', '수앤수가족호텔', '베니키아호텔제주', '애월포구풍경', '다인오세아노 호텔', '다인리조트', '몽마르뜨펜션', '제주 리치호텔', '제주란펜션', '스테이달하', '씨스테이호텔', '조이랜드펜션', '하쿠나마타타게스트하우스', '아이랑키즈펜션', '천상의노을', '혼디', '고불락하우스', '탱자탱자게스트하우스', '오누게스트하우스', '파더하우스', '제주비치펜션', '토리코티지카레클린트', '마눌펜션', '인더 하우스', 'CS빌리지', '엠버하우스', '오비두스', '애월해안누리펜션(구 하얀둥지펜션)', '시땅', '제주토비스콘도', '엔젤하우스', '한담풍경하우스', '바다와자전거']","['샘스제주캔들', '베리제주']",제주 애월에 런칭하여 제주 전역으로 확장한 망고음료카페,동절기(10월~3월) 매일 10:00 - 18:30 / 하절기(4월~9월) 매일 10:00 - 20:00,"평일 : 10:00 ~ 18:30 , 주말 : 10:00 ~ 18:30",,,,,,,"공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,음료대,유도 및 안내시설,경보 및 피난시설",착한가격 업소,장애인 시설정보 >,어려움,,,,,,,,,,,,,,,,,,,,,,,,카페
카페공작소,음식점,제주특별자치도 제주시 구좌읍 해맞이해안로 1446,"['카페 ', '수제케이크 ', '에이드', '제주음료']",10,172,51,0,0,13778,4,"['세화해변', '해녀박물관', '표선세화해안도로', '평대리해변', '별방진', '제주올레 21코스', '세화해안도로', '감수굴 밭담길', '맬튼개 갯담', '이로이로공방', '평대리불턱', '평대해변', '굴동포구']","['명진전복', '벵디', '평대성게국수', '카페마니', '톰톰카레', '연미정', '지붕위제주바다', '평대스낵', '평대랑 그네랑', '바당봉봉', '대수길다방', '얌얌돈까스', '카페리(CAFERI)', '미엘드세화', '말이', '나나이로 아코제주', '부엌인세화', '맥반석 식당', '에릭스에스프레소 카페', 'Jeju in aA카페', '텍시아', '소라횟집', '벨롱', '석다원', '레이식당', '다래향2호점', '세러데이아일랜드', '아일랜드조르바', '춘희', '아톰스낵', '종이비행기', '맛좋은디', '비자블라썸', '요요무문', '카페 캐로타', '쇼디치카페', '풍미독서', '알마니']","['제주도푸른바다', '제주도푸른산푸른바다', '게으른소나기', 'Oh! 세화! (오세화게스트하우스)', '이디하우스n카페', '구름밭하우스', '하도리보통날', '다락마마', '드헤브펜션', '아쿠아뷰티크', '하도하도 3200', '오름게스트하우스', '두베하우스', '와락 게스트하우스', '세화맨션', '배목수집', '탐탐56', '미쓰홍당무하우스', '다올제민박', '감비나무', '세화리움', '제주의시간은느리다', '비비엔다', '레프트핸더 게스트하우스', '여래게스트하우스', '하늘을달리다', '몬딱게스트하우스', '바우하우스', '하도하도1929', '언니게스트하우스', '자넷앤캐시', '피디스테이션', '벼리게스트하우스']","['벨롱장', '세화해녀민속오일시장', '여름문구사', '언제라도 북스&리틀갤러리', '펠롱잡화점']",아름다운 세화 바다를 바라보면서 커피 한 잔의 여유를 즐길 수 있는 카페,,"평일 : 08:00 ~ 21:00 , 주말 : 08:00 ~ 21:00",,,,,,,"공용주차장,현금결제,카드결제,화장실,편의점,음료대,유도 및 안내시설,경보 및 피난시설",,,,,,,,,,,,,,,,,,,,,,,,,,,카페
濟州膳제주선,음식점,제주특별자치도 서귀포시 안덕면 신화역사로304번길 38,"['한식 ', '흑돼지 ', '한우', '갈치 ', '고소리술']",34,97,45,0,9,18837,10,"['오설록티뮤지엄', '소인국테마파크', '제주항공우주박물관', '신화테마파크', '이니스프리제주하우스', '이상한 나라의 앨리스', '서커스월드공연장', '조은승마장', '바이나흐튼 크리스마스 박물관', '토이파크', '하늘여행 행글라이더체험장', '꽃썸', '제주올레 14-1코스', '신화워터파크', '번개레이싱', '서광승마장', '서광리 곶자왈생태탐방로', '액트(AC.lll.T) 볼링장', '제주신화전설탐방로', '거린오름 (북오름)', '북오름', '그대, 나의 뮤즈 : 클림트 to 마티스', '임문숙 가족 헛묘', '삼밭구석 & 동광리4·3희생자위령비']","['르쉬느아 (Le Chinois)', '스카이 온 파이브 다이닝', '빨간모자마법사', '랜딩 다이닝(Landing dining)', '허파곶자왈화덕피자', '수구레국밥', '꼬꼬닭한마리', '아시안 푸드 스트리트', '제주그림카페', '재복헌훠궈', '엠 라운지 M Lounge', '봉you', '흑돼지신화', '디 아일렛 라운지', '랜딩 라운지', '별난카페', '더 코브', '카페 베트로(CAFÉ VETRO)', '성화정', '번개피자', '바온탑', '신화테라스', '제주선 더블랙']","['랜딩관 제주신화월드 호텔앤리조트', '코즈게스트하우스', '메리어트관 제주신화월드 호텔앤리조트', '서머셋 제주신화월드 호텔앤리조트', '제주항공우주호텔', '라이온힐펜션', '동막골게스트하우스', '신화관 제주신화월드 호텔 앤 리조트']",[''],메리어트관 제주신화월드에 위치한 한식 전문점,"운영시간 12:00- 14:30, 17:00 - 21:30(연중무휴)","평일 : 12:00 ~ 21:30 , 주말 : 12:00 ~ 21:30",,,,,,,"공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,편의점,음료대,유도 및 안내시설,경보 및 피난시설",,장애인 시설정보 >,쉬움,,,"제주膳 한상차림 : 138,000(2인기준), 통갈치 구이 한상차림 : 90,000(2인기준), 제주膳 전복 성게 미역국 : 20,000",,,,,,,가능,,,,,,,,,,,,,,한식
하하호호(HAHAHOHO),음식점,제주특별자치도 제주시 우도면 우도해안길 532,"['흑돼지수제버거 ', '수제버거 ', '땅콩아이스크림']",4,164,43,0,0,14738,3,"['우도(해양도립공원)', '우도산호해변 홍조단괴 서빈백사', '검멀레해변', '우도 비양도', '제주올레 1-1코스', '하고수동해변', '우도등대', '섬속의섬우도렌트', '우도스쿠터여행', '검멀레동굴', '우도박물관', '노을승마장', '톨칸이', '우도올레보트', '우도보물섬레져', '답다니탑망대', '우도 봉수대', '우도봉 ATV', '산호레저', '우도봉 풍경', '등머을레져', '우도 득성이코지', '비양도 연평리 야영지']","['섬소나이', '블랑로쉐', '우도 풍원', '봉끄랑', '우도해녀식당', '망고레이', '로뎀가든', '회양과 국수군', '우도동식이', '지미스', '안녕육지사람', '우도해광식당', '우도왕자이야기', '물꼬해녀의집', '우도자연', '우도아름다운소풍', '물회영해초영', '모실래기해녀해물촌', '우도다방 돼지네땅콩손만두', '파도소리해녀촌', '키다리아저씨', '리치망고우도점', '우도향', '우도면파전리', '해적카페', '오로라식당', '하얀산호식당', '산호사 해녀의집', '해와달그리고섬', '우무깨식당', '바당꺼몬딱', '섯동네해녀의집', '제주한치빵 우도점', '인어공주', '돈채', '우도이야기', '우도설빙면', '문어빵굽는문빵9', '아이스크림연구소(우도점)', '우도몬딱', '산호풍경', '띠띠빵빵', '봉봉커피', '복여네왕돈가스', '바람개비', '우도에서썸타', '연이네', '우도씨', '헬로우우도', '엉클망고', '대니스카페', '카페튼튼목공소', '산호반점']","['우도피아', '소섬바당', '우도사랑', '우도쉼팡게스트하우스', '뽀요요펜션', '해오름민박', '하얀산호민박', '리치망고펜션', '우도올레펜션', '로뎀펜션', '초원게스트하우스', '백악관민박', '전원민박', '썬비치민박', '지현민박', '동굴민박', '연지민박', '해안길펜션', '땅콩펜션', '노닐다 게스트하우스']","['우도아이', '하나로마트 구좌농협 우도점', '천진낭만']","우도 북쪽, 우도 본연의 분위기가 살아있는 흑돼지 수제 햄버거집","연중무휴, 계절별 마감시간이 상이함.","평일 : 11:00 ~ 18:00 , 주말 : 11:00 ~ 18:00",,,,,,,"공용주차장,현금결제,카드결제,화장실,흡연구역",,,,,,,,,,,,,,,,,,,,,,,,,,,카페
올래국수,음식점,제주특별자치도 제주시 귀아랑길 24 (연동),"['고기국수 ', '한식 ', '향토음식']",37,754,42,0,1,56902,75,"['용두암', '제주하늘을날다(패러글라이딩)', '한라수목원', '도두동 무지개 해안도로', '누웨마루거리(구 바오젠)', '아이스뮤지엄', '전농로 서사라문화거리', '보물섬하이킹', '플레이박스VR', '용담레포츠공원', '제주국제공항', '제주 카카오캠핑', '스쿠버스쿨', '민오름(오라동)', '제주향교', '제주스쿠터여행', '페인터즈:히어로 제주', '도두해안도로', '민오름(조천읍)', '손방둥이', '수목원테마공원(야시장길&LED공원)', '레이저서바이벌M']","['제주김만복(만복이네김밥집)', '오라숲소리', '명당양과', '앞뱅디식당', '천해천', '흑돈가', '바다풍경횟집', '늘봄흑돼지', '제주올레냉면 제주노형점', '스시호시카이', '삼무국수', '연동마라도횟집', '라붕제주 cafe', '메밀꽃차롱', '덤장', '서문수산', '제주 어가', '영주말가든', '넉둥베기 고사리육개장', '유리네', '황금어장(제주시)', '보스코화덕피자', '레드팬더', '장춘육당', '아라파파 a la papa', '현옥식당', '좀녀마을뚝배기', '동도원', '삼대국수회관 신제주점', '광원', '모메존', '성미식당', '초밥군커피씨', '다가미(도남)', '만원의행복', '흑돼지킹생구이전문점', '카페 도두', '수복강녕', '이게밥도둑', '섬채', '제라한보쌈', '메콩스카이', '하르방밀면(운동장점)', '망고홀릭 제주본점', '대관원']","['메종글래드 제주', '제주bp게스트하우스 JEJU BP GUESTHOUSE', '신라스테이 제주', '베스트웨스턴제주호텔', '롯데시티호텔제주', '하워드존슨 제주 연동 호텔', '베니키아 아이진호텔', '호텔레오', '밸류호텔 월드와이드 제주', '예하게스트하우스', '호스텔린든(Hostel lyndon)', '펄리플러스', '슴게스트하우스 제주공항점', '아트모텔', '제주메이플호텔', '호텔 스카이파크 제주1호점', '게스트하우스7', '갤럭시호텔 제주', '아스타호텔', '가이아호텔', '다이아몬드 호텔', '도일모텔', '제주알호텔(R호텔)']","['제주시민속오일장(제주오일장)', '뷰티풀제주', '서문공설시장', '선물고팡', '삼다닷컴', '용연낚시', '자연이야기', '인한복', '야호농수산']",제주 향토 음식인 고기국수 전문점이다. 2016 KOREAT JEJU TOP 10 선정,설추석과 매주 일요일 휴무,"평일 : 08:30 ~ 19:00 , 주말 : 08:30 ~ 19:00",,,,,,,"현금결제,카드결제,화장실,편의점,음료대,유도 및 안내시설,경보 및 피난시설",,,아주 어려움,,,,,,,,,,,,,,,,,,,,,,,,향토음식
