,타입,장소,위치,해시태그,좋아요,찜하기,리뷰,일정 등록,방문했어요,조회,SNS 공유,관광지,음식점,숙박,쇼핑,소개,상세 정보,이용 시간,요금 정보,장소 특성,주요목적,주요목적 기타,평균 소요 시간,경사도(난이도),편의시설,기타 상세
1070,관광지,해비치컨트리클럽제주,제주특별자치도 서귀포시 남원읍 원님로 399번길 319,"['골프 ', '액티비티 ', '맑음']",0,0,0,0,0,1792,0,"['사려니오름', '제주오렌지', '스프링데일CC', '옷귀마테마타운', '제주토종흑염소목장', '제스피 맥주협동조합 양조장']",[''],['돌담한길펜션'],[''],사계절 내내 라운딩이 가능한 제주의 미학이 담긴 골프 코스,"08:00~16:00(04/01~10/31) 예약 신청, 취소, 변경은 유선 전화로만 가능합니다.","평일 : 08:00 ~ 18:00 , 주말 : 08:00 ~ 18:00",,,,,,,"공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,편의점,음료대,유도 및 안내시설,경보 및 피난시설",
861,관광지,어영공원,제주특별자치도 제주시 서해안로 452 (맞은편 공원),"['겯기/등산 ', '경관/포토 ', '휴식/힐링', '테마공원 ', '아이']",0,4,0,0,0,2066,0,"['용두암', '제주하늘을날다(패러글라이딩)', '용연', '도두봉', '도두동 무지개 해안도로', '제주올레 17코스', '용담/용두암 해안도로', '보물섬하이킹', '용담레포츠공원', '제주국제공항', '용두암해안도로카페거리', '제주 카카오캠핑', '스쿠버스쿨', '용연카누클럽', '제주향교', '도두항', '도두해안도로', '제주국제공항(정뜨르비행장)', '용담 1동 벽화거리', '추억애거리', '다끄네포구(용담포구)', '오래물', '제주불교성지 순례길 절로 가는길 - 지계의 길']","['순옥이네 명가', '김희선몸국', '도두해녀의집', '삼다도횟집', '바다풍경횟집', '닐모리동동', '라붕제주 cafe', '덤장', '서문수산', '넉둥베기 고사리육개장', '탑동산호전복', '모메존', '태광식당', '초밥군커피씨', '흑돼지킹생구이전문점', '카페 도두', '이게밥도둑', '토끼와거북이', '먹쿠슬낭여행자카페', '노을언덕', '마두천손칼국수', '도두반점', '마린보이횟집', '새콤달콤', '백양닭집', '부르네비어가든', '순정문어', '바다잔치', '섬마을청년회관', '빠라빠빵', '어머니와고등어', '돈대장', '더화원', '어피니티', '명물', '월척수산', '가야아구찜']","['라마다프라자제주호텔', '롯데시티호텔제주', '펄리플러스', '제주오리엔탈호텔', '아모렉스리조트', '빌림', '게스트하우스7', '갤럭시호텔 제주', '비아 제주', '제주펜션오다', '부르네스테이', '아림민박', '썬비치리조트', '씨엘블루호텔', '스토리하우스펜션', '용두암빌리지', '달빛바다', '제주마리나관광호텔', '파크사이드호텔', 'JK라마다앙코르 제주연동호텔', '바다추억', '하와이펜션', '사랑터울', '미라클게스트하우스', '바다드림', '골든비치', '쁘띠제주빅터펜션', '삼해인관광호텔', '꿈꾸는바다', '해뜨는집 (도두)', '제주공항 고추잠자리 게스트하우스', '실크로드펜션']","['제주시민속오일장(제주오일장)', '뷰티풀제주', '서문공설시장', '선물고팡', '용연낚시', '야호농수산', '바이제주']",용담이호해안도로에 조성된 공원이자 쉼터,,,,,,,,,"공용주차장,화장실",
702,관광지,로로 요가,제주특별자치도 제주시 조천읍 조함해안로 519-10,"['친구 ', '혼자 ', '맑음', '휴식/힐링 ', '요가 ', '패들요가']",1,10,0,0,0,2756,4,"['함덕해수욕장', '너븐숭이 4.3기념관', '북촌돌하르방미술관', '조천함덕해안도로', '함덕카페거리', '제주카약', '연북정', '제주항일기념관', '조천만세동산', '함덕백사장 & 서우봉', '함덕야영장', '조함해안도로', '다려도', '북촌포구', '조천비석거리', '팀케이', '단산과 방사탑', '북촌국민학교', '정주항', '북촌환해장성', '함덕잠수함(이고제주)', '조천중학원 옛터', '북촌리 4.3길', '제주잠수함(국제리더스클럽)', '김택화미술관']","['델문도', '북촌에가면', '잠녀해녀촌', '땅꼬분식 뷔페', '다래향', '달잠키친', '숨어있는집', '귤꽃', '함덕밀면', '깡촌흑돼지', '오드랑베이커리', '망고레이 함덕점', '햇살가득돌담집', '피시야 카페', '바다어사또', '알라스카인제주', '정순화손두부', '방모루', '어멍', '준반점', '어머니몸국', '아따블르', '바캉스샤브샤브', '서우봉가든', '저팔계깡통연탄구이', '함덕카페h', '대성아귀찜', '블랙포엠', '창흥식당', '함덕찜', '달사막', '호끌락다락', '하누가물애', '커피디셈버 함덕점', '보노리미니', '카페3535.1', '달그락식탁']","['대명리조트 제주', '야호비치하우스', '라마다 제주 함덕 호텔', '선샤인호텔', '우리희망이 게스트하우스', '북촌플레이스', '제주코기네', '함덕삼다펜션', '유탑유블레스호텔', '로즈비치', '아프리카게스트하우스', '꿈꾸는정원', '조천스테이', '오션그랜드호텔 (함덕)', '게으르게', '제주필하우스', '마빈', '신흥소시민', '아침해변', '로지게스트하우스']","['함덕오일시장', '다시방프로젝트', '만춘서점']",제주의 푸른 바다 위에서 즐기는 패들보드 요가를 만나보자. 누구나 한 번쯤은 찰랑거리는 맑은 물결 사이로 흔들림 없이 요가 동작을 선보이는 패들보드 요가를 본 적이 있을 것이다.,비용: 8만 원 (2시간 패들보드+요가),,"유료,2시간 패들보드 + 요가 -8만원",실외,체험,"패들보드, 요가",1~2시간,,,
762,관광지,뽀로로&타요 테마파크 제주,제주특별자치도 서귀포시 안덕면 병악로 269,"['아이 ', '맑음 ', '비.눈', '흐림 ', '테마공원']",0,15,0,0,0,2096,1,"['카멜리아힐', '아라고나이트 온천(디아넥스호텔)', '방주교회', '본태박물관', '헬로키티아일랜드', '귤밭76번지', '세계자동차 & 피아노박물관', '제주유리박물관', '서커스월드공연장', '피규어뮤지엄 제주', '골프탕탕', '포도갤러리 in 포도호텔', '핀크스 골프클럽', '무등이왓터', '소병악 (족은오름)', '큰넓궤', '임문숙 가족 헛묘']","['아뜰리에 제주명월', '숨비나리카페', '포도호텔레스토랑', '숨비나리']","['포도호텔', '디아넥스 호텔', '루체빌리조트', '테디밸리호텔']",[''],아이들에게 인기만점인 캐릭터 뽀로로와 타요를 만날 수 있는 테마파크 다양한 어트랙션이 실내와 실외에 골고루 있어 비가 와도 문제없이 즐길 수 있다.,,"평일 : 10:00 ~ 18:00 , 주말 : 10:00 ~ 18:00","유료,자유이용권 종일 어른30,000원 아이40,000원 / 자유이용권 After 3 어른25,000원, 아이 35,000원 등",실내+실외,유아시설,,,,,
429,관광지,올레여행자센터,제주특별자치도 서귀포시 중정로 22,"['커플 ', '혼자 ', '친구', '올레']",2,1,2,0,0,5712,6,"['천지연폭포', '정방폭포', '황우지해안', '외돌개', '이중섭거리', '새연교', '서귀포잠수함(대국해저관광)', '서귀포유람선', '제주올레 7코스', '서귀포칠십리시공원', '이중섭미술관', '서귀포예술의전당', '걸매생태공원', '새섬', '소정방폭포', '자구리공원', '문섬(서귀포해양도립공원)', '서복전시관', '세계조가비박물관', '이중섭거주지', '서귀포항', '황우지해안 열두굴', '서귀포시립기당미술관', '석부작박물관', '간세공방', '왈종미술관', '걸매예술마을', '서귀포층패류화석산지', '돔베낭길', '삼매봉', '돔베낭골', '소암현중화기념관', '서귀포 펍크롤', '거믄여해안경승지', '소라의성', '소남머리', '보롬이(하논, 화구구)', '천주교 순례길 - 하논성당길', '정모시쉼터', '천지연기정길', '문화빳데리 충전소', '백년초농장박물관']","['서귀포네거리식당', '덕성원', '기억나는집', '쌍둥이횟집본점', '전원일기', '안거리밖거리', '뽈살집', '비포크비스트로', '제주흑돈세상수라간', '88버거', '오는정김밥', '올레수산회센터', '맛있는집', '제주올레횟집', '천지연해물전복뚝배기', '서귀포바당물회', '한라네 김밥', '소녀방앗간', '모루쿠다', '제리스펍', '유동커피', '제주명가두루치기', '이어도전복해물전문점', '나원횟집', '아싸횟집', '흑한우명품관', '자리돔횟집', '황금어장', '서귀포흑돈', '소반', '파시랑', '아이스크림연구소(올레시장점)', '고향생각']","['서귀포KAL호텔', '나날 게스트하우스', '범섬풍경', '파크 선샤인 제주', '백패커스홈', '서귀포푸른바다', '미도호스텔', '올레스테이', '화인호텔', '데이즈호텔 제주서귀포오션', '엠스테이호텔', '제주하이킹 INN(구덕게스트하우스)', '제주 오션팰리스 호텔', '바다해호텔', '제주나인 부띠끄', '라벤다호텔', '아인스호텔', '바닷가하얀집', '굿데이 펜션', 'BK호텔제주']","['서귀포매일올레시장', '서귀포향토오일시장', '곱은과일', '바다보석']",제주 여행자들의 베이스캠프,,"평일 : 08:00 ~ 22:00 , 주말 : 08:00 ~ 22:00",,,,,,,"공용주차장,현금결제,카드결제,화장실,무료 WIFI",
534,관광지,우도스쿠터여행,제주특별자치도 제주시 우도면 2395-5,"['액티비티 ', '친구 ', '커플', '맑음 ', '가을']",0,36,1,0,1,5780,1,"['우도(해양도립공원)', '우도산호해변 홍조단괴 서빈백사', '검멀레해변', '우도 비양도', '제주올레 1-1코스', '하고수동해변', '우도등대', '섬속의섬우도렌트', '전망대(종달리)', '검멀레동굴', '우도박물관', '노을승마장', '톨칸이', '우도올레보트', '답다니탑망대', '우도보물섬레져', '우도 봉수대', '우도봉 ATV', '산호레저', '우도봉 풍경', '등머을레져', '우도 득성이코지', '비양도 연평리 야영지']","['하하호호(HAHAHOHO)', '섬소나이', '블랑로쉐', '우도 풍원', '봉끄랑', '우도해녀식당', '망고레이', '로뎀가든', '회양과 국수군', '우도동식이', '지미스', '안녕육지사람', '우도해광식당', '우도왕자이야기', '물꼬해녀의집', '우도자연', '우도아름다운소풍', '물회영해초영', '모실래기해녀해물촌', '우도다방 돼지네땅콩손만두', '파도소리해녀촌', '키다리아저씨', '리치망고우도점', '우도향', '우도면파전리', '해적카페', '오로라식당', '하얀산호식당', '산호사 해녀의집', '해와달그리고섬', '우무깨식당', '바당꺼몬딱', '섯동네해녀의집', '제주한치빵 우도점', '인어공주', '돈채', '우도이야기', '우도설빙면', '문어빵굽는문빵9', '아이스크림연구소(우도점)', '우도몬딱', '산호풍경', '띠띠빵빵', '봉봉커피', '복여네왕돈가스', '바람개비', '우도에서썸타', '연이네', '우도씨', '헬로우우도', '엉클망고', '대니스카페', '카페튼튼목공소']","['우도피아', '소섬바당', '우도사랑', '우도쉼팡게스트하우스', '뽀요요펜션', '해오름민박', '하얀산호민박', '리치망고펜션', '우도올레펜션', '로뎀펜션', '초원게스트하우스', '백악관민박', '전원민박', '썬비치민박', '지현민박', '동굴민박', '연지민박', '해안길펜션', '땅콩펜션', '노닐다 게스트하우스']","['우도아이', '하나로마트 구좌농협 우도점', '천진낭만']","스쿠터, 자전거 대여점",,"평일 : 08:00 ~ 19:00 , 주말 : 08:00 ~ 19:00",,,,,,,,
551,관광지,제주스쿠터여행,제주시 서광로 164,"['액티비티 ', '친구 ', '커플', '맑음']",1,18,1,0,0,4211,2,"['용두암', '제주하늘을날다(패러글라이딩)', '용연', '관덕정', '제주목관아', '누웨마루거리(구 바오젠)', '탑동', '민속자연사박물관', '삼성혈', '두맹이골목', '전농로 서사라문화거리', '용담/용두암 해안도로', '제주문예회관', '제주월드21', '보물섬하이킹', '용담레포츠공원', '제주 패러글라이딩 스쿨', '김만덕객주', '제주국제공항', '산지천', '용두암해안도로카페거리', '제주 카카오캠핑', '탑동해변공연장', '용연카누클럽', '김만덕기념관', '오현단', '민오름(오라동)', '제주성지', '아라리오뮤지엄탑동시네마', '아라리오뮤지엄동문모텔1', '제주향교', '제주교육박물관', '비블리아성서식물원', '아홉굿마을 낙천리 농어촌체험마을', '돛오름']","['제주김만복(만복이네김밥집)', '올래국수', '미친부엌', '고집돌우럭(제주공항점)', '우진해장국', '김희선몸국', '오라숲소리', '앞뱅디식당', '만선식당', '삼다도횟집', '바다풍경횟집', '쉬림프박스', '산지물식당(건입동본점)', '명품진전복해물탕', '신설오름', '살롱드라방 SALON de LAVANT', '스시호시카이', '국수마당', '삼무국수', '연동마라도횟집', '일통이반', '메밀꽃차롱', '덤장', '서문수산', '영주말가든', '넉둥베기 고사리육개장', '유리네', '골막식당', '은희네해장국 (일도점)', '황금어장(제주시)', '레드팬더', '하노이안브라더스', '탑동산호전복', '화로향', '장춘육당', '현옥식당', '좀녀마을뚝배기', '바다위에코끼리', '동도원']","['메종글래드 제주', '라마다프라자제주호텔', '제주bp게스트하우스 JEJU BP GUESTHOUSE', '신라스테이 제주', '오션스위츠호텔 제주', '롯데시티호텔제주', '호텔 리젠트마린', '하워드존슨 제주 연동 호텔', '베니키아 아이진호텔', '호텔레오', '밸류호텔 월드와이드 제주', '제주KAL호텔']","['제주동문시장(동문재래시장)', '제주동문수산시장', '제주중앙지하상가', '제주칠성로상가', '더아일랜더', '뷰티풀제주', '서문공설시장', '보성시장', '다나한한복 앤 러블리베베', '바당의물질', '선물고팡', '삼다닷컴', '용연낚시']","공항,부두,제주도내 어디서든 쉽게 방문 할 수 있는 2007년에 개점한 전통있는 스쿠터 대여점",동절기 09:00~18:00,"평일 : 08:00 ~ 19:00 , 주말 : 08:00 ~ 19:00",,,,,,,공용주차장,
1052,관광지,하늘여행 행글라이더체험장,제주특별자치도 서귀포시 안덕면 중산간서로 1877,"['커플 ', '친구 ', '아이', '액티비티']",0,37,0,0,0,9442,17,"['소인국테마파크', '제주항공우주박물관', '신화테마파크', '노리매공원', '이상한 나라의 앨리스', '바이나흐튼 크리스마스 박물관', '점보빌리지', '화순곶자왈생태탐방숲길', '신화워터파크', '번개레이싱', '서광리 곶자왈생태탐방로', '액트(AC.lll.T) 볼링장', '제주신화전설탐방로', '거린오름 (북오름)', '북오름', '그대, 나의 뮤즈 : 클림트 to 마티스', '삼밭구석 & 동광리4·3희생자위령비']","['濟州膳제주선', '르쉬느아 (Le Chinois)', '스카이 온 파이브 다이닝', '서광춘희', '빨간모자마법사', '랜딩 다이닝(Landing dining)', '허파곶자왈화덕피자', '수구레국밥', '꼬꼬닭한마리', '아시안 푸드 스트리트', '제주그림카페', '재복헌훠궈', '엠 라운지 M Lounge', '봉you', '디 아일렛 라운지', '랜딩 라운지', '더 코브', '박장군', '카페 베트로(CAFÉ VETRO)', '성화정', '번개피자', '바온탑', '신화테라스', '제주선 더블랙']","['랜딩관 제주신화월드 호텔앤리조트', '코즈게스트하우스', '메리어트관 제주신화월드 호텔앤리조트', '서머셋 제주신화월드 호텔앤리조트', '제주항공우주호텔', '라이온힐펜션', '동막골게스트하우스', '신화관 제주신화월드 호텔 앤 리조트', '제주신신휴양펜션', '제주머무리']",['사회복지법인 평화의마을'],제주하늘 위로 날아보기,하절기 19:00 까지 운영,"평일 : 09:00 ~ 18:00 , 주말 : 09:00 ~ 18:00",,,,,,,공용주차장,
270,관광지,안돌오름,제주특별자치도 제주시 구좌읍 송당리 산 66-2,"['부모 ', '커플 ', '혼자', '친구 ', '아이 ', '맑음 ', '오름']",3,30,6,0,0,5668,5,"['아부오름', '송당승마장', '덕천리 팔자 좋아 길', '송당본향당', '귀빈사', '민오름(구좌읍)', '거슨새미오름', '송당리', '당오름', '스누피가든', '제주글램핑 (무한자미향)', '밧돌오름', '선족이오름(알선족이)', '뒤굽은이오름']","['풍림다방', '치저스', '천리식당', '제주담']","['제주가좋아서 펜션', '보리게스트하우스', '나무아래독채펜션', '헌치 게스트하우스']",[''],밧돌오름의 죽마고우,,,,,,,,,,
351,관광지,답다니탑망대,제주특별자치도 제주시 우도면 연평리 798,"['등대 ', '경관/포토 ', '맑음']",3,18,3,0,0,3380,0,"['우도(해양도립공원)', '우도산호해변 홍조단괴 서빈백사', '우도 비양도', '제주올레 1-1코스', '하고수동해변', '우도등대', '섬속의섬우도렌트', '우도스쿠터여행', '우도박물관', '노을승마장', '우도올레보트', '우도보물섬레져', '우도 봉수대', '우도봉 풍경', '우도 득성이코지', '비양도 연평리 야영지', '우도징기스칸승마체험']","['하하호호(HAHAHOHO)', '섬소나이', '블랑로쉐', '우도 풍원', '우도해녀식당', '망고레이', '로뎀가든', '회양과 국수군', '우도동식이', '안녕육지사람', '우도해광식당', '우도왕자이야기', '물꼬해녀의집', '우도자연', '우도아름다운소풍', '모실래기해녀해물촌', '파도소리해녀촌', '우도향', '우도면파전리', '해적카페', '오로라식당', '산호사 해녀의집', '해와달그리고섬', '우무깨식당', '섯동네해녀의집', '제주한치빵 우도점', '인어공주', '우도이야기', '우도설빙면', '문어빵굽는문빵9', '우도몬딱', '산호풍경', '띠띠빵빵', '봉봉커피', '복여네왕돈가스', '바람개비', '우도에서썸타', '연이네', '우도씨', '헬로우우도', '엉클망고', '카페튼튼목공소', '산호반점', '바위소리', '피노키오']","['우도피아', '소섬바당', '우도사랑', '우도쉼팡게스트하우스', '해오름민박', '리치망고펜션', '우도올레펜션', '로뎀펜션', '초원게스트하우스', '백악관민박', '전원민박', '썬비치민박', '지현민박', '동굴민박', '연지민박', '해안길펜션', '땅콩펜션']","['우도아이', '하나로마트 구좌농협 우도점', '천진낭만']",거대한 바위로 쌓은 돌탑,,,,,,,,,공용주차장,
