,장소,부모님,아이,친구,커플,친척,가족,지인,연인,혼자,둘,셋,넷,경관,인생샷,휴식,공원,유적지,미술,박물관,익스트림,스포츠,체험,드라이브,쇼핑,전시,자연,산책
0,우도,0.2812782,0.27845472,0.28314424,0.23331031,0.1457686,0.25394744,0.25692356,0.28702578,0.25017738,0.28503495,0.18298963,0.16533382,0.22361195,0.29945827,0.2748636,0.1877656,0.1421962,0.029967012,0.19638364,0.31148726,0.18114865,0.22907406,0.29632404,0.1697074,0.081207305,0.26408595,0.3234815
1,성산일출봉,0.28498322,0.27903774,0.24958502,0.23031633,0.11717362,0.2688255,0.23604676,0.2940785,0.28826195,0.2609487,0.21610054,0.21582785,0.3675158,0.41033342,0.27550736,0.25848565,0.18355241,0.16205561,0.17984726,0.254996,0.14157131,0.22753903,0.30802017,0.19696054,0.15852791,0.35023537,0.3842252
2,사려,0.22291708,0.25009418,0.28276366,0.20497932,0.23267886,0.26010907,0.27629673,0.21436879,0.2952388,0.23349163,0.21702626,0.21539517,0.15086669,0.26860034,0.2279233,0.25113577,0.15928224,0.15013489,0.22062753,0.20690769,0.15778583,0.2194244,0.36700267,0.31314558,0.21258646,0.24285609,0.3381778
3,카멜리아,0.28348184,0.2762338,0.25079706,0.20740534,0.13642552,0.30612534,0.29610655,0.23344326,0.2232363,0.22709522,0.14328675,0.15490937,0.22668031,0.32962498,0.25503838,0.27079105,0.19917783,0.106884584,0.31348008,0.29604986,0.16432019,0.23476294,0.2676645,0.26351815,0.20084137,0.32325232,0.30551386
4,협재해수욕장,0.21797983,0.2999807,0.28700942,0.24773261,0.18534549,0.32104552,0.27814794,0.26224923,0.21742538,0.21954045,0.17186652,0.12872654,0.22250748,0.301022,0.22266656,0.27849668,0.25992566,0.09425047,0.23634097,0.22260946,0.14154226,0.21889567,0.37203187,0.18455619,0.15913942,0.24654299,0.3192101
5,월정,0.14997952,0.20022407,0.2188545,0.17895056,0.1063565,0.16182393,0.13716549,0.17597888,0.19036078,0.21579452,0.14409953,0.19537154,0.20687321,0.22934194,0.13246007,0.20335785,0.18274748,0.12261851,0.19123152,0.22347207,0.11826952,0.20929454,0.2652966,0.17792839,0.16151911,0.1899647,0.27482694
6,함덕,0.22725958,0.27365085,0.32480434,0.21789962,0.2269336,0.2798894,0.28597987,0.26109004,0.30785158,0.21523985,0.17979583,0.15356274,0.21355015,0.22509623,0.21229342,0.23721007,0.1661246,0.08733201,0.17732733,0.18081589,0.14277603,0.21729475,0.3111714,0.16001733,0.12111312,0.19654015,0.3046934
7,산굼부리,0.23523393,0.2277278,0.21347174,0.22102495,0.14894766,0.19308345,0.26988927,0.22274141,0.25548172,0.24853683,0.112696484,0.12983209,0.27508503,0.30053303,0.13490139,0.3468672,0.29239428,0.13874626,0.28358385,0.17401604,0.08432474,0.18418054,0.2663933,0.16087747,0.14649054,0.29654294,0.2972136
8,새별오름,0.17487383,0.20952758,0.21297643,0.16460466,0.137598,0.21166098,0.20409146,0.20422935,0.28883043,0.19368544,0.18997589,0.11503098,0.20062745,0.29393107,0.18002695,0.21661356,0.34882256,0.09305075,0.19846025,0.17745726,0.08928934,0.14879581,0.30255967,0.1884507,0.109126195,0.20106031,0.32842916
9,섭지코지,0.18000767,0.24468046,0.29153228,0.20764555,0.18498826,0.2532035,0.26907867,0.28709936,0.25249362,0.21083409,0.18489382,0.16434765,0.28226003,0.31900373,0.24242285,0.19518182,0.23329507,0.17301816,0.22813712,0.25174683,0.19813198,0.21125495,0.3374826,0.2540556,0.1691035,0.30836663,0.31362724
