,name,소개,상세 정보,이용 시간,요금 정보,장소 특성,주요목적,주요목적 기타,평균 소요 시간,경사도(난이도),편의시설,기타 상세,장애인 시설정보,장애인 활동 보조 필요성,부대시설,숙박 업종,대표 메뉴 상세,금연여부,등급,룸개수,셔틀버스 운행 여부,애완동물동반허용여부,조식제공 여부,예약 가능 여부,노키즈존,대표 메뉴,방 보유,유아 서비스,유아 서비스 상세,부대시설 기타,Late체크인여부,공항교통편,장애인전용객실여부,유아 서비스 기타,취급품목,취급품목 기타,택배배송여부
0,우도(해양도립공원),소가 누워있는 형상을 하고 있는 제주의 가장 큰 부속섬,"우도 외부차량(렌터카, 전세버스) 반입 제한(2022년 7월 31일까지). 단, 1~3급 장애인과 만 65세 이상 노약자, 임산부, 만 6세 미만의 영유아를 동반하는 경우와 우도에 숙박하는 관광객이 탄 렌터카는 반입 가능","평일 : 00:00 ~ 00:00 , 주말 : 00:00 ~ 00:00","유료,일반 입장료 : 1.000원 / 장애인 무료 (선박료 별도)",실내+실외,"체험,포토스팟,기타,등산,물놀이",우도 관광,1~2시간,상,"공용주차장,화장실,편의점,음료대",UNESCO 세계지질공원,,,,,,,,,,,,,,,,,,,,,,,,,
1,성산일출봉(UNESCO 세계자연유산),"바다위에 우뚝 솟아난 수성화산·유네스코 세계자연유산, 천연기념물 제420호, 올레1코스","10월~2월: 07:30~19:00 (매표 마감 17:50) / 3월~9월: 07:00~20:00 (매표 마감 19:00), 매월 첫번째 월요일 휴관(단, 등하산교차로, 우뭇개 전망대, 우뭇개 해안은 무료개방)",,"유료,개인 (성인 5,000원 / 청소년, 군인 2,500원 / 어린이 2,500원), 단체 (성인 4,000원 / 청소년, 군인 2,000원 / 어린이 2,000원)",실외,등산,산책로. 올레코스. 오름,1시간 미만,상,"공용주차장,현금결제,카드결제,화장실,무료 WIFI,편의점,음료대,유도 및 안내시설,경보 및 피난시설,임산부 휴게시설","UNESCO 세계자연유산,UNESCO 세계지질공원",,,,,,,,,,,,,,,,,,,,,,,,,
2,사려니숲길,"제주 숨은 비경 31, 삼나무 향기에 취하며 걷는 아름답고 청정한 숲길",09:00~17:00 (17:00 까지 퇴장) / 우천 및 폭설 시 통행 제한 있을 수 있으므로 방문 전 유선 확인 필요,,,,,,,,화장실,,,,,,,,,,,,,,,,,,,,,,,,,,
3,카멜리아힐,"카멜리아힐은 동양에서 가장 큰 동백 수목원으로 토종 동백부터 아기 동백, 유럽 동백 등 80여 개국 500여 품종의 수많은 동백꽃을 만날 수 있다. 수목원 안에 아기자기한 포토 스폿이 많아 연인과 가족 단위 관광객에게 특히 인기가 높다. 동백꽃이 피는 계절이면 흐드러지게 피어난 동백꽃을 배경으로 멋진 인생 사진을 남기기 위해 찾아드는 발걸음이 끊이지 않는다.","동절기(12월~2월) 08:30~17:00 / 하절기(6월~8월) 08:30~18:00 / 간절기(3월~5월, 9월~11월) 08:30~17:30","평일 : 09:00 ~ 18:30 , 주말 : 09:00 ~ 18:30","유료,성인 8.000원 / 청소년 6.000원 / 어린이, 장애인 5.000원",실외,"공연/전시,포토스팟",,2~3시간,중,"공용주차장,현금결제,카드결제,화장실",우수관광사업체,,,,,,,,,,,,,,,,,,,,,,,,,
4,협재해수욕장,"비양도, 은모래, 바다가 그려낸 그림같이 아름다운 해변",협재 종합상황실: 064-728-3981(해수욕장 개장기간 동안 운영),,,,,,,,"공용주차장,화장실,편의점,음료대,유도 및 안내시설,경보 및 피난시설",,,,,,,,,,,,,,,,,,,,,,,,,,
5,월정리해변,'달이 머물다 가는’ 제주도의 아름다운 해변,,,,,,,,,"공용주차장,화장실,편의점,음료대,유도 및 안내시설",,,,,,,,,,,,,,,,,,,,,,,,,,
6,함덕해수욕장,에매랄드처럼 빛나는 '한국의 몰디브',함덕 종합상황실: 064-728-3989(해수욕장 개장기간 2018.06.23~09.02 동안 운영),,,,,,,,"공용주차장,화장실,편의점,음료대,유도 및 안내시설,경보 및 피난시설",,,,,,,,,,,,,,,,,,,,,,,,,,
7,산굼부리,"사계절마다 다른풍경의 '분화구 식물원', 국가지정 문화재 천연기념물 263호",3월-10월 개장 09:00 매표마감 18:00 / 11월-2월 개장 09:00 매표마감 : 17:00 / 관람시간: 40분 / 연중무휴,"평일 : 09:00 ~ 18:00 , 주말 : 09:00 ~ 18:00","유료,성인 : 6,000원, 청소년/어린이(만4세이상) : 4,000원, 경로/도민/국가유공자/장애인 : 4,000원",실외,등산,"산책로, 등산로",1~2시간,상,"공용주차장,현금결제,카드결제,화장실,편의점,음료대",우수관광사업체,,,,,,,,,,,,,,,,,,,,,,,,,
8,새별오름,제주 서부 애월에 위치해 있으며 억새가 아름다운 오름,연중무휴(산불예방 입산통제기간 없음),,,,,,,,"공용주차장,화장실,유도 및 안내시설",,,,,,,,,,,,,,,,,,,,,,,,,,
9,섭지코지,아름다운 해안이 일품인 섭지,연중무휴,"평일 : 00:00 ~ 00:00 , 주말 : 00:00 ~ 00:00","무료,입장료 무료 / 주차료 : 장애인 (500원)",실외,"등산,기타",산책로,1시간 미만,상,"공용주차장,현금결제,카드결제,화장실,편의점,음료대",,,,,,,,,,,,,,,,,,,,,,,,,,
