,장소,부모님,아이,친구,커플,친척,가족,지인,연인,혼자,둘,셋,넷
0,우도,0.25809976,0.2925707,0.24759655,0.23213497,0.11765814,0.23867434,0.22194135,0.27475116,0.27520412,0.27706322,0.15876457,0.17146632
1,성산일출봉,0.26786,0.28582808,0.24386592,0.23826429,0.14517128,0.23206063,0.2650441,0.283033,0.2899944,0.25659505,0.20317818,0.18828061
2,사려,0.20898512,0.24867016,0.26051664,0.15764557,0.22133698,0.24804518,0.22515434,0.19421855,0.28926215,0.25609824,0.2397229,0.20152733
3,카멜리아,0.28436208,0.28670382,0.26749384,0.2202684,0.12587763,0.29848012,0.2539156,0.20566994,0.24509856,0.2812511,0.19878855,0.15512362
4,협재해수욕장,0.253587,0.29896873,0.28841567,0.24322364,0.1944986,0.32328686,0.2856149,0.27384624,0.22554608,0.2728135,0.21253878,0.17525734
5,월정,0.14595677,0.20252195,0.1922633,0.19872954,0.11693304,0.14755613,0.15518558,0.14454642,0.16164267,0.21395387,0.130667,0.15997756
6,함덕,0.23187713,0.27199143,0.3142724,0.24319811,0.23737547,0.2893567,0.29708868,0.2427923,0.25308287,0.2176381,0.17044666,0.13760512
7,산굼부리,0.19509824,0.23353958,0.2424958,0.23199755,0.14738142,0.16561434,0.24445628,0.17610408,0.24244642,0.2900111,0.17358953,0.1492914
8,새별오름,0.22394232,0.22056097,0.2601682,0.17477375,0.12924473,0.25768936,0.2174322,0.25724554,0.28105837,0.21424086,0.16092691,0.1293115
9,섭지코지,0.22242224,0.2534859,0.2656506,0.20625366,0.17901608,0.2764758,0.2592545,0.30257106,0.22066596,0.25959235,0.18867877,0.16463882
10,오설록티뮤지엄,0.27620214,0.2997274,0.30953717,0.18598327,0.21010502,0.35504296,0.32213777,0.28139293,0.25388622,0.2862625,0.27530152,0.23868857
11,한라산,0.247195,0.21727039,0.28695115,0.18687096,0.15387139,0.2457223,0.28196308,0.18923026,0.22321904,0.22339964,0.27671546,0.16546947
12,평화,0.1567453,0.16206002,0.14989129,0.12012261,0.12579839,0.23424621,0.15018328,0.20797119,0.1471952,0.080931164,0.09894958,0.100349486
13,에코랜드,0.3463072,0.31790406,0.32073963,0.19193196,0.15632874,0.31857896,0.27032635,0.30566266,0.21242815,0.2687978,0.16266875,0.21427491
14,용눈이오름,0.24564482,0.19421762,0.2100049,0.17742616,0.09687553,0.21923864,0.19309689,0.19275182,0.19163266,0.20817265,0.15734284,0.12916349
15,비자림,0.22712354,0.21675938,0.2362493,0.16558051,0.17745453,0.22158389,0.23422855,0.21288198,0.23208867,0.25912988,0.1937801,0.15284164
16,천지연폭포,0.24015196,0.26776585,0.26119548,0.18453997,0.16287804,0.23431653,0.24349238,0.24120986,0.267854,0.23719124,0.18585993,0.1451183
17,세화,,,,,,,,,,,,
18,산호,0.08953065,0.19938585,0.23522016,0.1831019,0.018214677,0.14465645,0.22336665,0.17305976,0.1330114,0.15896668,0.10551536,0.16685194
19,광치,0.26657215,0.29769385,0.20557076,0.1733311,0.04150021,0.29715788,0.26430655,0.23356053,0.21674053,0.17747739,0.14326231,0.22564726
20,김녕해수욕장,0.25852913,0.24472405,0.2563035,0.2979375,0.22997433,0.27830845,0.2942971,0.2825923,0.26211298,0.28028974,0.17649361,0.1636937
21,아쿠아플라넷,0.23451394,0.31948578,0.27038503,0.19073665,0.18807265,0.28330114,0.1999524,0.20652275,0.25761127,0.23035976,0.17323722,0.26862323
22,송악산,0.2264559,0.2441293,0.18889914,0.21429712,0.13917524,0.24109599,0.24190918,0.2460736,0.25917998,0.23020351,0.18715328,0.12392493
23,쇠소깍,0.19295102,0.2649336,0.21730074,0.21651351,0.17409301,0.26644105,0.24053547,0.24927326,0.21925595,0.23348865,0.17090249,0.18207887
24,금능,0.25463447,0.29053372,0.32947496,0.26822284,0.23247448,0.2834681,0.26485148,0.23783356,0.20855245,0.2921433,0.19322166,0.20509088
25,마라도,0.2787521,0.2649449,0.22579688,0.19118372,0.20738491,0.27914858,0.24816036,0.22178692,0.25554264,0.2351095,0.13884646,0.13766028
26,애월,0.25289428,0.26850832,0.30902678,0.2568124,0.24252954,0.24312939,0.22352225,0.21146564,0.31764725,0.21027924,0.24399877,0.17234215
27,곽지,0.30928144,0.33955023,0.34532678,0.30008003,0.2960037,0.3106406,0.3368768,0.3269559,0.3475266,0.38426453,0.35356677,0.23415788
28,용머리,0.264058,0.27393007,0.2139186,0.19061929,0.16518971,0.21204674,0.21686393,0.24599478,0.21069619,0.2113293,0.17085731,0.15144654
29,한라,0.19784144,0.19248159,0.18975681,0.090055585,0.09175506,0.16938868,0.1933397,0.14958347,0.17977966,0.1610931,0.20000814,0.11916359
30,정방폭포,0.21551542,0.23418868,0.21754879,0.18163033,0.19575587,0.24720785,0.2521486,0.22020689,0.22927666,0.2539168,0.17363402,0.16266277
31,용두암,0.25958318,0.24104361,0.26005712,0.2047306,0.17059013,0.2611336,0.2490583,0.2537739,0.19222271,0.24234498,0.17083001,0.13562432
32,절물,0.2799753,0.26537472,0.23418163,0.19188154,0.17820448,0.3026433,0.23764399,0.24057108,0.25935546,0.23579039,0.22861181,0.14872548
33,산방산,0.24385661,0.25805065,0.21368861,0.2628234,0.18043119,0.24327403,0.24875173,0.23427774,0.25042737,0.25026053,0.1516715,0.1212147
34,다랑쉬오름,0.22649705,0.18033841,0.18690616,0.20576447,0.16763681,0.20545982,0.16243929,0.25921527,0.24599269,0.22625382,0.18960443,0.12710851
35,한림,0.21440057,0.2018845,0.22694048,0.16083767,0.1232196,0.16828974,0.21488507,0.12794103,0.14681178,0.20179904,0.15549101,0.07674497
36,더럭,0.30784452,0.36046576,0.28303134,0.27139604,0.20889248,0.24185558,0.19402114,0.27584517,0.25610644,0.29371434,0.23481652,0.2004877
37,외돌,0.24181789,0.23164171,0.22169313,0.24377805,0.15604085,0.28116766,0.24964802,0.29892647,0.23006004,0.22187674,0.18708724,0.1585421
38,천제연폭포,0.25959855,0.28594446,0.2848052,0.19174877,0.18260315,0.210787,0.25623205,0.22797638,0.17868853,0.19075,0.20714334,0.13666105
39,방주,0.24464986,0.23763521,0.22978795,0.18077055,0.16422279,0.20662618,0.2631058,0.20417322,0.17976582,0.11696693,0.12362028,0.20071232
40,가파도,0.2419652,0.23834002,0.21229532,0.14034757,0.16379613,0.23656216,0.2477273,0.2123664,0.26783457,0.21874782,0.12468115,0.14064476
41,이호,0.20624577,0.282367,0.24504527,0.23330662,0.12610616,0.21953095,0.18004708,0.26181483,0.24409091,0.22829255,0.18962368,0.22939706
42,중문,0.25141206,0.30035,0.27265915,0.28495207,0.15960744,0.22784428,0.24415565,0.24721904,0.21019885,0.16479136,0.1672601,0.08422829
43,신창,0.3286775,0.35378155,0.39112988,0.30009606,0.27803504,0.35917023,0.42060953,0.3283847,0.31442952,0.3376848,0.34356648,0.3025956
44,김녕,0.22204952,0.2843368,0.28370318,0.23506835,0.19785146,0.26789284,0.2704252,0.22195812,0.22850591,0.24471614,0.14791903,0.14385559
45,비양도,0.21633478,0.2337925,0.2198268,0.23547232,0.1247562,0.20871145,0.21553227,0.18353763,0.2382006,0.2635587,0.14063954,0.07385863
46,성이시돌목장,0.26251662,0.2996008,0.27709067,0.21878487,0.2400675,0.26663852,0.28615665,0.25200552,0.27902675,0.22811966,0.25183535,0.26348835
47,애리,0.26991004,0.277896,0.2745017,0.14706975,0.13432807,0.24964292,0.21110581,0.23197716,0.21621221,0.24695134,0.18194729,0.1694771
48,주상절리,0.2598755,0.24698174,0.23858821,0.23191188,0.13335598,0.2525896,0.21349293,0.24178448,0.20569138,0.20655629,0.15095021,0.13863301
49,검멀,,,,,,,,,,,,
50,산책로,0.21701166,0.28111607,0.2637668,0.1847586,0.14433968,0.2906831,0.2586073,0.37694237,0.2876387,0.22973698,0.25910944,0.13539515
51,황우,0.21572316,0.25466418,0.2207006,0.24735335,0.1355752,0.25286928,0.23908678,0.25369802,0.25435728,0.20884682,0.21967971,0.14765714
52,만장굴,0.25145292,0.24656865,0.19695765,0.15418242,0.15037872,0.23320062,0.21621633,0.19283217,0.21292341,0.22759527,0.17808872,0.15257257
53,공원,0.17988634,0.2786442,0.23827136,0.1615715,0.085421786,0.24135825,0.20301515,0.28512532,0.21742982,0.12619627,0.10973428,0.14295517
54,백약,0.24284482,0.19301832,0.21605009,0.2073421,0.20502245,0.23590058,0.2142814,0.18938483,0.22905102,0.2164111,0.20156439,0.09949721
55,보롬왓,0.28762287,0.24773824,0.26980367,0.21328887,0.19028172,0.27419317,0.27538335,0.24682097,0.21898542,0.18875942,0.17049357,0.16357496
56,관덕정,0.15074909,0.18179432,0.15089116,0.12066808,0.09447309,0.19654182,0.20125549,0.12284206,0.18872261,0.16371796,0.13766927,0.1388572
57,메이즈랜드,0.30370128,0.34810787,0.22836788,0.2598347,0.09770563,0.3117569,0.20061892,0.28242487,0.21841729,0.26243752,0.19672349,0.19091235
58,새연교,0.24176851,0.24945188,0.26530266,0.25357023,0.120364696,0.24399246,0.23270062,0.35505986,0.2623979,0.26106715,0.20209453,0.14495096
59,표선,0.23104268,0.29662168,0.267776,0.25249577,0.21403214,0.2852739,0.36683297,0.22832257,0.23788662,0.1879836,0.1612468,0.1683752
60,김영갑,0.25144756,0.2234824,0.2718792,0.15467182,0.16898818,0.20849338,0.24510789,0.21318637,0.23914245,0.17054011,0.15712762,0.15927413
61,따라비오름,0.1964179,0.15580224,0.1636715,0.20111565,0.18009686,0.23164406,0.17783207,0.22289908,0.25867105,0.3107051,0.2546644,0.19346891
62,관광,0.24647039,0.20377825,0.18163666,0.225672,0.122599706,0.2984432,0.20379753,0.22326055,0.17938633,0.16867328,0.14873779,0.13498598
63,오름,0.25249785,0.25531417,0.25537345,0.22995919,0.17980579,0.24695718,0.24389881,0.23158738,0.27998677,0.2522158,0.19686733,0.1648911
64,수목원,0.26029953,0.27180088,0.2081089,0.11860046,0.09674406,0.24669671,0.2444328,0.20156643,0.17652033,0.1339567,0.16993257,0.15916574
65,해변,0.22705083,0.27449077,0.25108665,0.24372381,0.18764454,0.23631626,0.26589057,0.2867541,0.26383746,0.27798593,0.19950008,0.19527721
66,백록담,0.2072609,0.17801495,0.21293655,0.17935301,0.1538182,0.1998359,0.21441461,0.18281324,0.24964337,0.14701009,0.1687145,0.15266243
67,해수욕장,0.22910184,0.26717454,0.2462081,0.26948306,0.22057155,0.29457667,0.27886894,0.261622,0.23437802,0.27760294,0.22341713,0.18286917
68,선녀,0.30512416,0.24921127,0.21910772,0.20095009,0.17394143,0.23433603,0.16513583,0.28043637,0.16642526,0.18015319,0.22290447,0.15710032
69,제주,0.3443678,0.31716934,0.2932077,0.23242766,0.19678059,0.33901587,0.33037695,0.2830096,0.2847068,0.2667905,0.26203644,0.17455456
70,마방,0.26227373,0.3150828,0.24756633,0.19098684,0.22999328,0.24847224,0.21719036,0.21942043,0.29109287,0.25828665,0.21506536,0.18982437
71,아끈,,,,,,,,,,,,
72,아침,0.2837232,0.28380817,0.29407233,0.24851345,0.2056231,0.29429236,0.27926838,0.22502515,0.38162383,0.32415527,0.23407096,0.19360486
73,용담,0.20177859,0.20253411,0.18561038,0.22395852,0.0960924,0.2497787,0.18835926,0.23957402,0.16705129,0.18850212,0.15866187,0.110314384
74,해변,0.22705083,0.27449077,0.25108665,0.24372381,0.18764454,0.23631626,0.26589057,0.2867541,0.26383746,0.27798593,0.19950008,0.19527721
75,이중섭,0.23249805,0.18091711,0.17678672,0.17211592,0.12671915,0.22132665,0.18134087,0.26776606,0.15981093,0.18183488,0.16604303,0.13063496
76,차귀도,0.21391591,0.2360568,0.2218301,0.19215043,0.15084222,0.24074554,0.24216665,0.22034623,0.17519975,0.22161043,0.16472335,0.12799677
77,너븐숭,0.25030047,0.253993,0.24042776,0.17338836,0.25793862,0.2881155,0.28448704,0.26851076,0.26589888,0.2064045,0.21489653,0.14804159
