,name,main_category,sub_category
0,한라산국립공원,자연,산
1,송악산,자연,산
2,산방산,자연,산
3,백록담,자연,산
4,한라산어리목코스,자연,산
5,1100고지(휴게소),자연,산
6,1100고지습지,자연,산
7,영주산,자연,산
8,영실기암,자연,산
9,단산(바굼지오름),자연,산
10,돈대산,자연,산
11,봉글레산,자연,산
12,성산일출봉(UNESCO 세계자연유산),자연,오름
13,산굼부리,자연,오름
14,새별오름,자연,오름
15,용눈이오름,자연,오름
16,다랑쉬오름(월랑봉),자연,오름
17,백약이오름,자연,오름
18,따라비오름,자연,오름
19,윗세오름(웃세오름),자연,오름
20,아끈다랑쉬,자연,오름
21,아부오름,자연,오름
22,거문오름(UNESCO 세계자연유산),자연,오름
23,"군산(군산오름,코메오름)",자연,오름
24,서우봉,자연,오름
25,섯알오름,자연,오름
26,지미봉,자연,오름
27,어승생,자연,오름
28,성널오름 (성판악),자연,오름
29,도두봉,자연,오름
30,사라오름,자연,오름
31,"당산봉(당오름,차귀오름)",자연,오름
32,물영아리오름,자연,오름
33,수월봉,자연,오름
34,정물오름,자연,오름
35,금악오름(왕매),자연,오름
36,물찻오름,자연,오름
37,큰노꼬메오름,자연,오름
38,사라봉,자연,오름
39,안돌오름,자연,오름
40,민오름(구좌읍),자연,오름
41,별도봉,자연,오름
42,이승이오름(이승악),자연,오름
43,"저지오름(닥몰오름,새오름)",자연,오름
44,두산봉(말미오름),자연,오름
45,사려니오름,자연,오름
46,원당봉,자연,오름
47,제지기오름,자연,오름
48,큰사슴이오름,자연,오름
49,거슨새미오름,자연,오름
50,높은오름,자연,오름
51,동거문이오름,자연,오름
52,동검은이오름(거미오름),자연,오름
53,민오름(봉개동),자연,오름
54,북오름,자연,오름
55,붉은오름(표선면),자연,오름
56,당오름,자연,오름
57,당오름(한경면),자연,오름
58,"대수산봉(큰물뫼,물미오름)",자연,오름
59,둔지봉,자연,오름
60,모구리오름,자연,오름
61,모지오름,자연,오름
62,"미악산 (턥오름, 쌀오름, 솔오름)",자연,오름
63,민오름(조천읍),자연,오름
64,알진오름(안친오름),자연,오름
65,절물오름(큰대나),자연,오름
66,개오름,자연,오름
67,"고내봉(고내오름,고니오름,망오름)",자연,오름
68,돛오름,자연,오름
69,돝오름(돗오름),자연,오름
70,뒤굽은이오름,자연,오름
71,모슬봉 (모슬개오름),자연,오름
72,묘산봉 (괴살메),자연,오름
73,문석이오름,자연,오름
74,바늘오름,자연,오름
75,밧돌오름,자연,오름
76,베릿네오름,자연,오름
77,비치미오름,자연,오름
78,삼각봉,자연,오름
79,삼매봉,자연,오름
80,성불오름,자연,오름
81,오백나한,자연,오름
82,왕이메오름,자연,오름
83,원수악,자연,오름
84,유건에오름,자연,오름
85,"자배봉(자배오름,망오름)",자연,오름
86,좌보미오름,자연,오름
87,지그리오름 (큰지그리),자연,오름
88,"천아오름(틍낭오름,天娥岳)",자연,오름
89,큰바리메오름,자연,오름
90,통오름,자연,오름
91,"판포오름 (널개오름, 板浦岳)",자연,오름
92,가마오름,자연,오름
93,가메오름,자연,오름
94,가문이오름(감은이오름),자연,오름
95,가세오름,자연,오름
96,각시바우오름,자연,오름
97,개오리오름,자연,오름
98,거린오름 (북오름),자연,오름
99,거친오름,자연,오름
100,걸서악오름,자연,오름
101,고근산(고공산),자연,오름
102,궁대오름(궁대악),자연,오름
103,까끄래기오름,자연,오름
104,누운오름(한림읍),자연,오름
105,느지리오름(망오름),자연,오름
106,당오름(안덕면),자연,오름
107,"대왕산 (왕뫼, 왕메, 왕미)",자연,오름
108,도리미오름,자연,오름
109,독자봉,자연,오름
110,돔박이오름 (동박악),자연,오름
111,동알오름,자연,오름
112,마오름(한경),자연,오름
113,매오름,자연,오름
114,모라이,자연,오름
115,문도지오름 (문돗지),자연,오름
116,"물메 (물미, 수산봉)",자연,오름
117,민오름(오라동),자연,오름
118,발이오름,자연,오름
119,"보롬이(하논, 화구구)",자연,오름
120,부대악오름,자연,오름
121,붉은오름(성산읍),자연,오름
122,샘이오름,자연,오름
123,선족이오름(알선족이),자연,오름
124,세미오름(삼의양오름),자연,오름
125,세미오름(샘이오름),자연,오름
126,소병악 (족은오름),자연,오름
127,소수산봉(족은물뫼),자연,오름
128,손지오름,자연,오름
129,수악 (물오름),자연,오름
130,"안세미 (명도오름,明道岳)",자연,오름
131,"알밤(알바매기, 알밤오름)",자연,오름
132,알오름(성산읍),자연,오름
