,category,name,location,tag,like,pick,review,rating
0,쇼핑,서귀포매일올레시장,서귀포시내,"['쇼핑 ', '전통시장 ', '기념품']",27,617,113,5
1,쇼핑,제주동문시장(동문재래시장),제주시내,"['쇼핑 ', '전통시장 ', '기념품 ', '밤']",52,1021,78,4
2,쇼핑,제주관광공사 중문면세점 (내국인),중문,"['쇼핑 ', '면세점 ', '기념품']",17,165,32,5
3,쇼핑,벨롱장,구좌,"['쇼핑 ', '플리마켓 ', '기념품']",8,66,22,4
4,쇼핑,제주시민속오일장(제주오일장),제주시내,"['쇼핑 ', '전통시장 ', '오일장']",9,178,20,5
5,쇼핑,제주동문수산시장,제주시내,['전통시장'],2,150,14,5
6,쇼핑,서귀포매일올레시장,서귀포시내,"['쇼핑 ', '전통시장 ', '기념품']",27,617,113,5
7,쇼핑,제주동문시장(동문재래시장),제주시내,"['쇼핑 ', '전통시장 ', '기념품 ', '밤']",52,1021,78,4
8,쇼핑,제주관광공사 중문면세점 (내국인),중문,"['쇼핑 ', '면세점 ', '기념품']",17,165,32,5
9,쇼핑,벨롱장,구좌,"['쇼핑 ', '플리마켓 ', '기념품']",8,66,22,4
10,쇼핑,선물고팡,제주시내,"['쇼핑 ', '기념품 ', ' 특산품']",8,18,5,5
11,쇼핑,산호상점,구좌,"['쇼핑 ', '기념품 ', '']",0,28,4,4
12,쇼핑,샘스제주캔들,애월,['기념품'],3,105,6,4
13,쇼핑,소심한책방,구좌,"['쇼핑 ', '서점 ', '기념품']",1,41,6,5
14,쇼핑,여름문구사,구좌,['기념품'],0,55,6,5
15,쇼핑,서귀포향토오일시장,서귀포시내,"['쇼핑 ', '전통시장 ', '']",1,29,5,4
16,관광지,공방:하루_반,구좌,"['공방 ', ' 월정 ', ' 공예품']",1,1,1,5
17,쇼핑,그꽃,구좌,['꽃집'],0,2,1,5
18,쇼핑,B일상잡화점,성산,"['쇼핑 ', '기념품 ', '']",1,27,3,5
19,쇼핑,고성오일시장,성산,['전통시장'],0,12,2,4
