,category,name,location,tag,like,pick,review,rating
0,관광지,우도(해양도립공원),우도,"['섬속의섬 ', '경관/포토 ', '아이 ', '맑음']",136,1565,591,5
1,관광지,성산일출봉(UNESCO 세계자연유산),성산,"['일출 ', '오름 ', '경관/포토 ', '부모']",213,2705,586,5
2,관광지,사려니숲길,조천,"['숲길 ', '걷기/등산 ', '친구 ', '커플 ', '흐림 ', '봄']",160,2215,501,5
3,관광지,카멜리아힐,안덕,"['경관/포토 ', '커플 ', '아이 ', '맑음 ', '겨울 ', '우수관광사업체']",127,2294,472,5
4,관광지,협재해수욕장,한림,"['일몰 ', '해수욕장 ', '액티비티 ', '아이 ', '맑음 ', '여름']",122,1933,452,5
5,관광지,월정리해변,구좌,"['해변 ', '경관/포토 ', '커플 ', '여름']",83,1869,441,5
6,관광지,함덕해수욕장,조천,"['해수욕장 ', '액티비티 ', '아이 ', '맑음 ', '여름']",46,1074,431,5
7,관광지,산굼부리,조천,"['오름 ', '걷기/등산 ', '친구 ', '맑음 ', '가을 ', '우수관광사업체']",32,856,355,5
8,관광지,새별오름,애월,"['일몰 ', '밤 ', '오름 ', '걷기/등산 ', '아이 ', '봄']",38,739,345,5
9,관광지,섭지코지,성산,"['일출 ', '해변 ', '경관/포토 ', '커플 ', '맑음 ', '가을']",81,2004,337,5
10,관광지,오설록티뮤지엄,안덕,"['테마공원 ', '커플 ', '친구 ', '부모 ', '아이 ', '혼자 ', '맑음 ', '휴식/힐링 ', '녹차']",65,1754,309,5
11,관광지,한라산국립공원,제주시내,"['산 ', '걷기/등산 ', '경관/포토 ', '친구 ', '사계절']",84,783,305,5
12,관광지,제주4.3평화공원,제주시내,"['테마공원 ', '부모 ', '커플 ', '혼자 ', '친구 ', '아이 ', '맑음 ', '흐림 ', '미술/박물관 ', '실내']",43,177,269,5
13,관광지,에코랜드 테마파크,조천,"['테마공원 ', '아이 ', '맑음 ', '가을']",50,1275,243,5
14,관광지,용눈이오름,구좌,"['일출 ', '밤 ', '오름 ', '걷기/등산 ', '친구 ', '가을']",22,596,232,5
15,관광지,비자림,구좌,"['걷기/등산 ', '아이 ', '흐림 ', '여름']",60,1442,213,5
16,관광지,천지연폭포,서귀포시내,"['폭포 ', ' 밤 ', ' 경관/포토 ', ' 부모 ', ' 맑음 ', ' 여름']",67,1544,199,5
17,관광지,세화해변,구좌,"['해변 ', '휴식/힐링 ', '커플 ', '맑음 ', '여름']",28,865,183,5
18,관광지,우도산호해변 홍조단괴 서빈백사,우도,"['일몰 ', '해변 ', '경관/포토 ', '커플 ', '맑음 ', '여름']",9,266,183,5
19,관광지,광치기해변,성산,"['일출 ', '해변 ', '경관/포토 ', '흐림 ', '봄']",23,610,180,5
20,관광지,김녕해수욕장,구좌,"['해수욕장 ', '액티비티 ', '아이 ', '맑음 ', '여름']",17,602,179,5
21,관광지,아쿠아플라넷 제주,성산,"['실내 ', '테마공원 ', '아이 ', '비.눈 ', '사계절 ', '우수관광사업체']",26,1031,165,5
22,관광지,송악산,대정,"['일몰 ', '일출 ', '산 ', '해변 ', '걷기/등산 ', '친구 ', '커플 ', '맑음 ', '가을']",13,409,163,5
23,관광지,쇠소깍,서귀포시내,"['계곡 ', '휴식/힐링 ', '액티비티 ', '커플 ', '맑음 ', '여름']",50,1266,143,4
24,관광지,금능해수욕장,한림,"['일몰 ', '해수욕장 ', '액티비티 ', '아이 ', '맑음 ', '여름']",18,358,140,5
25,관광지,마라도(마라해양도립공원),대정,"['섬속의섬 ', '휴식/힐링 ', '부모 ', '아이 ', '맑음 ', '가을']",18,301,139,5
26,관광지,애월해안도로,애월,"['일몰 ', '해변 ', '드라이브 ', '커플 ', '맑음 ', '여름']",42,984,136,5
27,관광지,곽지해수욕장,애월,"['일몰 ', '해수욕장 ', '액티비티 ', '아이 ', '맑음 ', '여름']",21,310,131,5
28,관광지,용머리해안,안덕,"['해변 ', '휴식/힐링 ', '부모 ', '커플 ', '맑음 ', '봄']",21,705,127,5
29,관광지,한라산영실코스,서귀포시내,"['부모 ', '커플 ', '혼자 ', '친구 ', '경관/포토 ', '오름 ', '사계절']",23,324,125,5
30,관광지,정방폭포,서귀포시내,"['폭포 ', '경관/포토 ', '커플 ', '여름']",22,840,122,5
31,관광지,용두암,제주시내,"['일출 ', '해변 ', '경관/포토 ', '맑음']",33,767,120,5
32,관광지,제주절물자연휴양림,제주시내,"['휴양림 ', '걷기/등산 ', '휴식/힐링 ', '친구 ', '커플 ', '흐림 ', '여름']",48,819,117,5
33,관광지,산방산,안덕,"['지질트레일 ', '산 ', '걷기/등산 ', '맑음 ', '가을']",9,378,115,5
34,관광지,다랑쉬오름(월랑봉),구좌,"['일출 ', '밤 ', '오름 ', '걷기/등산 ', '친구 ', '가을']",13,158,104,5
35,관광지,한림공원,한림,"['휴식/힐링 ', '테마공원 ', '아이 ', '맑음 ', '봄 ', '우수관광사업체']",28,670,102,5
