,category,name,location,tag,like,pick,review,rating
0,숙박,나미송 머무는 곳,애월,['민박'],21,22,133,5
1,숙박,해비치호텔앤드리조트,표선,['휴식/치유'],14,57,45,5
2,숙박,신라호텔제주,중문,"['최고급 ', ' VIP ', '중문 ', ' 신라 ', ' 중문관광단지']",7,47,43,5
3,숙박,롯데호텔 제주,중문,"['호텔 ', ' 5성급 ', ' 중문 ', ' 리조트']",9,40,38,5
4,숙박,제주조천스위스마을게스트하우스,조천,['숙박'],11,46,29,5
5,숙박,비젠빌리지,구좌,['휴식'],2,6,20,5
6,숙박,제주도푸른산푸른바다,구좌,['게스트하우스'],0,5,19,5
7,숙박,휘닉스 제주 섭지코지,성산,"['리조트 ', ' 성산']",2,36,19,5
8,숙박,히든클리프 호텔 앤 네이쳐,서귀포시내,['휴식'],1,26,19,4
9,숙박,대명리조트 제주,조천,['리조트'],7,43,16,5
10,숙박,서귀포KAL호텔,서귀포시내,['호텔'],3,17,13,5
11,숙박,제주도푸른바다,구좌,['휴식'],2,6,13,5
12,숙박,캠핑트리펜션,애월,['펜션'],13,14,13,5
13,숙박,씨에스호텔앤리조트,중문,['호텔'],2,25,12,5
14,숙박,객의하우스,한림,['휴식'],1,10,10,4
15,숙박,금호리조트제주,남원,['리조트'],3,28,10,5
16,숙박,수상한소금밭게스트하우스,구좌,['게스트하우스'],2,12,10,5
17,숙박,달달하우스,한림,['펜션'],0,0,9,5
18,숙박,신라스테이 제주,제주시내,['호텔'],3,25,8,5
19,숙박,틸다하우스,한경,['휴식'],12,13,8,5
20,숙박,inn jeju 인제주 게스트하우스,한림,['휴식'],0,7,7,5
21,숙박,르페도라,남원,['펜션'],0,2,7,5
22,숙박,제주가좋아서 펜션,구좌,['안전인증숙소'],15,19,7,5
23,숙박,나날 게스트하우스,서귀포시내,"['혼자 ', '친구 ', '커플 ', '청년 ', '게스트하우스']",15,12,6,5
24,숙박,라마다프라자제주호텔,제주시내,['호텔'],2,23,6,5
25,숙박,롯데시티호텔제주,제주시내,"['호텔 ', ' 제주시내']",0,16,6,4
26,숙박,메종글래드 제주,제주시내,['호텔'],6,24,6,5
27,숙박,제주bp게스트하우스 JEJU BP GUESTHOUSE,제주시내,['휴식'],5,19,6,5
28,숙박,제주부영호텔엔리조트,중문,['호텔'],1,12,6,5
29,숙박,루스톤빌라앤호텔,애월,['호텔'],0,10,5,5
30,숙박,빠담빠담게스트하우스,성산,['휴식'],1,2,5,5
31,숙박,오션스위츠호텔 제주,제주시내,"['호텔 ', '우수관광사업체']",1,24,5,5
32,숙박,우도사랑,우도,['펜션'],0,2,5,5
33,숙박,제주KAL호텔,제주시내,['호텔'],0,5,5,5
34,숙박,제주해나루,서귀포시내,"['해나루 ', ' 안전인증숙소']",10,13,5,5
35,숙박,켄싱턴리조트 제주 한림점,한림,['휴식'],0,17,5,4
36,숙박,활엽수 게스트하우스,대정,['휴식'],0,4,5,5
37,숙박,꽃하루방게스트하우스,성산,"['휴식 ', ' 성산 ', ' 게스트하우스']",2,3,4,3
38,숙박,롯데리조트아트빌라스,중문,['휴식'],0,5,4,5
39,숙박,마레보 리조트,애월,['리조트'],2,20,4,5
40,숙박,메종드오조락,성산,['휴식'],0,12,4,5
41,숙박,범섬풍경,서귀포시내,['펜션'],0,4,4,5
42,숙박,서귀포푸른바다,서귀포시내,['펜션'],0,0,4,4
43,숙박,아름다운리조트,성산,['리조트'],1,12,4,4
44,숙박,아이비테라스,서귀포시내,[],6,9,4,5
45,숙박,야호비치하우스,조천,['휴식'],0,15,4,4
46,숙박,오션스퀘어,성산,['리조트'],5,10,4,5
47,숙박,제주리조트,애월,['호스텔'],2,4,4,5
48,숙박,제주아이브리조트,서귀포시내,['휴식'],0,4,4,5
49,숙박,제주양떼목장,애월,['펜션'],1,15,4,5
50,숙박,하워드존슨 제주 연동 호텔,제주시내,['호텔'],0,2,4,4
51,숙박,꿈꾸는섬 게스트하우스,조천,['펜션'],0,1,3,5
52,숙박,더본 호텔,중문,['휴식'],3,20,3,5
53,숙박,더포그레이스호텔앤리조트,성산,['호텔'],2,14,3,4
54,숙박,랜딩관 제주신화월드 호텔앤리조트,안덕,['호텔'],5,14,3,5
55,숙박,베니키아 아이진호텔,제주시내,['호텔'],3,2,3,5
56,숙박,베스트웨스턴제주호텔,제주시내,['호텔'],5,23,3,5
57,숙박,블루하와이리조트,한림,['호텔'],2,3,3,4
58,숙박,예이츠산장,남원,['펜션'],0,2,3,4
59,숙박,유월그리고열두마루,구좌,['휴식'],0,1,3,3
60,숙박,이디하우스n카페,구좌,['휴식'],0,10,3,4
61,숙박,일레인호텔,서귀포시내,['호텔'],0,5,3,4
62,숙박,제주인호텔,제주시내,['호텔'],0,2,3,5
63,숙박,제주하이킹 INN(구덕게스트하우스),서귀포시내,['휴식'],1,3,3,5
64,숙박,펄리플러스,제주시내,['호텔'],1,3,3,5
65,숙박,포도호텔,안덕,['호텔'],1,7,3,4
66,숙박,플레이스 캠프 제주,성산,['호텔'],2,10,3,5
67,숙박,하도리일번지,구좌,['펜션'],0,1,3,5
68,숙박,한화리조트 제주,제주시내,['콘도'],12,26,3,5
69,숙박,게으른소나기,구좌,['휴식'],0,5,2,5
70,숙박,구름밭하우스,구좌,['휴식'],3,9,2,3
71,숙박,내도바당펜션,제주시내,['펜션'],0,4,2,4
72,숙박,넙빌레하우스,남원,['휴식'],0,0,2,3
73,숙박,노낭게스트하우스,성산,['휴식'],0,3,2,5
74,숙박,단추스테이 단추숲,한경,['게스트하우스'],0,3,2,3
75,숙박,대명 샤인빌리조트,표선,['휴식'],2,24,2,4
