,category,name,location,tag,like,pick,review,rating
0,음식점,봄날카페,애월,"['카페 ', '커피 ', '음료']",43,558,141,5
1,음식점,명진전복,구좌,"['전복 ', '돌솥밥 ', '회']",27,537,66,4
2,음식점,몽상드애월(몽상),애월,"['카페 ', '커피 ', '음료 ', '디저트']",18,420,66,4
3,음식점,서연의집(영화 건축학개론),남원,"['카페 ', '커피 ', '아메리카노']",14,217,66,5
4,음식점,제주김만복(만복이네김밥집),제주시내,"['전복김밥 ', '통전복주먹밥 ', '미역국']",62,1006,60,4
5,음식점,리치망고,애월,"['스페셜망고쉐이크 ', '망고라떼 ', '수제망고코코넛잽 ', '망고코코넛쿠키 ', '카페 ', '망고']",29,461,59,4
6,음식점,르쉬느아 (Le Chinois),안덕,"['중국음식 ', '딤섬 ', '북경오리 ', '불도장']",48,49,53,5
7,음식점,카페공작소,구좌,"['카페 ', '수제케이크 ', '에이드 ', '제주음료']",10,172,51,5
8,음식점,濟州膳제주선,안덕,"['한식 ', '흑돼지 ', '한우 ', '갈치 ', '고소리술']",34,97,45,5
9,음식점,하하호호(HAHAHOHO),우도,"['흑돼지수제버거 ', '수제버거 ', '땅콩아이스크림']",4,164,43,4
10,음식점,올래국수,제주시내,"['고기국수 ', '한식 ', '향토음식']",37,753,42,4
11,음식점,우유부단,한림,"['카페 ', '디저트 ', '아이스크림 ', '우유']",10,213,38,5
12,음식점,델문도,조천,"['카페 ', '커피 ', '빙수']",17,251,37,4
13,음식점,스카이 온 파이브 다이닝,안덕,"['스카이온파이브그릴 ', '스테이크 ', '와인 ', '레스토랑']",27,28,35,5
14,음식점,우진해장국,제주시내,"['해장국 ', '고사리육개장 ', '사골해장국 ', '녹두빈대떡']",15,235,33,5
15,음식점,춘심이네,안덕,"['무슬림 ', '갈치조림 ', '통갈치 ', '은갈치']",8,257,31,5
16,음식점,테라로사,서귀포시내,"['커피 ', '빵 ', '카페 ', '원두']",6,159,31,5
17,음식점,마노르블랑,안덕,"['카페 ', '커피 ', '음료 ', '애프터눈티']",9,97,30,5
18,음식점,가시아방,성산,"['고기국수 ', '비빔국수 ', '향토음식']",12,372,29,4
19,음식점,카페콜라,한림,"['콜라 ', '체리콕 ', '고르곤졸라피자 ', '커피콕']",0,110,28,5
20,음식점,키친오즈,한림,"['카페 ', '파스타 ', '음료 ', '애견동반 ', '핑크뮬리']",2,46,28,5
21,음식점,돈사돈,제주시내,"['근고기 ', '연탄구이 ', '목살 ', '오겹살 ', '흑돼지']",23,452,27,4
22,음식점,구좌상회,구좌,"['카페 ', '케이크 ', '음료']",5,154,24,4
23,음식점,애월더선셋,애월,"['카페 ', '커피 ', '브런치']",9,147,24,5
24,음식점,지미스,우도,"['샤베트 ', '아이스크림 ', '우도땅콩아이스크림 ', '카페']",1,49,23,4
25,음식점,수우동,한림,"['돈까스 ', '우동 ', '일식']",6,178,22,5
26,음식점,앤트러사이트,한림,"['카페 ', '커피 ', '아메리카노']",10,124,21,4
27,음식점,우도왕자이야기,우도,"['카페 ', '아이스크림 ', '한라봉아이스크림']",1,18,21,5
28,음식점,명랑스낵,한림,"['떡볶이 ', '왕새우튀김 ', '흑돼지튀김 ', '생맥주 ', '짜장떡볶이']",9,180,20,4
29,음식점,바다다,서귀포시내,"['음료 ', '칵테일 ', '버거']",7,135,20,5
30,음식점,최고집,서귀포시내,"['항정상 ', '오겹살 ', '속풀이라면']",12,77,20,5
31,음식점,운정이네,안덕,"['갈치조림 ', '정식 ', '고등어구이 ', '갈치구이 ', '고등어조림']",3,128,19,4
32,음식점,망고레이,우도,"['망고음료 ', '음료 ', '카페']",1,30,18,5
33,음식점,바보카페,구좌,"['카페 ', '댕유차 ', '한라봉']",3,83,18,4
34,음식점,월정리로와,구좌,"['카페 ', '커피 ', '케이크']",1,12,18,4
35,음식점,순옥이네 명가,제주시내,"['전복물회 ', '성게미역국 ', '해물뚝배기 ', '전복 ', '성게']",16,270,17,4
36,음식점,카페마니,구좌,"['카페 ', '커피 ', '아메리카노']",4,38,17,4
37,음식점,풍림다방,구좌,"['브뤠베 ', '커피 ', '카페']",2,68,17,5
38,음식점,고래라면,성산,"['라면 ', '국수 ', '비빔국수']",6,140,16,5
39,음식점,블랑로쉐,우도,"['카페 ', '크림라떼 ', '케이크 ', '음료']",4,45,16,5
40,음식점,섬소나이,우도,"['짬뽕 ', '피자 ', '땅콩아이스크림']",12,53,16,5
41,음식점,요리하는 목수,애월,"['수제버거 ', '햄버거 ', '돈가스 ', '해물짬뽕']",1,92,16,4
42,음식점,고집돌우럭(제주공항점),제주시내,"['우럭 ', '우럭조림 ', '우럭매운탕']",12,137,15,4
43,음식점,벵디,구좌,"['덮밥 ', '톳밥 ', '돌문어']",4,168,15,4
44,음식점,쉬림프박스,구좌,"['커플 ', '혼자 ', '새우']",2,103,15,4
45,음식점,치치퐁,안덕,"['아이스크림 ', '토끼아이스크림 ', '카페']",5,83,15,4
46,음식점,로뎀가든,우도,"['흑돼지주물럭 ', '한라산볶음밥 ', '한치해물파전']",1,18,13,4
47,음식점,살롱드라방 SALON de LAVANT,애월,"['카페 ', '팬케이크 ', '브런치']",7,61,13,4
48,음식점,우도 풍원,우도,"['돼지주물럭 ', '한라산볶음밥 ', '한치주물럭']",1,24,13,4
49,음식점,카페세바,조천,"['카페 ', '곡물라떼 ', '보리빵 ', '자몽아이스티']",0,21,13,4
50,음식점,고집돌우럭(중문),중문,"['우럭 ', '우럭조림 ', '우럭매운탕']",15,139,12,5
51,음식점,맛나식당,성산,"['한식 ', '갈치조림 ', '고등어조림']",3,128,12,4
52,음식점,비어라운드(Be around),구좌,"['카페 ', '커피 ', '주스 ', '케이크 ', '당근']",3,17,12,5
53,음식점,산방식당(모슬포본점),대정,"['밀냉면 ', '비빔밀냉면 ', '수육 ', '한식 ', '향토음식']",6,248,12,4
54,음식점,피어22,한림,"['해산물찜 ', '해산물 ', '딱새우']",6,146,12,5
55,음식점,국수의전설,서귀포시내,"['고기국수 ', '보말칼국수 ', '수육 ', '향토음식 ', '한식']",9,127,11,5
56,음식점,성산회관,성산,"['볶음밥 ', '파스타 ', '전복밥 ', '퓨전']",2,80,11,4
57,음식점,평대스낵,구좌,"['분식 ', '떡볶이 ', '튀김']",2,46,11,4
58,음식점,한림칼국수,한림,"['칼국수 ', ' 보말 ', ' 보말칼국수']",7,161,11,5
59,음식점,경미네집(경미휴게소),성산,"['해물라면 ', '전복밥 ', '성게밥 ', '한식']",2,44,10,4
60,음식점,국수마당,제주시내,"['향토음식 ', '고기국수 ', '콩나물국밥 ', '아강발 ', '몸국']",5,59,10,4
61,음식점,국수바다 본점,서귀포시내,"['고기국수 ', '성게국밥 ', '회국수 ', '비빔국수']",2,79,10,4
62,음식점,미친부엌,제주시내,"['퓨전 ', '주점 ', '크림짬뽕 ', '혼술 ', '혼밥']",8,83,10,5
63,음식점,슬슬슬로우,구좌,"['돔베고기샌드위치 ', '돔베라면 ', '돔베덮밥']",2,71,10,5
64,음식점,유동커피,서귀포시내,"['카페 ', '커피 ', '음료 ', '스페셜커피']",1,20,10,5
65,음식점,교래손칼국수,조천,"['메밀야채전 ', '칼국수 ', '토종닭칼국수 ', '바지락칼국수']",4,74,9,4
66,음식점,동복리해녀촌,구좌,"['전복죽 ', '회국수 ', '성게국수']",0,32,9,5
67,음식점,명당양과,제주시내,"['빵집 ', '베이커리 ', '디저트 ', '쑥찐빵 ', '우유식빵']",20,60,9,5
68,음식점,바당봉봉,구좌,"['커피 ', '음료 ', '카페']",1,18,9,5
69,음식점,빨간모자마법사,안덕,"['흑돼지 ', '수제버거 ', '짬뽕']",1,37,9,4
70,음식점,사형제횟집,한림,"['딱새우 ', '고등어회 ', '횟집']",3,39,9,5
71,음식점,아뜰리에 제주명월,안덕,"['카페 ', '디저트 ', '티라미수']",0,22,9,4
72,음식점,양가형제,한경,"['버거 ', '수제버거 ', '맥주 ', '음료']",3,40,9,4
73,음식점,어진이네횟집,서귀포시내,"['회 ', '횟집 ', '자리물회 ', '물회']",8,164,9,4
74,음식점,연미정,구좌,"['전복구이 ', '전복죽 ', '전복가마솥밥 ', '전복회']",4,53,9,4
75,음식점,웅스키친,제주시내,"['스테이크 ', '치아바타 ', '샌드위치 ', '파스타']",0,32,9,5
76,음식점,월정리에서브런치,구좌,"['돔베고기샌드위치 ', '당감사 ', '카페 ', '브런치']",0,13,9,4
77,음식점,톰톰카레,구좌,"['카레 ', '야채카레 ', '콩카레 ', '반반카레']",1,45,9,5
78,음식점,해월정,구좌,"['보말칼국수 ', '성게물회 ', '보말죽 ', '향토음식']",1,84,9,4
79,음식점,꿈꾸는 흰당나귀,제주시내,"['카페 ', '커피 ', '빙수 ', '말차빙수']",0,17,8,5
80,음식점,닐모리동동,제주시내,"['오징어튀김먹물파스타 ', '한라산빙수 ', '우도땅콩팬케이크 ', '지름떡팬케이크 ', '향토음식']",4,40,8,4
81,음식점,라붕제주 cafe,제주시내,"['카페 ', '해물라면 ', '디저트 ', '음료']",13,14,8,5
82,음식점,메종드쁘띠푸루,제주시내,"['빵집 ', '베이커리 ', '파이 ', '타르트']",1,115,8,5
83,음식점,목포고을,서귀포시내,"['목살 ', '오겹살 ', '열무국수 ', '김치찌개']",3,39,8,5
84,음식점,바다속고등어쌈밥,애월,"['갈치조림 ', '옥돔구이 ', '해물뚝배기 ', '한치물회 ', '쌈밥']",0,45,8,4
85,음식점,바람벽에흰당나귀,구좌,"['카페 ', '음료 ', '주스 ', '말차빙수']",3,43,8,4
86,음식점,복자씨연탄구이,성산,"['근고기 ', '흑돼지 ', '김치찌개']",2,45,8,4
87,음식점,서광춘희,안덕,"['꼬치커틀렛 ', '춘희면 ', '성게 ', '한식']",2,36,8,4
88,음식점,성읍칠십리식당,표선,"['삼겹살 ', '초벌구이 ', '흑돼지']",3,62,8,5
89,음식점,수두리보말칼국수,중문,"['톳보말칼국수 ', '톳성게칼국수 ', '칼국수']",13,134,8,4
90,음식점,에스프레소 라운지,제주시내,"['카페 ', '디저트 ', '베이커리카페']",1,9,8,4
91,음식점,올레7돈 (올레칠돈),서귀포시내,"['흑돼지 ', '연탄구이 ', '김치찌개 ', '된장찌개']",9,71,8,5
92,음식점,중앙식당,안덕,"['성게보말국 ', '갈치국 ', '갈치구이 ', '한식']",0,18,8,4
93,음식점,쪼끌락,구좌,"['카페 ', '커피 ', '라떼']",1,18,8,4
94,음식점,코코마마,성산,"['에이드 ', '파인애플볶음밥 ', '랍스터 ', '씨푸드']",0,25,8,5
95,음식점,행복한국수집,제주시내,"['잔치국수 ', '비빔국수 ', '고기국수']",3,10,8,5
96,음식점,노라바,애월,"['해물라면 ', '돌문어 ', '맥주']",0,50,7,5
97,음식점,덕인당보리빵,조천,"['보리빵 ', '쑥빵 ', '팥보리빵']",2,26,7,4
98,음식점,독개물항,한림,"['오분자기 ', '해물뚝배기 ', '향토음식 ', '보말물회']",1,58,7,5
